end,end 2,end 3
"Advertising  Companies, Agencies of Durgapur",,
Name,Address,Contact No
Aakash Advertisement,"7, Near Durgapur Cinema, Debi Choudhurani Path, City Centre, Durgapur - 713216",09126112005/ 9836000331
Abida Communication,Durgapur,9434947634/ 09332156040
AD Gallery,Durgapur,9434065083
AD Vision,Durgapur,9832951299
AD Wel,"Ashis Market, Near Health Centre, Durgapur-713204",09851549032/ 9476406932
Aishwarya Advertising,"C/22, Shopping Complex, City Centre, Durgapur - 713216",0343-2410077/ 9302100485
Amita Advertising,"2A/1, A.K.Bithi City Centre, Durgapur - 713216",0343- 2544303
Asha Advertising,"Durgapur Commercial Estate, Stall No-S/1-9,1st Floor, City Centre, Durgapur - 713216",0343- 2605117
Bappa Art,"Marconi Road, B-Zone, Durgapur- 713205",9932158980
Basanti Advertising,"Mamra Bazar Main Road, Durgapur, Durgapur - 713206",8967674833
Bichitra AD Agency,"Bhagat Singh More, Durgapur- 713205",9832114426
Black Star,Durgapur,0343-2583929/2547235
City Arts,Durgapur,9434132636
Dulal Arts,"Agrani Gully, Benachity, Durgapur- 713213",0343-2583947
Durgapur Times,"14/1, Edison Road, B Zone, Durgapur - 713205",09434791121
Eastern Communication,"Yogmaya Khudiram Villa, Near Jain Madir, J.K. Paul Lane, Benachity Durgapur- 713213",09332306315
Hena Arts,"City Centre, Durgapur, Dist- Paschim Bardhaman, Pin-713216 near lexor hotel",+91 9609630264/ 9476322856
Karukrit,Durgapur-713213,0343- 2544997
New AD India,"2C/20, Chandidas, B- Zone, Durgapur - 713205",09851315117
Projection Communication,"Commercial Estate, Block 3, Flat No 8, Near Big Bazar Shopping Centre, City Centre, Durgapur - 713216",0343- 2544081 /9434056986
P U B A R T,"Trinayani Mansion, 1st Floor, Benachity, Durgapur-713213",0343- 2584400/ +91 9333778719
Roy Ad,"5/17, Near Jora Pukur, Sukanta Sarani, Benachity, Durgapur - 713213",09434982852
SELVEL,Durgapur,0343-2582447
S.S. AD Agency,Durgapur,9333921276
Shilposree Arts,Durgapur,0343- 2585076
Smart Add Marketing Pvt Ltd,"Dutta Building, 1st Floor, Rajbandh Town Bus Stand Road, Durgapur - 713212",0343- 3209269/ 9333759146
The Public Communication,"Laxmi Bhawan, Tetultala More, Durgapur Sagarbhanga Colony, Durgapur - 713211",9851009749/ 9681101484
