end,end 2,end 3
Advocates and Lawyers of Durgapur,,
Name,Address,Contact No
Advocate Achyut Mukherjee,Durgapur,0343- 2582248
Advocate Abhishek Kumar Shaw,Durgapur,09732111344
Advocate Animesh Chakraborty,Durgapur,09434535624
Lawyer Amal Kumar Banerjee,"B-9,Sector-2 A, Bidhan Nagar, Kumod Ranjan Mallick Path, Bidhannagar, Durgapur - 713212",0343- 2534678/ 9434535253
Lawyer Ananta Kumar Singha Mahapatra,"D-29, Sahityik Narayan Gangopadhyay Path, Sector-2 A, Bidhannagar, Durgapur - 713212",0343- 2535437/ 9830333626
Advocate Animesh Chatterjee,Durgapur,0343 2582525
Advocate Anupam Mukherjee,Durgapur,0343 2584375
Advocate Atabi Banerjee,Durgapur,0343 2546702
Advocate Bibekananda Konar,Durgapur,09832163252
Advocate Biraj kr Mukhopadhyay,Durgapur,+91 9832112194
Advocate Bijay Prasad Gupta,Durgapur,0343 2572546/ 9832157552
Advocate Biswajit Chatterjee,Durgapur,0343 2500538/ 9434250525
Advocate  Dilip Sinha,"2/9 central park, Doctors colony, City centre, and Durgapur Court, City- Durgapur-713216",0343-2545604 9800995202
Advocate Gagan Ch. Ghosh,"Ghosh market, Benachity, Durgapur - 713213",+91 9434332587
Lawyer Kanchan Mitra,"2/8, Near Playground, Uday Shankar Bithi, City Centre,  Durgapur - 713216",09832279976/ 8145551365
Advocate Kazi Md. Hussain,Durgapur,9434238013
Advocate Miss Mahua Dutta,Durgapur,0343 2567546
Advocate Mrs Shampa Chatterjee,Durgapur,0343 2573286
Lawyer Pabir Kumar Roy,"6/10, alludin khan bithi, City Centre, Durgapur - 713216, near Choturongo Maath",+91 9434470475
Lawyer Pujan Kumar Chatterjee,"10,Bilabal Sarani, Bidhannagar, Durgapur - 713212",09832288987
Advocate  Sanjib Kundu,Durgapur,09832116216/ 9732237051
Advocate  Serajul Islam,"Benachity, Durgapur - 713213",0343- 2572540
Lawyer Soumen Halder,"Sub Division Court & High Court Bar Association No 7, 1 No Street, Shalbagan Road, Benachity, Durgapur - 713213",09933735676/ 9832112385
Advocate Supratim Roy,Durgapur,09434836791
Advocate Tanmoy Mukherjee,"Opp.Bank Of India, Ananda More, Ukhra, Durgapur - 713363",09851048691
J K & Associates,"Muchipara, Durgapur - 713212, Near ITI Aam Bagan",+91 9903877901/ 8906414777/ 7098691888
