end,end 2,end 3
Architects of Durgapur,,
Name,Address,Contact No
Achinta Halder,"2 A/13 Arya Bhatta Road, B-Zone, Durgapur 5",09333906318
Arati Mazumder,"LM- 13/4A, R.E. College Campus, Durgapur- 9",09832262252
Ashit Kr Mandal,"Laxmi Narayan Medical Hall, Near Benachity High School, M.K. Plot, Durgapur- 13",09732062795
Atul Sharma,"Sail Co-Operative, City Centre, Durgapur- 16",0343 2562560
CAD Campus,"43, Mohiskapur Plot, Near. Benachity High School, Benachity, Durgapur - 713213",0343- 2250308
Datta Associates,"C.S.0.- 8 Central Market, opp. ADDA Building, City centre, Durgapur -16",09233311340
Dibyendu Banerjee,"ADDA Plot, C18, Dhyan Chand Sarani, City Centre, Durgapur 16",09434114888
Gourab Architects,"D.no: DC-21, City Centre, Durgapur- 713216",0343- 2546703
Housing Technology Consultants,"Suhatta, Rm-5/1, City Centre, Durgapur - 713216",0343- 6454905/ 2544469
J.N. Hazra,"E-69, astronauts Avenue, Bidhan Nagar, Durgapur -12",09434167950
Kamalesh Nath,"Brijalaya, Subhas Pally, Benachity, Durgapur -13",0343 2584265
Lake city Planners and Engineers,"City Centre, Durgapur -16",0343 2546016
P R House Designers,"Near PCBL Colony, Bidhannagar, Durgapur - 713212",08101367036/ 7679401749
Sanjoy Architects,"D.no: 8, New Dairy Colony, Bidhannagar, Durgapur - 713212",0343- 2534393
Subhash Architect,"H.no: 32, Sanchita Park, Sardar Ballav Bhai Patel Road, Bidhannagar, Durgapur, Durgapur Abl Township, Durgapur - 713206",0343- 2533317
Swarnankana Architects,"D.no: 2/25, City-Centre, Durgapur - 713216",0343- 2546013
Vishal Interior,"J P Avenue, Near Muchipara Primary School, Muchipara, Durgapur - 713212",09932245337/ 9475752828
