end,end 2,end 3,end 4
Art Dance Schools of Durgapur,,,
Name,Address,Contact No,
Agragami Club,"David Hare Road, B-Zone, Durgapur -713205",.,
Ankur Kala Kendra,"Bidhannagar, Durgapur-",.,
Ankur Art School,Durgapur-,.,
Arindam Guha ( Examinar of Prachin Kala Kendra Chandigarh),"28/9, Tilak Road, B-Zone, Durgapur -713213","+91 9474925243, 9332942972, 8345025136",
Artistic Art Academy,"Benachity, Durgapur -13",.,
Arun Chakroborty,"2/10 Ashoke Avenue, B-Zone, Durgapur -05",0343- 2567635,
Arun Halder,"Sunday Club, B-Zone, Durgapur -05",9832273804,
Bodhan Chandra Ghosh,"20th Street Ashoke Avenue, B-Zone, Durgapur -05",.,
Boutique Saptaparni Krishna Kanti Goswami,"17/4 Tatikhla, P.O. - Arrah, Durgapur -12",9735819940/ 9734264381,"Kantha Stich, Batik, Silk etc"
Chhanda Bani,Durgapur -12,.,
Chhandam,Durgapur -07,.,
Children's Academy,"C-Zone, Durgapur -5",.,
Chitrakala,"2/1 Vidyapathy Road, B-Zone, Durgapur -5",.,
Chitrakut Art School,"Hindusthan Cables, Durgapur-",.,
Creative Institute of Art,"V.K.Nagar, Durgapur -10",.,
Debendira,"Nabapally, Benachity, Durgapur -13",9378478224/ 9641484735,
Durgapur Kala Mandir,"V.K.Nagar, Durgapur -10",.,
Durgapur Sangeet Parisad,"18/29 Tilak Road,  B-Zone, Durgapur -5 & 11 A SEPCO Township, Durgapur -5",0343- 2562808.,
Fine Arts Club (Estb:-1958),"19, Tagore Avenue, Durgapur -4",0343- 2562526,
Geetabitan Music College,Durgapur -1,.,
Gurukul Performing Arts,"Sagarbhanga Sporting Club, Sagarbhanga Colony, Tentultala More, Durgapur-713211",07076703191/ 9647237271,"Hip -Hop, Locking-Popping, Jazz, Tango, Salsa, Free Style, Contemporary, creative."
Gurukul Performing Arts,"Bidhannagar, Durgapur-12",07699999461/ 9547747281,"Hip -Hop, Locking-Popping, Salsa, Free Style, Contemporary, Bharat Natyam, Katthak, Airobics."
Kalanandam,"1/19, Nehru Avenue, C-Zone, Durgapur-713205 Branch:- 12C/4 SEPCO Township, Durgapur",+91 9332466776/ 7602707780/ 9434792522,
Khitish College of Music,"City Centre, Durgapur -16",.,
Life of Dance,"LNDB Counter, Ashis Market, A-Zone, Durgapur -713204",07872803030/ 9434836639,"Hip -Hop, Street Dance, Break Dance, Free Style, Bollywood"
Monalisa School Of Art,"Arrah More, Durgapur - 12,",9641633181/ 9332439690,"Fabric, Glass, Oil Painting and Doll Making"
Nirtya Mandir,"12 A, Tagore Avenue, Durgapur -4",.,
Panchajanya,"Anand Vihar, Durgapur -4",+91- 9832262283/ 9932078124,
Preranaa,"1st Avenue, House No-13, SEPCO Township, Durgapur -713205",9474697819/ 9434388623,"Bharat Natyam, Kathak, Odissi, Vocal, Recitation, 
	Art Craft-Painting, Musical Instruments (Guitar, Keyboard, Tabla), Yoga"
Rabindrayan,"Natun Palli, Benachity, Durgapur -13",.,
Sandipan Academy of Art & Culture,"Prafulla Chaki Path, City centre, Durgapur-16",.,
Sangeetayan,"Subhaspalli, Benachity, Durgapur -13",.,
SANGITAM,"41 Debi Chaudhurani Path, City Centre, Durgapur- 713216",9933757715 / 9933757717,Singing Classes
School Of Music,"1/1 Dayananda Road, A-Zone, Durgapur -713204",8759017568,"Classical, Rabindra Sangeet, Nazrul, Tabla, Guitar & Dance"
Sur O Chando (Dance),"Sector 2C Cultural Club, Bidhannagar,  Durgapur -713204",+91- 9433162734/ 9734204004,"Kathak, Rabindra Nitta, Lok Nittta"
Swasti Art School,"C4, milan Pally, Kururia, Durgapur-3",9932977425,
Ujjal Painting,"Mankar (Hospital Road), Burdwan, W.B.",9933905468,"Oil Painting, Glass Ceramic, Batik etc."
