end,end 2,end 3
Astrologers of Durgapur,,
Name,Address,Contact No
Acharya Santanu Basu Thakur,"39/1st Avenue, SEPCO Township, Near Hemsheela Model School,  Durgapur - 713205",09232609070/ 9434215849
Astrologer Ashim Shastri,"2/48 Mahabir Marg, C-Zone, Durgapur- 713205",09832745037
Astrologer Bhaskar Ghosh,"15/8 Einstein Avenue, B-Zone, Durgapur- 713205",09832176905
Astrologer Bhuban Mohan Sastri,"5/13 Ramanujam Road, B-Zone, Durgapur-713205",09832195016
Astrologer Bimalendu Banerjee,"Near Sadhana medical hall, Station Bazar Road, Durgapur - 713201",09932697807
Astrologer Biman Mondal,"5/14 Einstein Avenue, B-Zone, Durgapur- 713205",.
Astrologer Biswanath Chatterjee,"Bhiringee School Para, Durgapur- 713213",0343 2587607
Astrologer Chinmoy Chakraborty,"110, Moulana Azad Street, City Centre, Durgapur - 713216, Near Moulana Azad Bus Stop","(91)-9609604638, 9775753342"
Astrologer Debashish Goswami,"Jyotish Bhavan, Mwav 03, City Centre, Durgapur - 713216, Near Bhavani Pathak Kali Mandir, Bengal Ambuja","(91)-9831658624, 9038469241"
Astrologer Dr. Prasad Ray,"C-1 ADDA Plot, Gitanjali Park, Urbashi Phase-II, City Centre, Durgapur- 713216",(91)-9609171713/ 8967696309/ 8170011562
Astrologer Dr Sohini Sastri,"1, Durgapur Road, Durgapur - 713216",(91)-9163532538/ 9674727980
Jyotishguru Dronacharya,"T P Sen Complex, Near Quizor More, Benachity, Durgapur - 713213",09002456276
Astrologer Nimai Achariya,"Raj Mahal Inn Hotel, G T Road, Bhiringi, Durgapur - 713213",09679366596
Astrologer Partha Sarathi Rout,"3A/24, Srinagar Pally, Benachity, Durgapur - 713213","91- 7797137777, 9475358546"
Astrologer Dr.Pijush Sashtri (PhD),"Ratna jyoti Showroom, Bahula(Near Netaji Statue)",0341 2668022/ ?91 9732150484
Ratnadeep,"Salbagan, New Market, Benachity, Durgapur- 713213",0343 2574110
Ratna Raj,"J.K. Pal Lane, Benachity, Durgapur- 713213",09333909775
Astrologer Sri Arnab Kumar Shastri,"Ground Floor, S.S.B. Patel Road, Fuljhore, Durgapur - 713206, Steel Park More",91- 8348971665
Astrologer Shri Gopal,"Raj Mahal Inn Hotel, G T Road, Bhiringi, Durgapur - 713213",09434553060/ 9434419269
Astrologer Shri Gopal Bhattacharjee,"Naba Pally, Benachity, Durgapur - 713213",09433975367/ 9830079038/ 9331912189
Astrologer Shree Shyam Shastri,"30/4 Secondary Road, A-Zone, Durgapur- 713204",(91)-9474880642
Astrologer Shree Subhashis Chakraborty,Durgapur,"(91)-7872503935, 98642807053"
Astrologer Shree Suvendu,"Hotel Luxor, City Centre, Durgapur - 713216, Opposite of Durgapur Cinema Hall","(91)-9434333574, 9732235836"
Astrologer  Shree Amit Shastri,"Raj Mahal Inn Hotel, Benachity, Bhiringi, Durgapur - 713213",09051469970/ 9051666754
Astrologer  Shree Suvendu,"Hotel Luxor, City Centre, Durgapur - 713216",09434333574/ 9732235836
Astrologer  Sree Nityananda Shastri,"Raj Mahal Hotel, Bhiringi, Benachity, Durgapur - 713213",07602997728
Astrologer Subhas Sastri,"City Centre, Durgapur - 713216",09830949255/ 9836071466
Astrologer Tantrik Devraj Shastri,"Raj Mahal Inn Hotel, Benachity, Bhiringi, Durgapur - 713213",07797127755/ 9547700670
Jyotish Bhawan,"City Centre, Durgapur - 713216, Near Durgapur Cinema D.C Hall",(91)-8101777733
Sanjay Pandey,"Nivedita place west, Benachity, Durgapur - 713213, Near kali mandir",91- 9679322663
Udayan,"Gurdwara Rd, Benachity, Durgapur - 713213",0343 2584266
Udayan Shambhav,"City Centre, Durgapur - 713216",0343 2544483
Udayan Shambhav,"Station Bazar, Durgapur- 713201",0343 2555811
