end,end 2,end 3
Bags and Baggage and Luggage sellers in Durgapur,,
Name,Address,Contact No
American Tourister Store,"114, Junction mall, 1 st floor, City Centre, Durgapur - 713216",09732265749
Ankita Traders,Durgapur,9832221338
Aparna VIP Priority Dealer,"Opposite PNB, Benachity, Durgapur-13",0343 2584854/ 09851467328/ 9734093550
Apurba Bag Center,"Stall no - 36, Bhagat singh More, B-Zone, Durgapur - 713205","+91-9475203141, 9093514107"
Bag Centre,Durgapur,0343 2556473
Bagzone Lifestyle Pvt Ltd,"1st Floor, Junction Mall, City Centre, Durgapur - 713216",0343-2546022  +91-9732265749
Bengal Variety Stores,"Nachan Road, Benachity, Durgapur - 713213",+91-9547531354
Bholanath Bag Shop,"Durgapur Bus Stand, Durgapur - 713201",09832909298
Bina Bag Centre,Durgapur,+91 9832163227
Charmaja,"Nachan Road, Benachity, Durgapur - 713213",+91-7076884047
Debnath Bag Centre,"Chandidas Market, Sarat Ch. Avenue, B-Zone, Durgapur - 713205",+91-9093130012
Dutta Stores,"Nachan Road, Benachity, Durgapur 13",+91 9434538431
KLH,"First Floor of Junction mall, City Centre, Durgapur - 713216",+91 7797617807
Lokenath Market,"1st Floor, Big Bazar Road, City Centre, Durgapur - 713216",+91-8584036515
London Fashion,"3rd Floor, Junction Mall Road, City Centre, Durgapur - 713216,",+91-7001506019
Luggage Centre,"Station Road, Durgapur - 713201",08345018402
Mini Bag Center,"Durgapur Station Bazar, Durgapur - 713201",09563357308
New Sadhana Stores,"Prantika, A-Zone, Durgapur - 713204",+91-9832116846
Pantaloons,"Junction Mall, City Centre, Durgapur - 713216",0343- 2542069
Priyanath Trading,"Mamra Bazar, Durgapur - 713206",+91-9474884823
Ratna Stores,"Benachity, Prantika, A-Zone, Durgapur - 713204",+91-9832140576
Roy Traders (Aristrocrat Dealer),"Benachity Bazar, Durgapur - 713213",0343- 2583798/ 9434476060
Samsonite Travels,"1st Floor Shop No. 30, Junction Mall, Sahid Khudiram, City Centre, Durgapur - 713216,",+91-7098703397
Shoppers Stop (Leather Hand Bag),"Junction Mall, Jl No 74, Mouza Faridpur, City Centre, Durgapur - 713216",0343 -6606666/ 2542540/ 9874023588/ 8016077382
Shree Guru Trading Co.,Durgapur,0343 2584552
Sreeleathers  (Leather Hand Bag),"Benachity, Durgapur - 713213",09434132995
Tapan Bag Centre,"Benachity Bazar, Benachity Market, Benachity, Durgapur - 713213",+91 7699502290
Tiwari Store,"Durgapur Market, Karanga Para Road, Durgapur - 713201",09434646039
Tripati Bag House,"Station Bazar Road, Durgapur - 713201",08900632644
Usha Bag & Hosiery,"Bus Stand Road, Durgapur - 713201",+91-9563801880
Vedio Plaza (Samsonite Dealer),"City Centre, Shaid Khudiram Sarani, Durgapur - 713216",0343- 2549053
Vip Lounge,"Junction Mall, 1st Floor, Shop No 125, City Centre, Durgapur - 713216",0343- 2542556
Wildcraft India Pvt Ltd,"Shop No 26, Ground Floor, Junction Mall,  City Centre, Durgapur - 713216","0343- 2544786, +91-9804341821"
