end,end 2,end 3
Battery Sellers & Dealers of Durgapur,,
Name,Address,Contact No
Ali Power House,"S. N. Banerjee Road, Durgapur - 713203, Near Kururia More",+91 -9609536962
Apex India,"Bhiringi, Durgapur - 713213, Near Saha Sweet",+91 -8617091353
Battery House,"Stall No. 22, Akbar Road, A-Zone, Durgapur - 713204","+91- 9434592202, 9775657384"
Battery Junction,"Steel Market, A-Zone, Durgapur - 713204, Near Prantika Bus Stand","+91- 9933753187, 7699004500, 7699002205"
Battery Planet,"Trunk Road, A-Zone, Durgapur - 713204",+91- 9153488430
Battery World,"Stall No DR-59, C.R.Das Avenue, Harshabardhan, A-Zone, Durgapur - 713204","+91- 8759205737, 9749686414, 7908168661"
Biswas Battery,"Nachan Road, Benachity, Durgapur - 713213",+91- 7551073716
City Service,"54 Feet Road, Benachity, Durgapur - 713213, Opp Natural Heights Flats",+91- 9734232280
Durgapur Auto Electricals,"Trunk Road, A-Zone, Durgapur - 713204",+91 9332032612
Durgapur Auto Electricals,"Bhiringi, G.T. Rioad, Durgapur-13",0343 2583551
Durgapur Auto Power,"Stall No:- ER 47, Sarat Chandra Road East Avenue, Chandidas Market, B-Zone, Durgapur - 713205, Near Jhilam Restaurant","+91 9093543221, 9933434599"
Durgapur Battery House,"H1 Zonal Centre, Sagarbhanga, Durgapur-11",09932943321/ 9932255152
Durgapur Battery Service,Durgapur,0343 2555660
Durgapur Industrial Stores,Durgapur,0343 6531293
Exide,"Nachan Road, Benachity, Durgapur - 713213, Near Punjab National Bank",+91-9332933273
Exide Battery Centre,"Kushumtala, Muchipara, Durgapur- 12","0343 6450933, +91-9233356944, 9233356942"
Exide  Care,"Nutan Pally Road, Benachity, Durgapur - 713213",+91-7031262563
Exide  Centre,"Stall No 29, C. R. DAS Avenue, Kamalpur, A-Zone, Durgapur - 713204","+91-9831213706, 9434114844"
Exide Centre,Durgapur,0343 2571196
Khan Enterprises,"Shahid Khudiram Sarani, City Centre, Durgapur - 713216",+91 7563904993
Lokus TVS Service,"B.C.Roy Avenue, Durgapur Bus Stand, Durgapur - 713201",09434587975
Maxwell Trading Corporation,"Trunk Road, A-Zone,  Durgapur - 713204",+91 9476138990
New Battery World,"Stall No. -15, Tilak Road, B-Zone, Durgapur - 713205, Near David Hare More","+91 -9851326413, 7031712501"
Pradip Enterprise,"Beside Dilip Cycle Store, Nachan Road, Benachity, Durgapur - 713213",09832222476
Roy Battery Centre,"NH 2, Ajay Road Junction, Muchipara, Durgapur - 713212, Near Muchipara Petrol Pump","0343 2535588, 9433182817"
Roy Auto Electric,"G.T. Road, Bhiringi, Durgapur- 03","0343 2584163, +91-9434481132"
Sanjay Bajaj & Sons,"Nachan Road, Benachity, Durgapur - 713213",0343-2582425  +91-9333928357
S. A Battery,"Old Court, Durgapur, G T Road, Durgapur - 713203",0343-2583702  +91-9434008586
Sidhi Vinayak,"Nachan Road, Benachity, Durgapur - 713213",+91-8800539062
Sk Royal Movers,"Nachan Road, Bhiringi, Durgapur - 713213, Opposite Hotel Reliance","+91-9832888833, 9635931397, 9126183509"
Sun Battery Store,"Stall No 249, Near Dishari Club, Harshabardhan Road, Benachity Panch Matha More, Durgapur - 713213",08609997798
Sun Battery & Electronics,"Nachan Road, Benachity, Durgapur - 713213, Opposite Panjab National Bank","+91-9153156260, 9434645834, 8609997798, 9614397063,"
Sun Battery & Electronics,"Stall no 249, Harshabardhan Road, A-Zone, Durgapur - 713204, Near Steel market",+91-8172041665
Suvam Battery Centre,"C/S-25, Lala Lajpat Rai Road, A-Zone, Durgapur - 713204, Near Anand Vihar",+91-9674419269
