end,end 2,end 3
Beauty Parlours of Durgapur,,
Name,Address,Contact No
A One Beauty Parlour,"24, Near Steel Carmel School, Guru Nanak Road, A-Zone, Durgapur - 713205",9332944877/ 9476424111
AB Gents Parlour,"Dhandabag, Benachity, Durgapur - 713213","+91 8436368931, 8906063231"
Amrapali Beauty Salon,"B - 18, Abanindra Bithi, City Centre, Durgapur - 713216",+91 9434581560
Apsara Beauty Parlour,"Shop No 14, Near Steel Carmel School, Guru Nanak Road, Durgapur - 713201",9609656315/ 9333920013
Ashim Saloon,"S. N. Bose Road, B-Zone, Durgapur - 713205",+91 8653704841
Attitude family Saloon & Beauty Spa  (Unisex),"UCP-29, Bengal Ambuja, City Centre, Durgapur - 713216","+91 8670842220, 8967122701"
Basanta Saloon,"Nachan Road, Benachity, Durgapur - 713213, Near Banerjee Inn",+91 8609098129
Benachity Beauty Parlours,"Harshabardhan Road, Benachity, Durgapur - 713213",+91 7384637021
Blaze,"A-1/26, S.S.B.Sarani, Near hangout,
              Bidhannagar, Durgapur-713212",09434983746
Bright Gents Parlour,"ZS 37, Zonal market, Bidhannagar, Durgapur - 713212, SD hospital",+91 8972188158
Bright Men's Saloon,"Nachan Road, Benachity, Bhiringi, Durgapur - 713213, Opp Bhiringi Girls School",+91 8116673956
Casual Gents Parlour,"54 Feet Road, Benachity, Durgapur - 713213, Near Benama Medicals",+91 8906433003
Chitras Beauty Solutions,"Stall No 53, Bharati Road, Dhabani, B-Zone, Durgapur - 713205",+91 8293411837
Chitra Beauty Parlour,"Bharati Road, B-Zone, Durgapur - 713205",+91 9378364500
Cindrella,"Room No. 3, Erinayani Mansion, Benachity, Durgapur - 713213",9832212312
Cindrella Beauty Parlour,"Chandidas, B-Zone, Durgapur - 713205",+91 9232699482
Citizen Hair Dressers,"Stall no-19, Newton Market, B-Zone, Durgapur-713205",.
City Beauty Parlour,"Commercial Estate, City Centre, Durgapur - 713216",9333926849
Cuts & Care  Ladies Beauty Parlour,"C-14 Bengal Ambuja, Phase-II, Gitanjali Park, City Centre, Durgapur - 713216",9851281276/ 7585893914
Cyber Tropicana,"Shop No 401, 3rd Floor, Dreamplex Mall, Above Big Bazar, Opposite 89 Cinema, City Centre, Durgapur - 713216",0343- 2544062/ 6454960
DAS Gents Parlour,"Mamra Bazar, Mamra Main Road, Durgapur - 713206",+91 9832607390
De Novo,"MEAV-42, 22nd Street, Bengal Ambuja, City Centre, Durgapur - 713216",+91 8906803262
Dev's Body Spa,"Stall no. C/S-6, 1st Street J. M. Sengupta Road, A-Zone, Durgapur - 713204, Near Boxing Ground","+91 9647578922, 7407038888"
Dey Ladies Beauty Parlour,"Kururiya More, S.N. Banerjee Road, Durgapur - 713203",+91 9563713958
Eelegance Medispa And Laser Aesthetics Clinic,"AC-15, Ambedkar Sarani, Opposite Bengal Ambuja Market, City Centre, Durgapur - 713216",+91 9851000803
E-Mage Mens Parlour,"Sec 2B, N-1, SSB Sarani, Bidhannagar, Durgapur - 713212, Near Hotel Pritika","+91 9832217128, 9232469493"
Epitomes,"MNUV 05, Ground Floor, Bengal Ambuja, City Centre, Durgapur - 713216","+91 9593848623, 7679155216"
Exotica Beauty Parlour,"Ambedkar Sarani, City Centre, Durgapur-713216",0343 2547126/ 9434177781/ 9547097401
Exotica for men,"Ambedkar Sarani, City Centre, Durgapur-713216",0343 2547126/ 9434177781/ 9547097401
Fancy Beauty Parlour,Durgapur,9832196284
Fashion World Beauty Parlour,"Bidhannagar, Durgapur - 713212",0343-2535003
Femina Beauty Parlour,"Moulana Azad Sarani, City Centre, Durgapur - 713216",09333900376
First Impression,"11 MEAV, Bengal Ambuja, City Centre, Durgapur - 713216","0343-2542571, +91 9732003333"
Galaxy SPA,"A-88, SSB Sarani, Durgapur - 713212, Near Bank Colony More",+91 8945069169
Gautam Saloon,"Bhagat Singh More, B-Zone, Durgapur - 713205",+91 9933867229
Glamour Beauty Parlour,Durgapur,09434214246
Glossy Beauty Parlour,"Stall No- 75,  Sarat Chandra Avenue (East), B-Zone, Durgapur- 713205",09734291567
Hair Care,Durgapur,0343 6532854 / 9434313198
Hair Dot Com,"Bengal Ambuja, City Centre, Durgapur - 713216","0343- 2548000/ 9804122174/ 9474444700/ 9475663306, 9904122174"
Head Turners,"304, Junction Mall, 3rd Floor, City Centre, Durgapur - 713216",0343- 6511499/ 08697974795
Indrani's beauty clinic,"8/1, Sepco Township, Durgapur - 713214, Opposite water tank","+91-9563482723, 9232498698"
Jaya Beauti Parlour,"7. Aurobinda Avenue, Kamalpur, Durgapur - 713204",09434646841
Kaya Spa & Doctor's Care Family Studioz (Unisex),"A-29, Abanindra Bithi, City Centre, (Near Chaturanga Maidan), Durgapur-713216",09474881669
Khubsurat beauty parlour,"M/7, Annapurna Nagar, Benachity, Durgapur - 713213","+91 9134529480, 9832217931"
Kiran Beauty Parlour,"Stall No 227, Sarat Chandra Avenue, B-Zone, Durgapur - 713205",0343- 2564460/ 9333950961
Kreations Wellness,"A1/11 S.S.B Sarani, Sector-2A, Bidhannagar, Durgapur - 713212","+91-9126056185, 8436150885"
Labanya Hair Beauty Parlour (Ladies ),"Stall No 93 Sarat Chandra Avenue (East), Chandidas Market, B Zone, Durgapur - 713205","+91 9332322940, 9332531709"
Laxmi Hair Cutting Saloon,"Near Roy Hotel, Netaji Lane, City Centre, Durgapur - 713216",09933702694
Laxmi Hair Cutting Saloon,"Netaji Lane, Benachity, Durgapur - 713213",+91 9933702694
Lily Chinese Beauty Parlour,"Near Chatterjee Market, Benachity, Durgapur - 713213",+01 9832227098
Mantra Gym Hair & Beauty Salon,"Pasopati Market, Opposite Bank Of Boroda, Philips Lane, Benachity, Durgapur - 713213",0343- 2588059
Marvel Ladies Ladies Parlour,"B2 Market Road, Heavy Engineering Plant, Durgapur - 713210, B2 Market",+91-9932466632
Mina Beauty Parlour,"Durgapur Banik More, Durgapur - 713201",09635020537
Modern Parlour,"Harsabardhan, Benachity, Durgapur - 713213",+91 7908425457
