end,end 2,end 3
Book Shops and Sellers of Durgapur,,
Name,Address,Contact No
Adhunika Book Centre,"Chandidas market, Durgapur-5",0343 2604416/ 6990803/ 9434253301/ 9531699406
Ananda Book Shop,"Phase-IV, G-II Commercial Estate, City Centre, Durgapur - 713216",0343-  2542360
Anandamoyee Book Stall,"Stall No 162, Near prantika bus stand, Prantika, Benachity, Durgapur - 713213",09647501561
Arjun Book Stall,"Durgapur Bus Stand, Durgapur Station, Durgapur- 713201",09800794634/ 8759125597
Baba Moni Book House,"Sukanto Bazar, Shyampur, Durgapur - 713201",0343- 2558103/  9832281531
Baishakhi Paper & Book House,"Trunk Road, Prantika, Benachity, Kamalpur, Durgapur - 713204",07602652175
Bandhana Pustakaloy,"M.G. Road, Ukhra, Durgapur - 713363",09614839303
Barin Library,"Trunk Road, A-Zone, Durgapur - 713204","+91-9563944023, 9934647872, 9334049347"
Bharti Book,"S N Banerjee Road, A-Zone, Durgapur - 713204, Near Kanisko More",+91 -9614841833
Biswajaneen Book Home,"Steel Market, Kamalpur, Durgapur - 713204",0343- 2544294/ 9474356306
Biswas Book Stall,"1/6, Marconi Road, B-Zone, Durgapur - 713205",09832201426
Bodhoini,"Chatterjee Market, Sagar Bhanga, Durgapur - 713211",09832817498
Book House,"Stall No-65, Chandidas Market, B-Zone, Durgapur-713205",0343- 2561252
Boro Bhaiya Paper House,"B.C.Roy Avenue, Durgapur Bus Stand, Durgapur - 713201",09933637521
Chatrabandhu Pustakalaya,"Benachity Market, Durgapur-13",9474885204/ 9474112164/ 9434113923
Chatrabandhu,"Opp.Yamaha Showroom, Ukhra Bajpai More, Ukhra, Durgapur - 713363",9434837655
Chatra Somaj,"Station Road, Durgapur Station Road, Durgapur-1",0343 2554885/ 2557885
Chatterjee Library,"Harswardhan, A- Zone, Durgapur-713204",+91-9434645623
Durgapur Book Stall,"Nachan Road, Durgapur-713213",0343 - 2583584
Joyguru Book,"Qaisar Gali, Benachity, Durgapur - 713213",+91-9832243456
Kalpana Book House,"Prantika Bus stand, A-Zone, Durgapur - 713204",+91-9434536101
Keshri Pustakalaya,"B.C. Roy Avenue, Durgapur Station Road, Durgapur - 713201",+91 8101994184
Lekhaparha,"Stall No 424, Prantika, Kamalpur, Durgapur - 713204",+91 9434537266
Malakar Book Stall,"Benachity Market, Durgapur-13",+91 9732030833
Maya Book Stall,"Gurudwara Road, Benachity, Durgapur - 713213, Hindi Bharti School","+91-7797817777, 7001918554"
Milon Library,"Benachity Market, Durgapur-13",0343 2570835
Milony Book Sellers And Stationery,"Steel Market, A-Zone, Durgapur-713204",0343 2572216
Mondol Store,"Stall No C S 2, Bidyapati Road, B-Zone, Durgapur - 713205",09474055520
Multi Book Stores,"Station Road, Durgapur - 713201",09749690371
National Book Agency,"Saraj Mukherjee Bhawan Bldg., Hare Krishna Konar Sarani, City Centre, Durgapur - 713216",0343  2544334
National Book  Agency,"Saraj Mukherjee Bhawan Building, Hare Krishna Konar Sarani, City Centre, Durgapur - 713216",0343-2544334
National Book  Stall,"Nachan Road, Benachity, Durgapur - 713213",0343- 2586685
Netaji stationery,"Annapurna Nagar, Benachity, Durgapur - 713213",+91-8409660808
New Calcutta Book Centre,"Trunk Road, Kamalpur, Durgapur - 713204",09775563488
Nik Nish,"Dreamplex City Centre, 2nd Floor, Shop No 302, City Centre, Durgapur - 713216",0343  33205569
Oriental Book House,"Shankarpur More, M.G. Road, Ukhra, Durgapur - 713363",09332186123
Paul Book Agency,"Stall No-94, Prantika, Benachity, Durgapur - 713205",09832213210
Rai Book,"Salbagan Gully Road, Benachity, Durgapur - 713213",+91-9851037915
Raja Granthalaya,"C Zone Market, C-Zone, Durgapur - 713205",+91-9333745996
Ramkrishna Library,"Benachity Market, Durgapur-13",.
Ramkrishna Pustakalaya,"Sagar Bhanga, Chatterjee Market, Durgapur - 713211",07501156651
Sarada Book Stall,"Steel Market, Benachity, Durgapur - 713213",0343- 2571906
Sova Library,"Steel Market, Benachity, Durgapur - 713213",09475743104
Story,"1st Floor, Junction Mall, City Centre, Durgapur - 713216","0343-2542753, 2542752"
Student Corner,"Hattola Road, Durgapur Bazar, Durgapur-1",0343 2556890
Student Library,"Mamra Bazar, Durgapur - 713206, Mamra Market",+91-8436033036
Subhas Library,"Mamra Bazar,Mamra, Durgapur - 713206",+91-9635208861
The College Street,"Prantika, Benachity, Durgapur - 713213",+91-474653199
Utpal Book,"Salbagan Road, Benachity, Durgapur - 713213",+91-9563293172
Vivekananda Library,"Trunk Road, Prantika, Kamalpur, Durgapur - 713204",9735840526
Wonderland,"Marconi Avenue, Chandidas market, B-Zone, Durgapur-713205",+91-9679325200
