end,end 2,end 3
Boutiques in Durgapur,,
Name,Address,Contact No
Adirija Boutique,"1st Floor, New Market, Benachity, Durgapur - 713213, Near Lace House",+91- 9126505704
Aishwarya Birla Boutique,"A-1/9, SSB Sarani Road, Bidhannagar, Durgapur - 713212, Dist: Paschim Bardhaman, West Bengal",+91- 9932259703
Alisha Boutique,"D/6, Bidhan Park, Sector-1, Bidhannagar, Durgapur - 713206",+91- 9002220331
Aradhana Boitique,"Kabiguru Sarani, City Centre, Durgapur - 713216","+91 9932840113, 8670678985"
Aritris,"A 29, Moulana Azad Sarani, City Centre, Opp of millennium suppliers , Durgapur - 713216","+91 8293836122, 8900403103"
Baisale Boutique,"D-1/63, D.P.L. Township, Durgapur -713202",09474881563
Bharati Kala Kunja Boutique,"Kabiguru, City Centre, Durgapur- 713216",09434354611
Boutique Saptaparni,"17/4 Tatikhla, P.O. - Arrah, Durgapur -12",09735819940/ 9734264381
Daisy Boutique,"1/44, J.L.Avenue, B-Zone, Durgapur - 713205","+91 9635080676, 9933696765"
Das Enterprise Ladies Boutique,"Sector 2C, Bidhannagar, Durgapur-12","09932689890, 9434476119"
GenNext Fashions,"2, Dhyan Chand Sarani, Near IMS Durgapur, City Centre, Durgapur - 713216",09674274735
Gita Textiles,"Mirabai Road, A-Zone, Durgapur - 713204, Near Mirabai Kali Mandir",+91 9933130948
Heritage,"53 Kabi Guru Sarani, City Centre, Durgapur - 713216","+91 9933419076, 9232123126"
Ikshas store,"208, Junction Mall, City Centre, Durgapur - 713216",09434014701
Krishna Sur's Creations,"4/15, Central Park, City Centre, Durgapur - 713216","+91 9333900233, 9547399083"
Kusum Boutique,"C-21, Bengal Ambuja, Phase-II, Gitanjali Park, City Centre, Durgapur - 713216",07063881919/ 9733884002
Palki Boutique,"RA-76, S.S.B Sarani, On the Road from Pumphouse to Bank colony, Bidhannagar, Durgapur - 713212",09609688777
Pratik Boutique,"A56, Bank Colony More, SSB Sarani, Bidhannagar, Durgapur - 713212",09800396924
Raj Collection Ladies Boutique,"Sector 2C, Bidhannagar, Durgapur-12",09332002642/ 9932382879
Rangolli Design Boutique,"16/4, Bengal Ambuja, City Centre, Durgapur-16",9800459056/ 9434238633
Riya's Creation,"Street Number 2, Golf Nagar, Dream Land, Durgapur - 713203, Near Durga Mandir","+91 8478997727, 9609697685"
Sengupta Tailor And Boutique,"Durgapur Mini Market, Durgapur - 713202",09434982545
Shilpayan Boutique,"Sector 2C, Bidhannagar, Durgapur-12","0343 2536604, 9830996703"
Shree Boutique,"B-210 First Floor , Bengal Shrishti Kalptaru Complex, City Centre, Durgapur - 713216",0343- 2590206/ 9434646375
Shree Collections,"54 Feet Road, Benachity, Durgapur - 713213","+91 9002888378, 9903577044"
Solution Enterprise (Boutique),"2/28, Mahiskapur Road, B-Zone, Durgapur - 713205","+91 9635080676, 7908393925, 9732094785"
Suman Craft,"Benachity, Bhiringi, Durgapur - 713213","0343-2588633, +91-9832780145"
Sundaram Boutique,"Gurudwara Road, Benachity, Durgapur - 713213, Opposite Assembly Of God Church School",+91 9474520717
Trishas,"Vidyasagar Avenue, Near Nehru Stadium, Durgapur - 713204",08017932621
