end,end 2,end 3,end href,end 4
Colleges In Durgapur,,,,
Name,Address,Contact No,,
Durgapur Government College,"Amarabati, Durgapur-14",Website,http://www.durgapurgovtcollege.org/,2500534/ 2500932
Durgapur Institute of Legal studies,"City Centre, Phase- II, Near Gandhi More, Durgapur- 713 208, Dist : Paschim Bardhaman",,,343 645 1619/254 3388
Durgapur Women's College,Durgapur -9,,,0343- 2562852
Durgapur Institute of Legal Studies (DILS),"City Centre Phase-II, Gandhi More, City Centre, Durgapur- 713216, Dist : Paschim Bardhaman",,,+91 9434033636
Law College Durgapur,"G.T. Road, Rajbandh, Durgapur,  Dist : Paschim Bardhaman",,,"0343-2520-009/ 9474700287, 8900001230/ 8348691547"
Michael Madhusudan Memorial College,"Bhagat Singh More, City Centre, Durgapur-16, Dist : Paschim Bardhaman",,,0343- 2566700
Mankar College,Mankar,,,247269
Mohanananda B.Ed College,"Mohanananda-Bithi, P.O.:- Nadhia, Durgapur -18, Paschim Bardhaman",Website,http://www.mohananandacollege.org/,(0343) 2555428
Engineering Colleges In Durgapur,,,,
Name,Address,Contact No,,
AryaBhatta Institute Of Engineering & Management,"Panagarh, P.O. Panagarh Bazar, Dist : Paschim Bardhaman, Pin-713148",,,2526415/ 416/417
Bengal College of Engineering & Technology,"Sahid Sukumar Banerjee Sarani, Bidhannagar, Durgapur-12, Dist : Paschim Bardhaman",,,2533189/ 90
Durgapur Institute Of Advanced Technology & Management,"Rajbandh, Durgapur, Dist : Paschim Bardhaman",,,2520712/ 13
Dr. B.C. Roy Engineering College,"Jemua Road, Fuljhore, Durgapur -713206, Dist : Paschim Bardhaman",,,0343- 2501353
Kanksa Academy of Technology and Management(KATM),"Behind B.D.O office, Kanksa Block, P.O.-Panagarh Bazar, Dist.- Paschim Bardhaman, Pin code - 713148, W.B.",,,0343 - 2524038 / 39 /41
National Institute Of Technology (NIT ) (REC),"Mahatma Gandhi Avenue, Durgapur-9",Website,http://www.nitdgp.ac.in/,091343546397/ 546753
Technical and Engineering Institutes In Durgapur,,,,
Name,Address,Contact No,,
Bengal College of Pharmaceutical Science and Research,"Biplabi Rash Behari Basu Sarani, Durgapur -713212",,,"343-6511051, 6454750, 2533190"
Durgapur Institute Of Science & Technology,"Jahawarlal Nehru Avenue, Near SEPCO Township, Durgapur -713205",,,0343- 2568727
Durgapur Society for Safety and Professional Education,"Anurupa Devi Smriti Pathagar Building, Ashoke Avenue, A-Zone, Durgapur -713204",,,91- 9933163045/ 9932917313
Durgapur Polytechnic College,"City Centre Phase-II, Gandhi More, Pallasdiha, City Centre, Durgapur -713216",,,+91 9434033636
Durgapur Private ITI,"City Centre Phase-II, Gandhi More, Pallasdiha, City Centre, Durgapur -713216, Dist : Paschim Bardhaman",,,+91 9434033636
Durgapur Technical Institute,"28, Malhar West, Bengal Ambuja Plot, City centre, Durgapur -713216, Dist : Paschim Bardhaman",,,0343- 2544639
Industrial Training Institute,Durgapur-12,,,0343- 2557371
National Power Training Institute,"Michael Faraday Street, City Center, Durgapur - 713216",Website,http://www.nptidurgapur.com/,"0343-2547763, 2546887, 2546237"
RAJENDRANATH ACADEMY FOR TEACHERS EDUCATION,"Gopalpur village, Gopalpur Road, Durgapur-713212",Website,http://www.rajendraacademy.com//,"0343-253  8468, 7797444466"
Rajendranath College of Polytechnic,"Gopalpur village, Gopalpur Road, Durgapur-713212",Website,http://www.rpcollege.ind.in/,"0343-2538469, 6455766/ 7797333666"
SAFAL Foundation (Skill Training Free of Cost),"500 Kamolpur Plot, Benachity,",,,0343-2583466/ 8583986687/ 8584890977
The Institute Of Paramedical & Therapeutic Science & Technology,"Hellen Keller Sarani, Bidhannagar, Durgapur-12",Website,http://www.paramedicalcollege.org/,0343- 2535487/ 2532154 / 3205351
The New Horizons Institute Of Technology,"Phase-11, City Centre, South GT Road(near Gandhi More), Durgapur-713208",Website,http://nhit.in/,"0343- 2542102, 2542103, 25421082"
WIFD INSTITUTE(WESTERN INSTITUTE OF FASHION DESIGN),"Gopalpur village, Gopalpur Road, Durgapur-713212, Dist : Paschim Bardhaman",,,08170061266/ 8170061366
