end,end 2,end 3
Computer Classes In Durgapur,,
Name,Address,Contact No
Benachity Mega Soft Computer Education Center,"J.K. Paul Lane, Near Loknath Ashram, Benachity, Durgapur- 713213",0343
City Com: Welfare Academy,"18/9 Joydev Avenue, B-Zone, Durgapur-5",0343-2563720
Computer Teaching Center,"Einstien Avenue, B-Zone, Durgapur-5",0343-2567184
Computer Zone,"(5/14 Newton Avenue, B-Zone, Durgapur-5) (2/45 David hare Road, B-Zone, DGP-5) (14 Kabiguru Sarani, City Centre, DGP-16)",9332802136
Dipankar Dey,"21/16 Joydeb Avenue, B-Zone, Durgapur-5 Alternative: 79 Shantipath Road, C-Zone, DGP-5",9332999355/ 9002817186/ 8972175801
Dreamland Computer Educational Centre,"6/4 Chandidas Avenue, B-Zone, Durgapur-5",9932319383
ICON INFOTECH (Raja Sir),"13/22 Chandidas Avenue, B-Zone, Durgapur-5",9475016220
Gargi Bhattacharya,"Amarabati, Durgapur-14",0343-2502599
Gopal Computer Education Society,"82, Vivekananda Pally, Gurudwara Road, Durgapur-713213 (Near A.G. Church School)",0343-2586847/ 9332427203
Lalani Computer Academy,"UCP-005, Bengal Ambuja, City Centre, Durgapur-713216",07864045453/ 7864045454
Nam Computer Centre,"16/10 Kashiram Das Road, B-Zone, Durgapur-5",0343-5532738
N.C.A. (W.B. Govt. Registered),"6/50 Joydev Avenue, B-Zone, Durgapur-5",0343- 2565716/ 9333917558
Nivedita Patha Bhaban,"3F/1 Nivedita Place, Benachity, Durgapur-713213 WS-1, Secondary Road, A-zone, Durgapur-713204",09933163313/ 9832232900
Om Tech Centre,"3 B/19 SEPCO, Near Bhagat Singh More, B-Zone, Durgapur-5",.
Pathfinder Branch,"3 A/6 SEPCO, B-Zone, Durgapur-5",0343- 2582669/ 9832257291
Subhasis Bhattacharya,"15/1 Vidyapathi Road, B-Zone, Durgapur-5",.
Subhasis Bhattacharya,"4/35 Newton Avenue, B-Zone, Durgapur-5",0343-6521955.
Students Computer Academy,"4/2 Bhagat Singh More, Durgapur-5",.
Students Computer Academy,"A-zone, Durgapur-4",.
Students Computer Institute,"Ghosh Market, Mamra, Durgapur-6",9932870107
Students Computer Point (Branch),"3 A/1 House No-3, SEPCO, B-Zone, Durgapur-5",9333907505/ 9332079391
Students Computer Point,"A-Zone, Durgapur-4",.
Sanjoy Acharya,"6/1 H.S.C.L. Colony, Rajendra Prasad Sarani, B-Zone, Durgapur-5",0343-2602129
Soft Tech,"Mamra Bazar, Durgapur-6",.
Unique Computer Centre,"5E/10, Srinagar Pally, Benachity, Durgapur-713213",9832197741/  9476427068
Uttaran Vidyapith,"21/18 Chandidas Avenue, B- Zone, Durgapur -713205",9563125591/ 8116685893
Yash Computer Academy,"1/2, SEPCO Township, B-Zone, Durgapur-713205",09832278442
