end,end 2,end 3
Contractors of Durgapur,,
Civil Contractors of Durgapur,,
Name,Address,Contact No
A and A Enterprise,"Mamra, Sukanta Pally, Durgapur-6",0343 2500415
Ankit Engineers (Contractor and Engineers),"Santiban Park, Sanjib Sarani, Durgapur-1",0343 2557447
Bama Enterprise,"Faridpur, Durgapur-13",0343 2546817
Bijoy Construction,"Sagar Bhanga, Durgapur-19",09932255057
Chandra,"B-Zone, Durgapur-5",09832161339
Chatterjee Enterprise,"Birbhanpur, Durgapur-2",0343 2556276
Dey Construction,"18/30 Kashiram Das Road, B-Zone, Durgapur-713205",08513861779
Doyal Chandra Mondol,"6/14 Tilok Road, B-Zone, Durgapur-713205",0343 2560910
Indiana Steel Construction,"Ground floor, Near Ambagan Municipality, Anando Nagar, Bhiringi, Durgapur - 713213",07602149843/ 9932244804
Khalsa Bros,"Bidhannaar, Durgapur - 713212",0343 2537069/ 2534336/ 9434004382/ 9434010439
Maa Tara Construction,"Rabindra Pally, Block-C, Near SBI, Durgapur-713201",09332330309/ 9474530996
Mahalaxmi Mechciv Enterprise,"Lilawati Bhavan, Near Aasram, New Steel Park, Durgapur - 713206",09932252631/ 9832758580
M.M.Mishra & Co.,"B.C.Roy Engeneering College, Fuljhor, Durgapur - 713203",0343- 2583857
M S Construction,"19, Near Ambagan Health Center, Nachan Road, Benachity, Durgapur - 713213",08603400500
M/S Chandrakala Udyog,"19, Near Ambagan Municipality, Bhiringi Ambagan Road, Benachity, Durgapur - 713213",08967045439
Mukherjee Construction,"3E/3, Sukanta Pally, Durgapur - 713203",0343- 2573509/ 6455687/ 2570860/ 9434002533
Nandy Engineering Works,"Nabapally, Benachity, Durgapur - 713213",0343- 2582094/ 9436128998/ 9800889559
Nirman Enterprise,"B-91, Sector-2A, Biplabi Bipin Chandra Paul Sarani, Bidhannagar, Durgapur - 713212",0343- 2533041/ 9333919474
Rafiq Enterprise,"J.K.Paul Lane, Benachity, Durgapur - 713213",0343- 2587093
Royal Enterprise,"Edition Road and Dhabani, Durgapur - 713205",0343- 2563261/ 9232244712
Santosh Enterprise,"Amrai Main Road, Durgapur - 713203",0343- 2575639/ 9474885110
Silver Line Electricals,"34 Subhas Pally, Michel Sarani, Benachity, Durgapur - 713213",0343- 2586196/ 9332161707/ 9476425002
Supreme Construction,"64, Moulana Azad Sarani, City Centre, Durgapur - 713216",0343- 2605883
