end,end 2,end 3
Couriers of Durgapur,,
Name,Address,Contact No
Air State Couriers Durgapur,"P-49, Recol Park, City Center, Durgapur - 713216",0343- 2546908/ 2546267
Blue Dart  Express Ltd,"Ground Floor, Near Bhiringi T. N. School, Nachan Road, Benachity, Durgapur - 713213",0343- 2583946/ 9333927044
City Commercial,Durgapur,0343 2583946
DTDC Courier & Cargo Ltd,"Ananda Mansion, Ground Floor, Below Jeevandeep Nursing Home, Dr B C Roy Avenue, Durgapur - 713201",0343- 3205880/  2550708/ 2559563
DTDC Courier & Cargo Ltd,"3/ 17, Doctors Colony, Central Park, City Centre Durgapur, Durgapur - 713216",9333445768/ 9475859549
DTDC Courier & Cargo Ltd,"Kamalpur Plot, Benachity, DURGAPUR - 713213",0343- 2587184
DTDC,Durgapur,09831766376
Express Courier,"J-6, Zonal Centre, Durgapur Ho, Durgapur - 713201",0343- 2558941/ 2557604
Express IT,"B-Zone, Durgapur",09932686402
Fedex Express,"Trinayani Mansion, Nachan Road, Benachity, Durgapur - 713213",+91-9333732447
First Flight,"Near Reliance Hotel, Nachan Road, Benachity, Durgapur - 713213",0343 3204322/ 9332110415
First Flight Couriers LTD,"B-6, Michel Firaday Sarani, Non company , City Centre, Durgapur - 713216, Near NPTI","0343 3204322, 9851136206, 9333037089, 9332110415"
First Flight Couriers LTD,"Nandan Market, Below Central Bank, Dr B C Roy Avenue, Durgapur Ho, Durgapur - 713201",0343
Fly King,"Bidhan Market, bidhannagar, Durgapur - 713212",0343 2583828
GATI,"Mondal Building, Ground Floor, Near Star Hotel, G T Road, Bhiringi, Durgapur - 713213",0343- 2582038/ 2583974/ 9933068355
Jit's Courier,Durgapur,0343 2582469
Jyoti,"Stall No- 249, Sarat Chandra Avenue, Chandidas Market, B-Zone, Durgapur- 713205",09832792840
Maruti Express Courier,"J K Paul Lane, Benachity, Durgapur - 713213","0343-6450919  +91-9832163733, 9333799509"
Overnight Express,"Acharya Market, Quisor More, Benachity, Durgapur - 713213","0343 6450475/ 9233313315, +91-33-22878012"
Puspadeep (DTDC),"Stall N0. 38, J.M. Sengupta Road, Opp. DSP Main Hospital, Durgapur-4",0343 2601209
Quick N Safe Ltd,"K 3/9, Tapaban Abasan, Near Tapabon Cultural Club, 54 Feet Road, Benachity, Durgapur - 713213",09333746684
Skylark Express Durgapur,"Venus Studio Bldg, Near Bhiringee Kali Bari, Benachity, Durgapur - 713213",0343- 2584308
Safexpress Centre,"G T Road, Bhiringi, Durgapur - 713213",0343- 6451667/ 1800113113
TCI XPS,"Jaganath Bhawan, Bhiringi, Near Gaouri Hotel, G T Road, Durgapur - 713213","0343 2583081, 2583560, 3094512, 3090390/ 9002988863"
TNT India Pvt Ltd,"Near Bhiringi More, G T Road, Benachity, Durgapur - 713213",0343 6450737
United Air Express and Fedex,"Trinayani mansion, Top Of Senco Gold, Nachan Road, Benachity, Durgapur - 713213",09333732447
