end,end 2,end 3
Decorators in Durgapur,,
Name,Address,Contact No
3 Star,"Near B-Zone State Bank, B-Zone, Durgapur- 713205",09233798852/ 9093518094/ 9749658216
Anima Decorators & Co.,"J.P.Avenue Muchipara, Durgapur - 713212",0343- 2556267
Bhoj Caterer and Decorator,"Vidyasagar Avenue, Durgapur -5",9832176664/ 9434015018
B K Decorators Cum Caterers,"Near 12th Street, David Hare Road, B-Zone, Durgapur 713205",0343- 5534450/ 9434311170/ 9332083960
Decorators And Caterer Prince,"St, Pauls Road, Ashish Market, A-Zone, Durgapur - 713204",09434539607
Durgapur Decorators And Caterers,"Stall No 842,  C Zone Market,  Durgapur 713205",09333900083
Economy Caterer & Decorator,"Near B-Zone State Bank, Tansen Road, B-Zone, Durgapur- 713205",09832293893/ 9332881435
Kwality Decorator cum Caterer,Durgapur,0343 2570414
Lotus Caterer and Decorator,"J.M. Sengupta Road, Durgapur",0343 2566607
MAA Annapurna Decorator,"Faridpur Main Road, Benachity, Durgapur- 713213",09474882636
MA Tara Decorators,"Bus Stand,Sandhu Danga, Durgapur - 713201",0343- 2555349/ 9475151486
Maha Kali Decorators & Caterer,"Stall No-4, Chandidas Market, B-Zone, Durgapur-713205",09732086726
Malu Decorator,"D.N. Market, Durgapur - 713202",09738071308
Matri Decorator,Durgapur,0343 2583013
Mona,Durgapur,09775042222
Monarch Decorator Cum Caterer,"Rana Pratap Road, A-Zone, Durgapur - 713204",09474014302
Nandi Decorators,"Stall No- 281, Sarat Chandra Avenue, Durgapur- 713205",09851426202
Nice (Sujit Thander),"Mahiskapur Road, B-Zone,  Durgapur- 713205",08926172501
New Durga Decorators,"M.G. Road, Ukhra, Durgapur - 713363",09378308054
New Jana Decorator,Durgapur,0343 2584878
New Modern Decorators Durgapur,"J P Ave, Muchipara, Durgapur - 713212",0343 - 2558075
New Puja Decorator & Caterer,"Kamalpur Plot, Benachity, Durgapur - 713213",09434201668
Purna Decorators,"M.K.Plot, Benachity Durgapur - 713213",0343- 2584517
Puspa Decorator,Durgapur,09333728239
Rastaka Decorator Cum Caterer,"Stall no 47, Marconi Road, Durgapur- 5",0343 2568242
Saha Decorators,"Netaji Nagar, Benachity, Durgapur - 713213",0343- 2564206/ 9333906572
Sahin Caterers Cum Decorators,"C-Zone Open Market, Durgapur - 713205",09832200514
Solution Enterprise (Flower Decoration),"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Soma Decorators,"Birbhanpur Tetul Bagan, Durgapur - 713202",09332072347/ 9475937898
Sradhanjali Decorators Durgapur,"Stall No 24, Newton Sector Mkt, Durgapur - 713205",0343- 2568473
Star Caterer and Decorator,Durgapur- 5,0343 2566203
Swadheen Decorators,"Santi Ram Roy Arrah Kalinagar More, Bidhannagar, Durgapur - 713212",0343 -2537973
Swapan Decorators and Caterers,"Trunk Road Prantika, Kamalpur plot, Durgapur - 713204",09832190502
Tripal House,Durgapur,0343 2554670
United Caterer Cum Decorator,"Ramkrishna Pally, Benachity,  Durgapur - 713213",0343- 2584065/ 9333374487
Universal Decorators Durgapur,"Ramkrishna Pally, Benachity,  Durgapur - 713213",0343- 2560616
Utsab Caterer and Decorator,Durgapur,09434332948
