end,end 2,end 3
Electrical,,
Name,Address,Contact No
A.K. Electro Works,Durgapur,0343 2584311
Biswas Electrical,Durgapur,0343 2551362
City Light Electrical,"Trinayani Mansion, Beside Senco Gold, Nachan Road, Benachity, Durgapur - 713213",09332831414
City Shine Sales Corporation,"B-111, Merbold Street, (Near Ram Sita Mandir), Durgapur- 12",0343 3040788/ 7797974444
Durgapur General Suppliers,Durgapur,0343 2583846
Durgapur Solar,Durgapur,0343 3127009
Dhanya Electric Enterprises,Durgapur,0343 2588076
Eastern Electrical Enterprise,Durgapur,0343 2582957
Electrical Equipment Corporation,Durgapur,0343 2582077
Friends Electrical,Durgapur,09333924650
Ganga Electric,"Salbagan Road, Benachity, Durgapur - 713213",0343- 2574077
Mithu Electronics Centre,"Stall No-259, Sarat Chandra (West), B-Zone, Durgapur-713205",09475830009/ 9332127115/ 9832162111
S.Dey Electricals,"S.K.Dey Hattala Road, Durgapur - 713201",0343- 2555339
Singh Electrical,"B-2, DVC More, MAMC Township, Durgapur - 713210",0343- 2542567
The National Electrical Works,Durgapur,0343 2584529
The Power House,"Stall No 192, Beside Congress Party Office, Steel Market, Nachan Road, Benachity, Durgapur - 713213",07407900585
Vinayak Enterprise,Durgapur,0343 3290215
