end,end 2,end 3
Electronic Shops in Durgapur,,
Name,Address,Contact No
A.K. Electronic,Durgapur,0343 2587814
Abhijeet Electronics,Durgapur,0343 3125246
Alishaan Multi Tech,Durgapur,0343 6562426
Aloka,"Nachan Road, Durgapur - 713213",09474370762
Arup Electronics,"Radhakrishna Pally, Benachity, Durgapur - 713213",0343 2583234/ 2582542
Bajaj Traders,"Nachan Road, Benachity, Durgapur - 713213",0343 3290210/ 6456231/ 9832120130/ 9932255620/ 9800880088
Balaji Electronics,"Ghosh Market, Uttarpalli Road, Benachity, Durgapur - 713213",09332026864
Deeya Electrical,"Bhiringi More Road, Benachity, Durgapur - 713213",09734762301
Dey Radio,"Ghosh market Gully, Benachity, Durgapur-713213",0343 2572542
Dsp Employees Co Operative Society Ltd,"Near Panch Matha More, Akbar Road, Benachity, Durgapur - 713213",0343 2570584
Electrical Equipment Corpn,"Bhiringi More Road, Benachity, Durgapur - 713213",09434573935
Electronics Centre,"Near Bank Of India, Benachity, Durgapur - 713213",0343 2583890/  2583762
Electronics Centre Pvt Ltd,"Near PNB, Nachan Road, Benachity, Durgapur - 713213",09749624486/ 9434041509
Electronic House,Durgapur,0343 2556301
Electronic Solution,"J.K. Paul Lane, Benachity, Durgapur-13",0343 2588063/ 9932025868
Electronic World,Durgapur-713201,0343 2587393/ 9434002898
Esha Distributors,Durgapur,0343 2551217
Harakrishna Electronics,"Bhiringi More Road, Benachity, Durgapur - 713213",09153008113
Hati Enterprise,"Hanuman Mandir Lane, Gurudwara Road, Durgapur - 713213",09734701206
Indranil Electronics,Durgapur,0343 2533208
Jai Guru Electronics,Durgapur,0343 2503404
Kor Electronics,"Bhiringi More Road, Benachity, Durgapur - 713213",09093135003
L G Electronics,"Junction Mall, Near Big Bazar, Durgapur, City Centre, Durgapur - 713216",08348689461
MAA Fullara Electrical,"Bhiringi More Road, Benachity, Durgapur - 713213",09609674491
Mithu Electronics Centre,"Stall No-259, Sarat Chandra (West), B-Zone, Durgapur-713205",09475830009/ 9332127115/ 9832162111
National Electronics,"Nachan Road, Bhiringi, Durgapur - 713213",0343 2582815/ 2543774/ 9434536006/ 9832176207/ 9932069618
National Electronics,"Junction Mall, Second floor of Junction mall, City Centre, Durgapur - 713216",0343 2543774/ 2582815/ 2545544/ 9332336079/ 9832176207
New Ruj Brothers,"Near Durgapur Station Bazar, S B More, Durgapur - 713201",0343 2559587/ 9232500751
Philips Arena,Durgapur,0343 2584108
Powertech Electronics,Durgapur,0343 2546437
Reliance Refrigeration,"Stall No- 45, Sarat Chandra Avenue (East), B-Zone, Durgapur- 713205",09832215054
Roshan Electronics,"Benachity, Durgapur-713213",0343 2582401
Santana Electronics,"Nachan Road, Benachity, Durgapur - 713213",0343 2583834/ 9434002586/ 9474880721
Sony World,"Nachan Road, Benachity, Durgapur - 713213",0343 2585633
Sumeet Electrical Electronics,"N S B Road, Pop-Ukhra, Rajbandh, Durgapur - 713212",09434100636
Star Electronics,Durgapur,09732251906
The Arup,"Bhiringi Nachan Road, Bhiringi, Durgapur - 713213",09749158153/ 9832860566
The Big Boss,"Nachan Road, Benachity, Durgapur - 713213",09735819931
The New Roy's Electronics,Durgapur,0343 2502736
Trippty Electronics,"Opposite Gurudwara, Gurudwara Road, Benachity, Durgapur - 713213",0343 2584197/ 9434007979
Video Plaza,"7/8 Groundfloor, In Junction Mall, Sahid Khudiram Sarani, City Centre, Durgapur - 713216","9332316155, 8509723116"
Video Plaza,"Nachan Road, Benachity, Durgapur-713213",0343 2582713
Video Plaza,"Muchipara, Durgapur - 713212",0343 2558833/ 9434536275/ 9475936993
Zonal Electricals,"Near IBP Petrol Pump, JP Avenue, Sagarbhanga, Durgapur - 713211",09734220551
