end,end 2,end 3
Event Management in Durgapur,,
Name,Address,Contact No
"Asit B Chatterjee's ""What Not Here Solution""","B3/64A1, Netaji colony, 54 Feet Main Road, near Khudiram football ground, Durgapur - 713213",+91 90020 00298
Beck and Call Services Pvt. Ltd,"UCP 36, Bengal Ambuja Complex, City Centre, Durgapur, West Bengal 713216",+91 80160 90280
Corporate Solutions,"City Centre, Durgapur - 713216",9933300777
Elite Events,"City Centre, Durgapur - 713216",9304851756
Eureka,"B.C Roy Market, Sona Patti, Near 25 no street Chandidas Road, B-Zone, Durgapur-5",09434200945
Exultant Events,"Kabi Kumud Ranjan Mallick Sarani, Aranyak (West), Bidhannagar, Durgapur, West Bengal 713212",+91 75510 69128
Fabulous Management,"69 - Moulana Azad Sarani, City Centre, Durgapur-713216","0343 2543731 9434388191, 94341 47569"
Glamour World,"Ground Floor, Gandhimore, Near Faridpur Police Station, Durgapur, West Bengal 713216",+91 9333907685
Green Apple,"87, St. Xaviers Marg, C Zone, Durgapur Steel Town East, Durgapur - 713205",9679704520
Hopes Event,Durgapur,09832841442
Innovadores,"64, Madhusudan Dutta Path, SAIL Co-Operative, City Center, Durgapur- 713216",+91 89721 90800
Jupiter,"St. No.64, Bhagat Singh Marg, B-Zone, Durgapur, West Bengal 713205",+91 98000 07777
Mahfil,"Tagore House, Durgapur-4",0343 2604848
Maa Tara Caterer,"Ashis Market, A-Zone, Durgapur, West Bengal 713204",+91 89000 00228
Real Big Dream Event & Media Pvt. Ltd.,"5, Royal Stag Lane, Bengal Ambuja, Near Durgapur Cinema Hall, City Centre, Durgapur-713216",03433196767/  9933713446
Roy Decorators,"Street No- 21, Angadpur, Near Angadpur Hari Mandir, Durgapur- 713215",+91 93332 48830
Saptak Musical Group,"169, Sovapur Road, B-Zone, Durgapur-05","09333907806/ 750198885, 7872422888"
Shila Event Management & Decoration,"Aesby More, Durgapur, Pin: 713201",+91 81019 54044
Solution Enterprise,"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Sruti Based an event Communication Service,"Road no-72, fuljhore, Durgapur-713206",09232047434
Sruti Based on Corporate,"Khudiram pally, Bidhannagar, Durgapur-06",09232047434
Sruti Musical Group,Durgapur,0933392147
S. Kumar,Durgapur,0343 2582785
The Harmonic World,"Sabuj Pally, Old Court, Durgapur - 713203  website: www.theharmonicworld.in",9333907893
The Public Communication,"Laxmi Bhawan, Tetultala More, Durgapur Sagarbhanga Colony, Durgapur - 713211",9851009749
