end,end 2,end 3,end 4
Restaurants in Durgapur,,,
Name,Address,Contact No,Speciality
Ananya's Restaurant,"OCS-16, City Centre, Durgapur -16",2545470 9332226063 740-740-5555,"A.C)Chinese, Tandoori"
Banerjee Inn,"3601, Satyajit Roy Path, City Centre, Durgapur 713216",0343 254 9944,"Continental, Indian Foods"
Banalata Restaurant,"Abanindra Bithi, City Centre, Durgapur - 713216",.,"Continental, Indian Foods"
Banskopa Inn,"Banskopa, Near Rajbandh, Durgapur -10",.,"Continental, Indian Foods"
Boiled Ices,Sambhu Mitra Bithi City Centre Durgapur - 16 Near Durgapur Cinema,"0343- 2549999, +91 9230839393",AC Restaurant.
BUZZ Court,"Junction Mall, City Centre, Durgapur -16",.,
City Cabin,"Tilok-David More, B-Zone, Durgapur -5",.,Cafe & Restaurant
Dawat-E-Biryani,"Gurudwara Road, Infront of Banik Hardware, Benachity, Durgapur 13","+91 9932067143, 9800050508","Continental, Chinese, Etc."
Domino's Pizza,"Crosspace, Ground Floor, 821 (p), Gandhi More, Beside Junction Mall, City Centre, Durgapur- 713216",0343- 2547726/ 27/ 28/ 29/ 30/ 31/ 32/ 33,"Pizza, Subwich and other beverages"
Dumpling momo,"3rd floor,food junction,junction mall,City centre area, Durgapur-713216",+91- 9007015146,Veg & Non-veg Momo
Dumpling momo,"Ground floor,Fortune Plaza mall, Benachity Market area, Durgapur-713213",+91- 9007015146,Veg & Non-veg Momo
Durgapur Food Mart,"Satyajit Roy Sarani, city center, Durgapur 713216, India",0343-2543907/ 9831716519/ 9126918063,"Bar, Restaurant, Indian, Chinese, Continental"
Evelyn,"A1/18, S S B Sarani, Bidhannagar, Durgapur - 713212, Near Petrol Pump",+91 8900312003,"Indian, Tandoori, HOME DELIVERY"
Hong Kong,"Stall No. 43, Steel Market, Durgapur-13",.,"Chinese, Etc."
Hot & Spice,"Nachan Road | Bengal Timber Complex, Bhiringi, Benachity, Durgapur 713213",97333 17999,"Chinese, Thai"
Hotel Balaji & Restaurant,"Sahid Aloke Mkt, Bus Stand, Durgapur-1",3091482,Economical Restaurant
Hungry Zone,"Steel Park More, Bidhannagar, Durgapur-6",9832212493/ 9332829460,Economical Restaurant
Jhilam,"Stall No-77, Sarat Chandra(East) Avenue, Chandidas Market, B-Zone, Durgapur -713205",0343-6455076,"Continental, Chinese, Indian Etc."
KFC,"17, Lower Ground Floor, Junction Mall, City Centre, Durgapur -713216",0343 254268,"Fast food, American"
Karan's Delicacy,"Sarat Chandra Avenue, Near Chandidas Rotary, Durgapur -713205",08798017804,"Continental, Chinese, Indian Etc."
Khawa Dawa,"Bhiringi More, Durgapur -13",0343-2584897,Cafe & Restaurant
Kohinoor,"Benachity, Durgapur-13",0343-2587600,"Indian Foods, & Moglai."
Kohinoor Chandidas,"Chandidas Market, Durgapur-5",0343-,"Indian Foods, & Moglai."
"Gc-5 ADDA, Garage Market, Durgapur -16",9333928977,Various Snaks & Soft Drinks,
Kris Sweets & Snacks,"Unit - A/101 Ground Floor, Kalpataru building,  City Center, Durgapur -16",0,"Sweets, Various Snacks & Soft Drinks"
La-Cafe,"Stall No-49, Steel Market, Durgapur -13",0343 2571401,Chinese
LaMChi,"N1, Doctor's Colony, City Centre, Durgapur - 713216",9800090343/ 9800090504/ 9800090535,"Biryanis, Kebabs, Curries & Desserts"
Lemon Grass,"6/13 Suhatta Shopping Mall and Junction Mall, City Centre, Durgapur-16",0343-2543917,Chinese Dishes-The Authentic Oriental Cuisine
Mainland China,"4th Floor, Shahid Khudiram Sarani, Junction Mall, City Centre, Durgapur-16",343 254 6777,"Chinese, International, Asian"
Mehak-E-Punjab,"3rd Floor, Junction Mall, City Centre, Durgapur-16",0343 2547000,"Indian, Continental"
Moti Mahal Deluxe,"Above Swg Maruti Showroom, Nh2, Faridpur, Near City Centre, Durgapur - 713213, West Bengal, India",0343- 6600679/ 7872981000,Indian
NABANNA,"Mangalik, City Centre, Near Durgapur Cinema, Durgapur 713216",+(91) 9434077070,"Chinese, Indian"
New Hotel Samrat,"G.T. Road, Faridpur, Durgapur -13",0343-2546925,"Bar, Family Restaurant, Garden Restaurant"
Pancha Byanjan Restaurant  (Home Delivery),"D-Sector market, A-Zone, Durgapur 713204","+(91) 8172049520, 9083040278, 7430961067, 9474880783","Indian, South Indian, Chinese"
Panchphoron Restaurant,"A1/11 SSB Sarani Bidhan Nagar, Durgapur 713212",+(91) 8101914899,"Vegetarian Friendly, Bengali, Chinese, Indian, Asian, Vietnamese"
Panthasala,"Ground Floor, City Center, City Centre, Durgapur - 713216, Opposite Suhatta Mall","+(91) 9800595243 ,  9332077620","Multicusine, Indian"
Pritika,"Near PumpHouse, Bidhannagar, Durgapur -12",2533638/9,Bar & Restaurant
Priyanka Restaurant,"Near Bhiringi Kalibari, Nachan Road, Durgapur -13",2583997,"Indian, Chinese & Continental"
Salsa RocK,"Bidhan Nagar, Near Pump House, Durgapur 713212",0343- +(91)7501121219,"Mexican, Chinese, American"
Sasural,"G.T. Road, Bhiringi,  Durgapur -13",2582399,"Restaurant-Indian (North & south), Continental, Chinese."
Sher E Bengal,"Gurunath Apartment, Sagarbhanga, Durgapur - 713211, Beside SBI FCI Branch",+(91)- 9475201300,"Restaurants, Home Delivery, Pure Veg, Multicuisine, AC Banquet Halls, Punjabi Restaurants"
Shiraz Golden Restaurant,"3/1 Bengal Ambuja, City Centre, Durgapur 713216",0343 3209188,"Indian, Asian, Halal, Diner"
SKY DINE,"Just opposite to Junction Mall Durgapur, City Centre, Durgapur 713216",078723 65365,"Multi-Cuisine, Parking Lot and valet parking"
Solo Ana Bangali,"Fortune Plaza, Nachan Road, Benachity, Durgapur-13",9051211137,AC Restaurant.
Soumen,"Stall No-E.R.8, Chandidas Market, Durgapur - 5",2565936/ 9434225538,Restaurant
Tamara,"Junction Mall, City Centre Durgapur, Durgapur-16",0343 3432543303,"Chinese, Indian, International, Thai"
Tandoor,"Stall No:47, Steel Market, Durgapur -04",2573837,"MultiCuisine Restaurant, Indian , Chinese, Moghlai and Tandoori."
The Concerto Residentia,"A1 19 & 20, Sector 2A, Sahid Sukumar Banerjee Sarani, Bidhannagar, Durgapur - 713212, Near Petrol Pump","8170014500 ,  8170014501",Restaurants & Bars
The Coral Durgapur,"A1-14, S.S. B Sarani,Sector- 2A. Bidhannagar Near Petrol Pump, Durgapur, West Bengal",9333543601/9333543610,"Restaurants & Bars, Banquets, rooms, family bar cum restaurant and family restaurant."
The Pavilion,"3rd Floor, Dreamplex, City Centre, Durgapur - 713216",Restaurants & Bars,
Uncle's Kitchen,"Sarat Chandra West Avenue, Chandidas Market, Near Chatimtala Dasakarman Gully, B-Zone, Durgapur-713205","+91 9091881074, 9091881084, 9832176329","Veg, Non Veg, Indian, Chinese & Tandoori"
Utsav Resort,"Near H.P Installation, NH-2, Rajbandh Chatty, Durgapur-713212",9233377782/ 9233377723,"Multi cuisine Restaurant (Tandoor, Indian, Chinese, Continental) & Bar"
Vibgyor,"Yuri Gagarin Path,  Ananda Nagar, Muchi Para, Durgapur -12","2555476, 2555760","Hotel, Restaurant and Bar"
Zaika Inn Restaurant,"A 30 Almindra Bithi, City Centre, Durgapur 713216",0,"Hotel, Restaurant and Bar"
