end,end 2,end 3,end 4
Financial Organisation Of Durgapur,,,
Name,Address,Contact Person,Contact No
APeejay Finance Ltd,"City Centre, Durgapur-16",.,.
Ashok Leyland Finance Ltd,"City Centre, Bengal Sristi Building, Durgapur-16",Vinod Roy,9434003171
BishaHari Finance Ltd,Panagarh,Sandip Agarwal,.
BHW Birla Home Finance Ltd.,"City Centre, Durgapur-16.",.,2544349
Bajaj Auto Finance Ltd,"Ajit Bannerjee Building, Nachan Road, Benachity, Durgapur-13",.,0343- 2586442 (office)
Bajaj Finserv Lending,"Ajit Banerjee Building, Nachan Road, Benachity, Durgapur - 713213",.,"+91-20-39574151, 39575152, +(91)-20-39574151, 39575152"
Citi Financial Ltd,"City Centre, Durgapur-16",.,2543062
Family Credit,"Block-B, Room No-B308, 2nd Floor, Bengal Shristri Commercial Complex, City Centre, Durgapur-16",Prithwish Chatterjee,9831843426/ 3988300
Fullerton India,"Beside Durgapur Cinema, City Centre, Durgapur-16",.,.
H.D.F.C. Bank Ltd,"Bengal Sristi Building, City Centre, Durgapur-16",Abhijit Roy,9832167650
ICICI Bank Ltd,"Bengal Sristi Building, Durgapur-16",Koushik Sarupa,9434172773
Kotak Mahindra Bank Ltd,Kolkata,Parimal Roy,9830990825
Magma Finance Ltd,"Bhiringee, G.T.Road, Durgapur-3",.,9933005588/ 2587839 (Office)
Magma Fincorp Ltd,"Banerjee Auto Corpn. G.T.Rad, Bhiringi(West) Durgapur-3, Bhiringi, Durgapur - 713213",.,343-2585247
Muthoot Finance LTD,"2nd Floor, Nachan Road, Benachity, Durgapur - 713213, Opposite Bank Of India",.,"343-2588442, 2588443, 2588444"
S.S.Financial Service,Durgapur,.,2555922
Sahara Housing Finance Corporation Ltd.,Durgapur,.,2543248
Srachi Securities Ltd.,"Murgasal, Asansol",Mr. Saradendu Gupta,9434130443
Sundaram Finance Ltd.,"Bengal sristi Building, City Centre, Durgapur-16",Bishu Da,9434024294
United India Insurance Co. Ltd.,"Dutta Autumobile Building, Benachity, Durgapur-13",Bishu Da,2582961
