end,end 2,end 3
Furnishing shops in Durgapur,,
Name,Address,Contact No
Astha (Mattress Retailer) (KURLON),"A 17, Zonal Centre, Near SBI ATM, J P Avenue, Sagarbhanga, Durgapur - 713211",0343- 2559664/ 9332230088
Calcutta Traders,"Benachity, Durgapur - 713213",0343- 2583746/ 9474112152
City Enterprises,"Benachity, Durgapur - 713213",09434475024
Krishna Furniture,"Zonal Centre, Sagarbhanga, Muchipara, Durgapur - 713212",09332052483
Raj Interior,"Gurudwara Road, Benachity, Durgapur- 13",0343 2572113 2586707
Skipper (Bombay Dyeing & DCM),"Nachan Road, Benachity, Durgapur - 713213",0343- 2588439/ 9832288022
Sri Shyam Tex,"Near Durgapur Station, Station Road, Durgapur - 713201",09332801465
Tropical Interior,"Nachan Road, Benachity, Durgapur- 13",0343 2584353
