end,end 2,end 3
Furniture,,
Name,Address,Contact No
Ajanta Steel Furniture,"Mamra Main Road, Durgapur- 6",0343 2501734
Amantran Furniture,"Opp of Petrol Pump, Akbar Road, Near Benachity Panch Matha More, Durgapur - 713204",09832242226
Ambika Furniture,"Gurudwara Road, Benachity, Durgapur- 13",0343 2583394
Bajaj Enterprise,"Benachity, Durgapur- 713213",0343 2582715
Bankura Furniture,"Benachity, Durgapur- 13",0343 -2586283 / 2583649
Basu Furniture,"Opp Reliance Trends (Fortune Plaza), Nachan Road, Benachity, Durgapur - 713213",09153100632
B L Furniture,"Near Dsp Co Operative Bank, Panch Matha More,  Akbar Road, A-zone, Durgapur-713205",09333906445
Bishal Steel Furniture,"3/24, Sreenagar Pally, Benachity, Durgapur - 713213",09851426233
Calcutta Cane Shop,"Benachity, Durgapur- 13",0343 2586283
Chaitak Furniture,"Stall No-195, Sarat Chandra Avenue(West), B-Zone, Durgapur - 713205",08016658443
Chowdhury Furniture,"Sagar Bhanga, Chatterjee Market, Durgapur - 713211",09434188748
Cozy Com,"SSB Sarani, Bidhannagar, Durgapur - 713212",08101194772
Damro,"Beside Reliance Hotel, Nachan Road, Benachity, Bhiringi, Durgapur-713213",0343 2583293 9233519320
Dear Furniture,"Stall No CS 1, Sarat Chandra Avenue, B Zone, Durgpur 713205",09434647040
Eagle Furniture,"Stall No- 193, Sarat Chandra West, Chandidas Market,  Durgapur-713205",0343 2568281/ 9233365222
Furniture Centre,"Durgapur Station Road, Durgapur - 713201",09434354453
Furniture Point,"Near DTDC Courier, Benachity, Durgapur - 713213",09333774993
Godrej Interio,"Near Bhiringi Kalibari, Benachity Market, Bhiringi, Durgapur - 713213",0343- 2583987
Greeha Sova,"Sarat Chandra West, Chandidas Market,  Durgapur- 713205",0343 2567063
Kamola Furniture,"Gamon Bridge More, Durgapur - 713201",09434475380
Krishna Furniture,"Zonal Centre, Sagarbhanga, Muchipara, Durgapur - 713212",09332052483
MAA Steel Furniture,"Gamon Bridge More, Durgapur - 713201",07384020361
Modella Furniture,"Benachity, Durgapur- 713213",0343 2582410/ 9775788482
Mahamaya  Furniture,"Near Eye Hospital, 27/B N S B Road, Maya Bazar, Durgapur - 713207",0343- 2445147
Modern Style Furniture,"Nanchan Road, Benachity, Durgapur - 713213",0343 - 2583228
Modfurn Furniture,"Shop N0: 312, 313 and 314, 3rd Floor, Junction Mall, Durgapur- 16",0343 6511071/ 32544008/  09476305964
New Modern Furniture,"R 11, 225, Mamra Bazar, Bidhan Nagar Housing Colony, A B V Township, Durgapur - 713206",09434009775
Nice Furniture,"Sarat Chandra West, Chandidas Market, Durgapur- 5",0343
Pioneer Furniture,"Benachity, Durgapur - 713213",09233306017
Quality Furniture,"Benachity, Durgapur- 13",0343 6511071 09476305964
Quality Furniture,"Bhiringi More, Benachity, Durgapur - 713213",0343- 2584562
Raju Furniture,"Durgapur Station Bazar, Durgapur - 713201",09474546805
Raj Interiors,"Nanchan Road, Benachity, Durgapur - 713213",0343- 2572113/ 2586707
Rajhans,"City Squire, Beside Pathik Motel, Khudiram Sarani, City Centre, Durgapur - 713216",09775318580
Rajhans,"Benachity, Durgapur- 13",0343 2582682
Ray Furniture,"Anandamoyee Market, Benachity Bazar, Benachity, Durgapur - 713213",0343 2585010/ 9333915149
Regal Furniture,"Nanchan Road, Benachity, Durgapur - 713213",0343- 2572887
Sadhana Furniture,"Opp of Reliance Trends (Fortune Plaza), Nachan Road, Benachity, Durgapur - 713213",09647904165
Sajawat,"621, Near State Bank Of India, J P Avenue, Sagarbhanga Colony, Durgapur - 713211",08670498286/ 9332615777
Shyam Interiors,"1st floor, Near Quisor more, Nachan Road, Benachity, Durgapur - 713213",09333164276
Sourav Furniture,"Harshabardhan Road, A-Zone, Durgapur - 713204",08001622744
Style Spa Furniture Ltd,"Ajit Banerjee Building, Near Punjab National Bank, Nachan Road, Bhiringi, Durgapur - 713213",0343- 2585818/ 9332314401/ 1800425789/ 9563358827
Tapas Furniture,"Sarat Chandra East, Chandidas Market, Durgapur- 5",0343
Tropical Furniture,"Benachity, Durgapur- 13",0343 2584353
Tropical Interior,"Bhiringi More, Benachity, Durgapur - 713213",09831267326/ 9832167362
Vinayak furniture and mobile,"D21, Near Santosh Club, Yuri Gari Path, Bidhannagar, Durgapur - 713212",09749243470
