end,end 2,end 3
Garment Stores and shops in Durgapur,,
Name,Address,Contact No
Aishwarya Birla Boutique,"A-1/9, SSB Sarani Road, Bidhannagar, Durgapur - 713212, Near ICICI Bank",+91 9932259703
Allen Solly,"Junction Mall, Shop No UG23, City Centre, Durgapur - 713216",0343 2542766
Amar,"Chandidas market, B-Zone, Durgapur-5",0343 2563277 9434011407
Ananya Garments,"Kalpataru, Bengal Sristi building, Near big bazaar, City Centre, Durgapur - 713216","0343-2543371, +91 9434591571, 9434335874"
Angasobha,"Nachan road, Benachity, Durgapur - 713213",07699193916
Anupama,"Benachity, Durgapur-13",0343 2584535
Arbind Store,"Bhiringi, Benachity, Durgapur - 713213",09233501222
Arihant Cloth Centre,"Near Gurdwara More, Nachan Road, Benachity, Durgapur - 713213",0343- 2574098/ 2576020/ 9434039209
Baby's and Bloomers,"Mamra market, Durgapur-6",0343 2587187
Bharati Readymade,"Sarat Chandra Avenue, Chandidas market, B-Zone, Durgapur - 713205 Durgapur-5",08436593982
Bhola Ganga Garments,"Station Road, Durgapur - 713201",09332316070
Bimalamayee,"Stall No-115, Sarat Chandra Avenue (East), Chandidas market,  B Zone, Durgapur-713205",09732053148
Blackberry Exclusive Store,"Shop No UG/17, Junction Mall, Durgapur - 713216",0343 2548161
Bollywood Garments,"Near Durgapur Bazaar, T N School Road, Durgapur - 713201",09851774810
BSB Garments,Durgapur,0343 2501808
Chandan Bastralaya,"Ruidas Market, Near Muchipara bus stand, Muchipara, Durgapur - 713212",09832868631
Dream Bazaar,"Dreamplex, Opposite Mp Jewellers, City Centre, Durgapur - 713216",0343- 2543600/ 8768296938/ 9732081111
Durgapur Army Stores,"Nachan Road, Benachity, Durgapur - 713213, Near BSNL Telephone Exchange","0343 2586357, +91-9434537126"
Durgapur Sriniketan,"Nachan Road, Benachity, Durgapur - 713213","0343-2586520, +91-9933331109"
Durgapur Variety Stores,"Near Anuradha Cinema Hall, Nachan Road, Benachity market, Durgapur-713213",0343 2584212/5728
Dutta Raj,"Prantika Road, Benachity, Durgapur - 713213",09434534918
Fashion Club,"Near Durgapur station, Station Road Bazar, Durgapur - 713201",09378477967
Fashion House,"Bidhannagar, Durgapur - 713212, Near Manorama Sweet",+91 8420852536
Fashion Point,"Near Paramounts, Steel Market, Benachity, Durgapur - 713213",08145613937
Fashion Plaza,"Sarat Chandra East Avenue, Chandidas Market, Durgapur-5",09434346995/ 9641988991
Friends Cloth Stores,Durgapur-,0343 2554942
Frusty Jeans,"Near Hanuman Mandir, Gurudwara Road, Benachity, Durgapur - 713213",08759119435
Garden,"Benachity market, Durgapur-13",0343 2584660
Geeta Fashion,"Junction mall, 2nd floor, Beside shopper Stop, City Centre, Durgapur - 713216",08101913519
Gentleman Gentswear,"Near Kanta cloth store, Durgapur Station Road, Durgapur - 713201",0343- 3204001/ 07547947480
Ghanty Cloth,"Hattala Road, Durgapur-713201",0343 2551442
Hare Krishna Stores,"Fancy Market, Benachity, Durgapur - 713213",09933486470
Haryana Handloom House,"Benachity, Durgapur-13",0343 2585577
His N Her,"Opp of Kanta Cloth Store, Station Road, Durgapur - 713201",09932990144
Hoffmen Fashions Pvt Ltd,"Junction Mall, 2nd Floor, City Centre, Durgapur - 713216",0343-2542785  +91-7468956613
Jaba Stores,"Chandidas market, B-Zone, Durgapur-713205",0343- 2582555
Jaswal Cloth Stores,"Station Road, Durgapur - 713201",07865819484
Jack N Jill,"Durgapur Railway Station Bazar, Durgapur - 713201",0343- 2559697/ 9332018591/ 9641248624/ 9732074750
John Players,"First Floor, Junction Mall, City Centre, Durgapur - 713216",09474778863
Kanak Bastralaya,"Durgapur Station Bazar Road, Durgapur - 713201",09153117135
Karunamoyee,"Stall no.- 119, Sarat Chandra (East) Avenue, Chandidas Market, Durgapur-713205",0343 2567220/ 9434037796/ 9932988700
Kids World,"JJ Market, Benachity, Durgapur - 713213",09434147856
K Lounge,"Shop No 229, Junction Mall, City Centre, Durgapur - 713216",0343  2542754/ 9002201196
Ladies own,"Stall no 216, Commercial market, City Centre, Durgapur - 713216",09434064059
Lee Exclusive Showroom,"Jnction Mall, First Floor, City Centre, Durgapur - 713216",09330330525
Liberty Dress Store,"Opposite Secon lane, Nachan Road, Benachity, Durgapur - 713213",09474179968
Madam G,"Station Road, Durgapur - 713201, Near National Medical Store","+91 9932799502, 7602949444"
Mahabir Cloth Store,"Nachan Road, Benachity, Durgapur - 713213",08768772813
Manasi Dresses,Durgapur,0343 2584509
Manyavar Vedant Fashions Pvt.Ltd,"Junction Mall, First Floor, Unit No. 128, City Center, Durgapur - 713216","0343 2542189, +91 9547379629"
Max,"Junction mall,  City Centre, Durgapur - 713216",09007075145
Mili Julie,"Near Kohinoor Hotel, Nachan Road, Benachity, Durgapur - 713213",09474546314
M M Collection,"Nachan Road, Benachity,  Durgapur - 713213, Near OBC Bank",+91 9932788849
Nandan,"Dr. B.c Roy Market, Chandidas Bazar, B-Zone, Durgapur- 713205",09531589225
New Sreema Bastralaya,"Durgapur Market, Karanga Para Road, Durgapur - 713201",09332801555
Outfit Linkers,"Near Bidhannagar Hospital, Steel Park, S B B Patel Road, Durgapur Abl Township, Durgapur - 713206",09434534990/ 8016893165
Pal Variety,"Chandidas Bazar, Dr. B.C Roy Market, B-Zone, Durgapur- 713205",09046824622
Pantaloons,"Junction Mall, City Centre, Durgapur - 713216","0343- 2542069, +91 9432542069"
Paridhan,Durgapur-13,0343 2585061
Pariwar,"Beside of friends cloth Store, Station Road, Durgapur - 713201",09635577180
Prapti Fashion Pvt Ltd,"Junction Mall, 2nd Floor, Junction Road, City Centre, Durgapur - 713216","0343-2542765, +91-9851548831"
Punjabi Museum,"Near Ruma Sweets, Nachan road, Benachity, Durgapur - 713213",09093915890
Punjabi Museum,Durgapur-13,0343 2585796
Rajasthan Handloom Place,"Benachity market, Durgapur-713213",09232358062
Rameswari Textile,"Salbagan Road, Benachity, Durgapur - 713213","0343- 2574079/ 9434197144, 7384604181"
Rani Sati Sales,"Opp kanta cloth, Station Road, Durgapur - 713201",09333247109
Readymade Centre,"Benachity market, Durgapur-13",0343 2583819
Readymade Junction,"Dhurna Plot, Benachity, Durgapur - 713213",+91 9933984933
Readymade Plaza,"Near Kanta Cloth Store, Station Road Bazar, Durgapur - 713201",09932799502/ 9475682406
Reliance Trends,"Fortune Plaza Mall, Nachan Road, Benachity, Durgapur - 713213","0343- 2588054, 2588055"
Rock - N - Roll,"Station Road, Durgapur - 713201",+91 7501940150
Saha Brothers,"Sukanta Pally Bazar, Shyampur More, Durgapur - 713201",09474557367
Sengupta Garments,"Stall No-9, Mini Market, B Zone, DPL Colony, Durgapur - 713203",0343- 2559756
Shamsher Garments,"Gurudwara Road, Benachity, Durgapur - 713213",09333907900
Shoppers Stop,"Junction Mall, City Centre, Durgapur - 713216",0343- 6606666/ 2542540/ 9874023588/ 8016077382
Shreyoshee,"Near Mahalaxmi Park, J N Avenue, Durgapur Abl Township, Durgapur - 713206",09735860214
Siddheswari Bastralaya,"Sarat Chandra Avenue, Chandidas market, B-Zone, Durgapur - 713205",09647267914
