end,end 2,end 3
Gift Items Shops in Durgapur,,
Name,Address,Contact No
Alpana Departmental Store,"Central Market, shop no.-cso19, City Centre, Durgapur - 713216, Near Big Bazar","+91-9933095657, 9547425895"
Amantran,"A109B, Beside Big Bazaar, City Centre, Durgapur - 713216",09832164069
Ananya,"Bengal Sristi, Harekrishna Konar Sarani, City Centre, Durgapur - 713216",0343-2543371  +91-9434335874
Angels Ornaments & Bangles,"Junction Mall, 2nd Floor, Shahid Khudiram Sarani, City Centre, Durgapur - 713216, Junction Mall",+91-9093822042
Ashirbad Trading,"Shyampur More, Durgapur - 713201","+91-9474407135, 8900709302"
Big Boss,"Benachity, Durgapur - 713213",+91- 9832832929
Bondhu,"Nachan Road, Benachity, Near Indian Bank, Durgapur - 713213",+91- 8670267616
Chayanika,"City Centre Durgapur, Durgapur - 713216",+91-8906266757
Cheap n best glass store,"Near National Medical, Shalbagan Road, Benachity, Durgapur - 713213",07602392142
City Collection,"shop no 9, Durgapur cinema complex, City Centre, Durgapur - 713216, D.C. Cinema",+91-8293365623
City Heart,"Near Agrani More, Nachan Road, Benachity, Durgapur - 713213","+91 9832156329, 8945819650"
C B Gift House,"City Centre, Durgapur - 713216, Near ADDA Building",+91-9474639685
City Variety Stores,"UCU-0004, Urvashi Complex Market, Ambedkar Sarani, City Centre, Durgapur - 713216",+91-9832260098
Devender Gift,"Gurudawara Road, Benachity, Durgapur - 713213, Near Mahabir Mandir",+91-9563980031
Durgapur Gifts,"Dhurna Plot, Benachity, Durgapur - 713213, Near Link Road",+91-7425361520
Electronics & Gift World,"36, Uttar Pally Road, Roy Building, Benachity, Durgapur - 713213",0343- 2575707
Fancy Gifts,"Gurudwara Road, Benachity, Durgapur - 713213, Near Gurudwara",+91-7384103335
Full Moon,"Sarat Chandra East, Chandidas market, Durgapur-713205",.
Ganesh Gift House,"Benachity, Durgapur - 713213 Near Rajmahal Hotel","+91-7908395226, 7076315587"
Gift Centre's,"Deshbandhu Nagar, Benachity, Durgapur - 713213, Near Link Road",+91-9126576755
Gift & Gift,"Gurudwara Road, Benachity, Durgapur - 713213",+91-8641833991
Gift House,"54foot Road, Benachity, Durgapur - 713213, Naer Tapoban Housing",+91-9332981377
Gift Hub,"Main Gate, Durgapur - 713203, Near Main Gate Bazar",+91-7467952607
Gift World,"Dhurna Plot, Benachity, Durgapur - 713213, Near Om Jewellers",+91-9093657820
G.S & Co.,"Central Market(ADDA), Shop : C/S.O-14, City Centre, Durgapur - 713216, Near ADDA office",+91-9474179851
Heart Beats,"Benachity, Durgapur - 713213, Opposite IT Bazar",+91-9614744221
Ilabarta,"Ashalay, Sector 2, S B S Sarani, Bidhannagar, Durgapur - 713212",09547394657
Just 4 U,"J.L Avenue, Sarat Pally, Fuljhore More, Durgapur-713206",0343 2500699
Jyoti Gift,"Dhurna Plot, Benachity, Durgapur - 713213, Near Link Road",+91-8609276135
Kathleen Cake Shop,"A-1/9, S. S. B. Sarani, Bidhannagar, Durgapur - 713212, Near Bidhannagar Petrol Pump","+91-932481362, 9851898822"
Love City,"Dhurna Plot, Benachity, Durgapur - 713213, Near Link Road",+91-9475241026
Lokesh Gift Center,"Gurudawara Road, Benachity, Durgapur - 713213, Near  Hindi Bharatiya  School",+91-9614122681
Maa Tara Traders,"Benachity Bazar, Durgapur- 713213",09434534753
Mahesh Gift,"Gurudawara Road, Benachity, Durgapur - 713213",+91 9851966874
Mallick Gift House,"Ramkrishna Pally, Benachity, Durgapur - 713213, Near Hanuman Mandir",+91 9093545033
Mallick Paper,"Dhandabad Road, Durgapur - 713203, Near Hem sheela school (Junior)",+91 9832162222
Manoj Gift,"Gurudwara Road, Benachity, Durgapur - 713213",+91 074887434
Maya Xerox & Gifts,"Ramkrishna Pally, Benachity, Durgapur - 713213",+91 8906954002
Monalisa Variety Stores,"A1/25, S S B Sarani, Bidhannagar, Durgapur - 713212, Near Pump House","0343-2535849, 2532104, +91-9732115350"
Moonlight Gifts,"Trunk Road, Benachity, Durgapur - 713213",+91 9679773472
Murari Watch & Gift Centre,"Netaji Lane, New Market, Benachity, Durgapur - 713213",+91-9851121735
M/S Loknath Digital Color Printers (Personalized gift Centre),"67 Sarat Chandra East Avenue, B-Zone, Durgapur- 713205",07407254628/ 8537867694/ 9434798905
