end,end 2,end 3
Groceries Stores,,
Name,Address,Contact No
Archana Stores,"C/S 8, Central Market, City Centre, Durgapur - 713216",0343- 2545817/ 8653838480
Ava Stores,"Chandidas market, Durgapur-5",.
Balaji Traders,"B.C. Roy Avenue, Durgapur Station Road, Durgapur - 713201",09378329104
Banik Variety,"Tansen Sector market, Durgapur-5",.
Burnwal Stores,"Mamra Bazar, Durgapur - 713206",09832878366
Debu Debnath,"Mamra Bazar, Durgapur - 713206",09547461710
Durgapur Army Stores,"Nachan Road, Bhiringi, Durgapur - 713213",0343- 2586357
Garai Variety Stores,"David Hare Road, B-Zone,  Durgapur 713205",0343- 6942765
Gopal & Company,"Nachan Road, Benachity, Durgapur - 713213",0343- 2570375/ 9434009304
Ishani ghosh,"Stall No 38, Near 8B Bus Stand, B1 , ABL Township, Durgapur - 713206",09563969518
Janata Variety Stores,"City Centre, Durgapur - 713216",09378411224
Mitra Store,"Stall No-58, Sarat Chandra Avenue(East), B-Zone, Durgapur- 713205",09333698194
Nil Grocery,"Stall No-58, Sarat Chandra Avenue(East), B-Zone, Durgapur- 713205",09333698194
Pratima Variety,"Chandidas market, Durgapur-5",.
Tarun Stores,"Chandidas market, Durgapur-5",09093142029
