end,end 2,end 3
Hardware shops and stores of Durgapur,,
Name,Address,Contact No
A.B. Hardware stores,Durgapur,0343 2584302
Akash Glass,Durgapur,0343 2583455
Arup Hardware,"54foot, Durgapur - 713213, Near Samanta variety stores",+91-9832258262
Associated Trading,"Mamra Bazar, Mamra Main Road, Durgapur - 713206",0343-6455879  +91-9434064363
Baba Lock House,"Chandidas Market, Stall no. 97, Sarat Chandra Avenue, B-Zone, Durgapur - 713205",+91 8759669821
Banik Hardware,"Steel Market, Benachity, A-Zone, Durgapur - 713204",+91 -9732306947
Bharat Hardware,Durgapur,0343 2583786
Bharat Glass Co,Durgapur,0343 2583240
Bishwakarma Hardware Store,"New Market, Shalbagan Road, Benachity, Durgapur - 713213",+91-9800082101
Chatterjee Hardware Stores,"Nachan Road, Benachity, Durgapur - 713213",0343 -2583976
City Hardware,"Nachan Road, Benachity, Durgapur - 713213, Opposite Honda Showroom","0343-2583774  +91 7583625369, 9832150581 , 9832261116,"
Das Enterprise,"Kaliganj Village Road, Durgapur - 713212, Near Kaliganj More","+91-9434360214 , 9093530923"
Das Enterprise,"Agrani Gully, Benachity, Durgapur - 713213",+91-9932388906
Debashis Sanitary & Hardware,"Nachan Road, Benachity, Durgapur - 713213, Near Overseas Bank",+91-9153587251
Debnath Hardware,"Nachan Road, Benachity, Durgapur - 713213",+91-9134678025
Depak Glass Plywood,Durgapur,0343 2501638
Dey Glass House,Durgapur,09434147506
Durgapur Glass,"Muchipara, Durgapur-12",0343 2556962
Glass House,Durgapur,0343 2573822
Gorai Hardware,"Nachan Road, Benachity, Durgapur - 713213, Near Bhiringi Gram",+91-8535934018
Guru Kripa Hardware,"Faridpur Road, Faridpur, Durgapur - 713213",0343-5476136
Hind Hardware,"Nachan Road, Benachity, Durgapur - 713213, opp. Indian Overseas Bank","0343-2582967  +91-9333898983, 9614114440"
Joy Durga Machinery And Tools,"Nachan Road, Benachity, Durgapur - 713213, Near Uttam Tea Stall","+91-9932196055, 7029999500"
Kalyani Enterprise,"Nachan Road, Benachity, Durgapur - 713213",+91-9504547430
Kalpana Hardware,"Golf Nagar, Near Golf Club, Durgapur - 713203",+91-9547701120
Kalpana Steel And Marble,"Muchipara, Shibpur Road, Durgapur-12",0343 6455710 9332223176
Konar Hardware,"Nachan Road, Benachity, Bhiringi, Durgapur - 713213",0343 -2582452
Kuber Hardware,"New Market,Shalbagan Road, Benachity, Durgapur - 713213",+91-9434338144
M/S Debnath Hardware and Marble House,"Steel Park, Durgapur-6",0343 2532393
Ma Kali Hardware,"Sarat Chandra Avenue, Chandidas Market, B-Zone, Durgapur-713205",+91-8016306613
Maa Kali Hardware,"Kamalpur Plot, Benachity, Durgapur - 713213, Near Durgapur Chamber Of Commerce Office","+91-9932166830, 8092339059"
Mega Stores,"Nachan Road, Benachity, Durgapur - 713213",+91-7870497241
Majumder Glass and Plywood,Durgapur,0343 2558322
Modern Infra,"Nachan Road, Benachity, Durgapur - 713213",+91- 7004625301
Mondal And Co.,"Sashtitala, Bhiringi Gram, Benachity, Durgapur - 713213, Near Bhiringi Primary School","+91-9749686701, 9434645818"
Nabalaxmi Stores,"New Market, Shalbagan Road, Benachity, Durgapur - 713213",+91-9832122112
Narayan Sanitary & Hardware,"Benachity, Bhiringi, Durgapur - 713213, Near T.N. School",0343-2585617  +91-9800381800
National Hardware,"Nachan Road, Benachity, Durgapur - 713213",+91-9933135042
New City Hardware,"Chatterjee Building, Nachan Road, Benachity Bazar, Durgapur - 713213, Near Ghosh Market",+91-9547717181
New City Hardware,"Chatterjee Building, Nachan Road, Benachity Bazar, Durgapur - 713213, Near Ghosh Market",+91-9547717181
Omkar Ply,"Quiser Lane, Nachan Road, Benachity, Durgapur - 713213",+91-9563474273
Pashupati Hardwares,"Mamra Main Road, Abl Township, Durgapur - 713206",+91-7872682116
Pawan Enterprise,"Mamra Main Road, Abl Township, Durgapur - 713206",+91-680987689
Raj Traders,"Chandidas Market, Sarat Ch. Avenue, B-Zone, Durgapur - 713205",+91-9233314884
Riddhi Siddhi,"Nabapally, Benachity, Durgapur - 713213, Near Durga Mandir",+91-9832261008
Shree Hardware & Sanitary Store,"Bhiringi, Nachan Road, Benachity, Durgapur - 713213, Near Fortune Plaza or Reliance Mall","+91-7586928814, 8370840880"
Singh  Enterprise,"City Centre, Durgapur - 713216, Near Ladies Petrol Pump",+91-9474995976
Singh Hardware,"Benachity, Durgapur-13",09732026226
Sourav Sanitary Paint And Hardware Plaza,"Nachan Road, A-Zone, Durgapur - 713204",0343-2572853
Sree Hardware,"Nachan Road, Benachity, Durgapur - 713213",+91-8001081767
Subha Enterprises,"Bhiringi More, G T Road, Durgapur - 713203 Dist- Paschim Bardhaman",0343-2582249
S.K. Hardware,"Kamalapur Plot, Benachity, Durgapur - 713213, Near Indian Gas Office",+91-8001440494
Udaipur Marbles,"Bhiringi more, Durgapur-13",0343 2582622
Walia Hardware,"Nachan Road, Benachity, Durgapur - 713213",+91 -7908031316
