end,end 2,end 3
"Home Appliances shops, stores and showrooms of Durgapur.",,
Name,Address,Contact No
Ami-Go India,"28/1 Bengal Ambuja, City Centre, Durgapur-16",09933385857
Asian Sky Shop,Durgapur,0343 3291231
Eureka Forbes Limited,"City Centre, Durgapur 16",0343 2544065
Home Shopping Network,"T.P. Sen Complex, Benachity, Durgapur 13",0343 2584078
Light House,Durgapur,0343 2556081
Shakers Appliances,Durgapur,0343 2548794
Shree Guru Trading Company,Durgapur,0343 2584552
The Sky Line,Durgapur,0343 3291033
