end,end 2,end 3
Insurances (Life Insurance) Office And Agents,,
Name,Address,Contact No
L.I.C.,"C-Zone, Durgapur-5",0343 2563879
L.I.C.,"City Centre, Durgapur-16",0343 2545750
L.I.C.,"Panagarh, Durgapur",0343 2524510
Bajaj Alianz Life Insurance Co. Ltd.,"City Centre, Durgapur-16",0343 2544937
HDFC Standard Life Insurance Co. Ltd.,"Bhiringi, Durgapur-13",0343 2587000
Reliance Life Insurance Co. Ltd.,"Benachity, Durgapur-13",0343 3208280
ICICI Prudential Life Insurance Co. Ltd.,"City Centre, Durgapur-16",0343 2549236
TATA AIG Life Insurance Co. Ltd.,"City Centre, Durgapur-16",0343 2544560
Achintya Karmakar,"Golf Nagar More, Amrai, Durgapur-3",09434225767
Gopi Kanta chakraborty,"Stall N0- CA-20, David Hare Road, Durgapur-5",09434225767/ 9749191276
Nirmal Ghosh,"27/18 Harshabardhan Road, A-Zone, Durgapur-4",09832163887/ 9609608885
Prosenjit Hui,"23/4 Secondary Road, A-Zone, Durgapur-4",09434645925
Soham Atarthy,"A-301-303, 2nd floor, bengal Sristi complex, City centre, Durgapur, 16",08101901690
Insurances( General),,
Name,Address,Contact No
National Insurance Co. Ltd.,"City Centre, Durgapur-16",0343 2546735
National Insurance Co. Ltd.,"Benachity, Durgapur-13",0343 2586133
The New India Assurance Co. Ltd.,"Benachity, Durgapur-13",0343 2582092
The Oriental Insurance Co. Ltd.,"Benachity, Durgapur-13",0343 2583837/ 97
The Oriental Insurance Co. Ltd.,Panagarh,0343 2527382
United India Insurance Co. Ltd.,"City, Centre, Durgapur-16",0343 2546721
Insurances( Health),,
Name,Address,Contact No
Raghunath Chatterjee (Senior Sales Manager),"City Centre, Durgapur-713216",09832750046/ 9093100061
Investment (Share),,
Name,Address,Contact No
Bahubali,"Kamalpur Plot, Benachity, Durgapur-13",0343 3208722
Prabhudas Liladhar Pvt. ltd.,"Bhiringee More, Kwality building, Benachity, Durgapur-13",0343 2588241/ 42
Ureka,"Acharjee Market, Benachity, Durgapur-13",0343 2582121
