end,end 2,end 3
Internet Cyber cafes of Durgapur,,
Name,Address,Contact No
Bajaj Telecommunication,Durgapur,0343 2583061
Computech,Durgapur,0343 2537002
Connection,"283 Sarat Chandra Avenue, B-Zone, Durgapur-713205",09332881435
Cyber Den,Durgapur,09434123180
Cyber Sales,"Chandidas Ave, B-Zone, Durgapur-713205",0343 2562101
Cyber World Gunjan's,Durgapur,0343 2582475
Daimond Zerox,"Chandidas Market, Durgapur-713205",0343
ESSDSYS,"E-40 Astronauts Avenue, Bidhan Nagar, Astronauts Ave, Bidhannagar, Durgapur- 713212",0343- 2535157
Deep Infotech,"Dr Bidhan Chandra Roy Ave, Industrial Area, Durgapur- 713201",09474758728
Gunjan's Cyber World,"Kamalpur Plot., Nachan Road, Benachity, Durgapur-713213",09232353532
Internet Cafe,"Abanindra Bithi, Non Company Housing Estate, City Centre, Durgapur-713216",09232353532
Learning Centre,"Stall No.-118 Sarat Chandra Avenue, David- Tilok More, Durgapur-713205",09378428388/ 7699867950
Maa Sarada Cyber Cafe,"City Centre, Durgapur-713216",09851541272
Meghdona Infotech Cyber Cafe,"ER-65, St. Pauls Road, Ashis Market, A-Zone, Durgapur-713204",0
Sanklap,"Marconi Avenue, Chandidas Market, Durgapur-713205",09933862490
Sify Iway (Cyber Nem. Con),"Harshvardhan Rd, A-Zone, Durgapur- 713204",0343 2570050
Shekhar Cyber Cafe,"B-Zone, Durgapur-713205",09233060888
Surfing Hut,"Benachity, Durgapur-713213",0343 2587850
Yahoo Cyber Cafe,"Nachan Rd, Kamalpur Plot, Benachity, Durgapur- 713213",0343 2585835
