end,end 2,end 3,end 4
Large Scale Industries of Durgapur,,,
Name,Address,Contact No,Product
Alloy Steel Plant,"S.S Sarani, Durgapur -07",2546879,"P.R. Stainless Steel,  Billets etc."
ALSTOM Projects India Ltd,Durgapur -06,2556701/ 07,"P.R. Thermal Boiler, etc."
Bharat Petroleum Corp. Ltd,"Rajbandh, Durgapur -12",2520336/ 0527,P.R. Petrolium Products & Lubricants
Birla Corporation Ltd,"Durgapur Cements Works, Durgapur -03",2585537/ 39,P.R. Portland Slag Cement
Durgapur Cements Works,"G.T.Road, Durgapur -03",2562201/ 3,Cements Works
Durgapur Chemicals Ltd,"Raturia, Durgapur -15",2585537/39,"P.R. Caustic Soda, Benzene, Bleaching Powder, Sodium Chloro-phenate, Hydrogen Gas, etc"
East India Pharmaceutical Company,"Raturia, Durgapur -15",2555813,Medicines
Graphite India Ltd,Durgapur -,2556641/ 45,Products of Graphite
Hindustan Petroleum Corp. Ltd.,"Rajbandh, Durgapur -12",2520667/ 337,Petroleum Products & Lubricants
Indian Oil Corporation Ltd..,"Rajbandh, Durgapur -12",2528304,Petroleum Products & Lubricants
Philips Carbon Black Ltd.,"Dr. B.C. Roy Avenue, Durgapur -01",2556693/ 94,Carbon Black
Power Grid Corporation Of India Ltd,"Parulia, Durgapur -05",2562542,Power Distribution
Ultratech Cement Ltd.,"Muchipara, Durgapur -12",0343- 2543574,Cement Manufacturing
Unitech Cement,"Banskopa Industrial Area, Durgapur -12",09233343626,Cement Manufacturing
