end,end 2,end 3,end 4
Hotels in Durgapur,,,
Name,Address,Contact No,Speciality
Ananya Guest House,"A1-28, S.S.B. Sarani, Sector - 2A, Pump House, Bidhannagar, Durgapur -713212",9734771725/ 9832192298,Lodging
Hotel Annapurna,"Anand Nagar, Bhiringi, Durgapur - 713213",0,Lodging
Bijay lodge,Durgapur,2587172,Lodging
Durgapur House(Annexe),"Priyadarsini Indira Sarani, Durgapur -713205",2569393/ 9494,"A.C Restaurant, Bar"
Durgapur Tourist Lodge,Durgapur-1,2555476,Lodging
eElfyn Recidency,"C-38, Sahityik Sailaja Ranjan Street, Sector-24, Bidhannagar, Durgapur- 713212, Behind HP Petrol Pump",+91 8001570001,Lodging & Fooding
Hotel City Inn,Durgapur,2587425/ 6,Lodging & Fooding
Hotel Delta suiteS,"city centre, Durgapur, West Bengal, Pin:-713216",078723 65365,A 3* Facilitated Business Hotel in Durgapur
Hotel Durgapur Foodmart,"Satyajit Roy Sarani, city center, Durgapur 713216, India",0343-2543907/ 9831716519/ 9126918063,"Bar, Restaurants."
Hotel Fortune Park Pushpanjali,"Shahid Khudiram Sarani, City Center, Durgapur, West Bengal 713216, India",0343,"Bar, Restaurants."
Hotel Gateway,"Bhiringi, Benachity Durgapur - 713213",0,Lodging
Hotel Kalpana Inn,"Nachan Rd., Bhiringi, Durgapur -13",+91- 0343-2533550/ 8101913212,Lodging & fooding
Hotel Kashino International,"Nachan Rd., Bhiringi, Durgapur -13",2583501/ 03/ 04/ 88,"Restaurant, Lodging & fooding."
Hotel Luxor,"Opposite Durgapur Cinema, Durgapur -713216",2546047,"Restaurant, Bar & Lodging"
Hotel Paradise,"G.T. Road, Bhiringi, Durgapur",2583896/ 669,Restaurant and Bar
Hotel Pritika,"Near PumpHouse Bidhannagar, Durgapur",2533638/ 9,Bar & Restaurant
Hotel Rainbow,"Subhas Pally, Benachity, Durgapur -713213",2585069,Lodging & Fooding
Hotel Rajmahal,"Bhiringi, Benachity, Durgapur -713213",2583939,Lodging
Hotel Reliance,"Bhiringi More, Benachity, Durgapur -713213",2582348/ 2466/  3881/ 3882,"Hotel, Restaurant & Bar"
Hotel Sanchari Lodge,"Ananda Nagar, Bhiringi More, Benechity Durgapur - 712213",0,Lodging
Hotel Sankar Lodge,"Near City Center Junction Mall, City Centre, Durgapur -713216",2549901,Lodging
Hotel Suvam,"Layeks Building, Sahid Khudiram Sarani, City Center, Durgapur-713216",0343- 2547540/ 2542354,Lodging
INDUS REGENCY,"Above Swg Maruti Showroom, Nh2, Faridpur, Near City Centre, Durgapur - 713213, West Bengal, India",91 7210128935,"Lodging, Banquet Hall, Conferance Hall"
Kalpana Inn,"NH-2,Muchipara, Near Kalpana Steel & Marbles, Durgapur -713212",0343- 2533550/ 8101913212,"Lodging & A/C Family Restaurant, Conference hall"
Kanishka Lodge,"Nachan Road, Near Bhiringi Kalibari, Durgapur -713213",0343- 2583562/ 3245,Lodging
Kwality Hotel,"Bhiringi More, Durgapur -13",2583852/ 2586809,Lodging and Fooding
New Hotel Samrat,"G.T.Road, Faridpur, Durgapur -713213",2546925,"Restaurant & Bar, Garden Restaurant"
Peerless Sarovar Portico,"Khudiram Sarani, City Centre, Durgapur -16",2547511/ 12/  2546601/ 02/ 03/ 04,3 ***
Pathik Motel,"Near City Centre GandhiMore, City Centre, Durgapur -713216",2542768/ 6399,"Restaurant, Bar, AC-Conference Hall-2Nos"
Rajasthan Guest House,"Kamalpur Plot, Benachity, Durgapur -713213",2582475,Economical Lodging
Rekha Guest House & Travel,"Opposite of The Mission Hospital, Bidhannagar, Durgapur- 713212",+91 - 9375642498/ 9832150076,Lodging
Reliance Guest House,"A/10, Central Park, City Centre, Durgapur -713216",0343- 2544411,Lodging
Park Prime Hotel,"ADDA, Behind ICICI Bank, Near City residency or City Plaza or near city Center Junction Mall, City Centre, Durgapur - 713216",0343,3 ***
S.L.Lodge,Durgapur,2574071,Lodging
Shushama Guest House,Durgapur -,2534002,Lodging
TA-TIN,"J.P.AVENUE,NEAR DAIRY MORE,SAGARBHANGA, DURGAPUR-713211",09233517345 0343-6454836/ 09332079501,"Lodging, RESTAURANT,AC ROOM,BANQUETS Etc."
The City Residency,"City Centre, Durgapur -16",343-2549053 / 2548582 / Mobile:- 9434216358 / 9434755919,"Restaurant, Banquet, Business Centre, Party Lounge, The Club, 
			Swimming Pool, Multi Gym, Saloon"
The Coral Hospitality,"A1-14, SSB Sarani, Sector- 2A, Bidhannagar, Durgapur -713212",+91- 0343- 2532866/ 9333543601,Lodging & fooding
Trinayani Lodge,"New market, Station Road, Durgapur- 713201",2555216,Lodging
Utsav Resort,"Near H.P Installation, NH-2, Rajbandh Chatty. Durgapur- 713212",9233377782/ 9233377723,"22 Dlx rooms for Lodging, Multi cuisine Restaurant & Bar, Conference hall & lawn."
Visitors Lodge,"B.C.Roy Ave. , Station Road, Durgapur -1",2555939,Lodging
Zaayka Hotel,"A1/ 23 SSB Sarani, Pump House, Bidhan Nagar, Durgapur- 713212",0,Lodging/ Fooding
