end,end 2,end 3,end 4,end href
Management Institutions in  Durgapur,,,,
Name,Address,Contact No,,
"ABS Academy of Science, Technology and Management.","J.P. Avenue, Sagarbhanga, Durgapur - 713211",Ph:- 0343-255-0697/98,Website,http://absacademy.com/
Advanced Information and Management.,"H-30, 1st St, B-Zone, Durgapur West Bengal 713205","Ph:- +91- 9474925330, 7001911187",,
AIHM Durgapur,"Beside Alstom Project India LTD.
		De-gaulle Avenue, Durgapur 713206,","Ph:- 0343- 2559126/27, 9434032581",,
Culinary Institute of India,"K.R.Complex, DSCSMS Building, opp Banskopa More, Po: Gopalpur, 		Durgapur","Contact No: 9832168856, 9332193597, 0343-2520873, 6453530",Website,http://www.citms.org/
Durgapur Astha Academy,"2, Sail Co Operative, Devi Choudhurani Path, City Centre, Durgapur -713216","Ph:- (343)-2604028, 2603113",,
Durgapur Institute of Management,"A-201 RangaMati Path, BidhanNagar, Durgapur-12 e-mail:- dimcmtindia@yahoo.in",9232831963,,
Durgapur Institute of Management And Science,"Shahid Sukumar Banerjee Sarani, Bidhan Nagar, Durgapur-12","0343-6456013, 2532606",,
Durgapur Institute of Science And Technology and Management,"1, Satyajit Ray Sarani, City Centre, Durgapur, Burdwan, West Bengal
	Pin - 713216.","(0343) 2601868, 3290943, 6451025",,
Durgapur Society of Professional Studies,"A-11, Abanindra Bithi Non-Company, City Centre, Durgapur - 713216","Ph: 91-343-2548691 9434470293, 9933752959",Website,http://www.dspsindia.net/
Durgapur Society of Management Science,"Dr. Zakir Hussain Avenue, HUDCO More, Bidhannagar, Durgapur -12",Ph: 0343-2532213/14/15.,Website,http://dsmsindia.org/
National Institute of Management (NIM Durgapur),"3/6 Bengal Amnuja, City Centre, Durgapur 713216",Ph:- 91-8001824559/ 7031970046,,
National Institute of Management Science,"Nehru Avenue, Durgapur, West Bengal, Pin - 713214","Ph:- 0343) 2601868, 3290943, 6451025",,
Management Institute of Durgapur (MID),"G T Road, Rajbandh, Durgapur 713212",Ph:- 0343-2520712/ 713,website,http://mid.rahul.ac.in/
N.S.H.M. Academy,"Arrah, Sibtala, Durgapur -12",,website,http://www.nshm.com/durgapur/index.php
