end,end 2,end 3,end 4
Name,Editor/ Representative,Address,Contact No
Akash Bangla,Chittaranjan Das,"Vill. & P.O. Gopinathpur, Chatterjee Para, Durgapur -19",9832160841
Anandabazaar Patrika,Subrata Sheet,"Opp. City Nursing Home, Durgapur -16",2544159(O) 2544161(O) 2544164/ 9434359016
Bangla Time,Motahaz Hussian,Durgapur -16,+91 9564803809
Bartaman Patrika,Arup Sarkar,Durgapur -16,+91 9614132959
CN News,Tapas Chatterjee,Durgapur,+91 9647525025
Dainik Jagoron (Hindi),Sanjay Giri,"5/4 Bengal Ambuja, City Centre, Durgapur -713216","0343-2543329, +91 9332158015"
ETV,Jayanta Biswas,"4E/10 SEPCO Township, Durgapur -5",09932650915/ 9332040390
Ei-Samay,Sanjoy Dey,Durgapur -5,"+91 9732189839, 7797209777"
Ganashakti,Debdas Bhattacharya,"Ganashakti Bhaban/ Saroj Mukhopadhay Bhaban, Hare Krishna Konar Sarani, City Centre, Durgapur -16","+91 9434214730, 9434250610, 0343-2544332, Fax:- 2544222"
Khabor 365 Din,Soumen Banerjeei,"City Centre, Durgapur -16",9233987830/ 9332545736
Kolkata TV,Sanjib Suin,Durgapur -16,"+91 9434475941, 9674166577"
News Time,Biswajit Ghosh,Durgapur,+91 9434101550
Prabhat Khabar,.,Durgapur,.
Pratidin,.,Durgapur,.
R Plus News,Bikash Sen,Durgapur,"9378198509, 9233180977"
Sambad,Tapan Ray/ Ashim Chatterjee,"15 Malkosh Sarani, Bidhannagar, Durgapur",+91 9434197083/ 8637334598
Sanmarg,Imtiyaj Alam,Durgapur,+91 8798192953
The Statesman,Kanchan Siddiqui,"C-12 Sarojini Naidu Path, Citycentre, Durgapur -16",9434335311/ 0343-2547698(R)
The Telegraph,Abhijeet Chatterjee/ Arup Sarkar,"A-10 Central Park, Doctors Colony, City Centre (Near City Nursing Home), Durgapur 713216","+91 9609315535, 9233302176"
Times of India,.,Durgapur,.
Electronic Media Houses in Durgapur,,,
Name,Editor/ Representative,Address,Contact No
ANM News  (Electronic Media),Manoj Singh,"City Centre, Durgapur- 713216",+91 9434645205
D.S.T.V. (SAIL) (Electronic Media),B.N. Chattaraj,"Priyadarshini Indira Sarani, Durgapur -4",0343-2564738
Eai Banglai (Web Media ),Monoj Singh,"City Centre, Durgapur -16",9434645205
Express News(Electronic Media),Madan Singh,"MEH-62, Kanishka North, DGP-4/ Office:- Room no. 26, Tagore House(South Wing), Durgapur -713204",.
Halo India (Electronic Media),Ashutosh Singh,"4/12 Central Park, City Centre, Durgapur -16",9434101033/ 9333906070/ 9333907570/ 9332061109
I MEDIA PRIVATE LIMITED INFO,"Rajesh Sengupta, Koushik","11/11 Akbar Road, A-zone, Durgapur - 713204",+91 9732333342
Onkar News,Trinanjan Chattopadhay,Durgapur,"+91 9332902444, 9434222150"
TV-7 (Electronic Media),Pranab Roy/ Kunal Samanta,"4/8 Suhatta Mall, City Centre, Durgapur -16",0343-2542100/ 9735111899/ 9434445942
Local Media Houses in Durgapur,,,
Name,Editor/ Representative,Address,Contact No
AJANA-O-JANA,Keshab Ram Mani,"Nirmala Guest House, A1/17, Sahid Sukumar Banerjee Sarani, Bidhannagar, Durgapur - 713212.",919932492516 0343-2533941
Bardhaman Review,Hiren Mukherjee/ Sandip Saha,"Chandidas, Durgapur -05",9732107979/ 9474042814
Bardhaman Samachar,Pranabesh Chatterjee,"Anadi Kutir, Uttarayan, Sagarbhanga, Durgapur -11",0343-2554627
Dainik Mukto Bangla,Abhijit Roy,"L-84 Sagarbhanga Colony, Durgapur -11",9832121885
Durgapur Janasamachar,Ashis Kr. Ghosh,"Faridpur, Durgapur -13",9333921644
Durgapur Janojibon,Ira Banerjee,"City Centre, Durgapur -16",0343-2545805
ISPAATT BAALOY,Prasantta Das,"Trinayani Mantion, Benachity, Durgapur- 713213,",0343-2584400/  9474639224
Janakantha,Paramjit Singh Gill/ Ambika Das,"Benachity, Durgapur -13",9475018725/ 9332040397
Jatir Katha,Rana Mukherjee,"Agrani Street, Benachity, Durgapur -13",0343- 2563718/ 9434107720.
Jana Lipi,Sujata Roy,"City Centre, Durgapur -16",0343-2545805
Kathya Lipi,Kabita Bakshi,"City Centre, Durgapur -16",9434006310/  0343- 2549010(O)
Khobor Update,Brindaban Das,"Satyen Bose Sarani, Subhaspally, Benachity, Durgapur -13",9932255606
Mukhorochak Khabar,Kalpana Sinha,"Benachity, Durgapur -13",9932317437 / 9434645680
Natun Khabar,Arun Adhikary,"MAMC, B1 Qrt. No. 53/2, Durgapur",9832191262/ 9333926326
Nonstop Express (Bengali Paper),Debabrata Ghosh,"16/6 David Hare Road, B-Zone, Durgapur -713205,",09332458528/ 08436811479
Panagarh Barta,Nirmal Ch. Banerjee,"Station Road, Panagarh",2524703/ 9332610825/ 9434475559
Priti O Sangati,.,"Block-II, Flat- 7, Commercial Estate, City Centre, Durgapur -713216",9333907595
Rurh Darpan,Nabin Chatterjee,"Faridpur, Durgapur -13",9332983343
Samay Sanket,Pranesh Mondal,Durgapur,7384619772
Samakalin Patrika,Udit Chatterjee,"7/11 Gurunanak Road, Durgapur -4",9332040508
Sambad Matamat,Sukumar Roy,"Benachity, Durgapur -13",0343- 2584495/ 2582948
Sambad Prabaho,R.S. Yadav,"50, Kanishka Road, (MEH- North) Near Durgapur PS, Durgapur -4",03432575328 (O) / 9434177922
Sanbad Pratidin,Sudip Bandyopadhyay,Durgapur,9434147623
Sandhani Chokh,SUBIR SINHA,"T1-15/1 V.K.Nagar, Durgapur -10",0343-2500424 (R)
Sukhobor,Subir Roy,"12/24 Akbar Road, Durgapur -713204",9434237920
White Curtain,Shanta Pramanik,"43 Sarat Sarani, Sabuj Nagar, P.O.- Amrai, Durgapur -3",9332610745
Correspondence For  Of Durgapur,.,"Opposite of Durgapur Court, City Centre, Durgapur -713216",0343-
Press Photographers in Durgapur,,,
Name,Contact No,Organisation,
Arpan Chakraborty,+91 7872211006,.,
Bidhan Dey,+91 9332048229,.,
Biplab Das,+91 9434101046,.,
Koushik Barua,+91 9332040510,.,
Manjit Jha,+91 9563085534,.,
Prasanta Mal,+91 9378478336,.,
Sadhay Ruiz,+91 8637384077,.,
Tapas Gope,+91 8637073574,.,
Udayan Guharoy,+91 9143369991,.,
