end,end 2,end 3
Nursery plant suppliers of Durgapur,,
Name,Address,Contact No
Durgapur Bio-Garden PVT. LTD.,"4/2, Vidyapati Road, B-Zone, Durgapur-713205","0343 2567484/ 9333916925, 9564668960, 9749477273, 9434538638"
Durgapur Nursery,"Durgapur Bus Stand, Station Road, Durgapur - 713201","+91 9434591570, 9333170013"
Durgapur Popular Nursery,Durgapur,0343 2584633
Greenway Nursery,"Ghosh Market, Hdfc bank, Benachity, Durgapur, Durgapur - 713212",09835242487
Loknath Nursery,"Town Club, A-zone, Durgapur -4",09832162723
Puja Nursery,"B.C.Roy Avenue, Durgapur Bus Stand, Durgapur - 713201",09732027277
Radha Nursery,"Durgapur Bus Stand, Durgapur - 713201",09732062534
Rajeswari Nursery,"15 No. Stall, Sarat Chandra East, Chandidas Market, B-Zone, Durgapur-713205",+91 9332236697
"Steel Authority Of India Ltd,","Telecom Building, Durgapur Alloy Steel Project, Durgapur - 713308",0343- 2545053/ 2563249
The Green Nursery,"18, Near Play Ground, St. Rana Pratap Road, A-Zone, Durgapur - 713204",+91 8603025922
