end,end 2,end 3
Offset Printers in Durgapur,See Printers,
Name,Address,Contact No
Care Offset Printers,Durgapur,0343 2584526
Indian Art Press,Durgapur,0343 2557821
New Pioneer Press,"GC 1, City Centre, Durgapur - 713216","+91 9434147012, 9474041016"
Quality Printers,"Nachan Road, Benachity, Durgapur - 713213, Opposite Bhiringi Kalibari",+91 9474019865
Optic Stores,Click Here,
Name,Address,Contact No
Oil Mills in Durgapur,,
Name,Address,Contact No
Bhabani Oil Mill,"S S B Sarani, Bidhannagar, Durgapur - 713212",0343 -2586102
Binod Oil Mill,"Benachity, Durgapur-13",0343
Janata Oil Mill,"Benachity, Durgapur-13",0343
Kalyani Oil Mill,"Station Road, Durgapur-1",0343
Khandewal Oil Mill,"Sanjib Sarani, Durgapur - 713201",0343 -2557562
Ma Kali Oil Mill,"P-42, J.P. Avenue, Bidhannagar, Durgapur - 713212",0343 2558940
M.G. Oil Mill,"Mamra, Durgapur-06",0343
Om Oil Mill,"Benachity, Durgapur-13",0343
Pravat Oil Mill,"Amrai, Durgapur-03",0343
Srikrishna Tailo Bhandar,"Dhalua, Dhalua Bazar, Sagarbhanga, Durgapur - 71321",+91-9679854108
Tarachand Oil Mill,"Bhiringi, Durgapur-13",0343 2510237
