end,end 2,end 3
Optical Contact Lenses In Durgapur,,
Name,Address,Contact No
Ansari Optical,"City Centre, Durgapur - 713216, Near DMC Office",+91-7384775650
Asha Optics,"Bhringhi, Nachan Road, Durgapur -13",0343- 2583977
Asha Optics,"Roy Building, Benachity, Near SBI Building Durgapur -13",0343 - 2584846
New Asha Optics,City Centre near SBSTC bus terminal Durgapur 16,09832115109
Baba Opticals,"54 Feet, Benachity, Durgapur - 713213, Near Shiv Mandir",+91 9987400833
Barua Optics,"Siddheshwari Market, Mamra, Durgapur -6",+91 9434133337
Bina Optics,"68 Sarat Chandra East, Chandidas Market, Durgapur-05",0343- 2600519
City Optics,"3 Sarat Chandra Avenue, Chandidas, B-Zone, Durgapur-5.",0343- 2567019 +91 - 9734652055
Dristidan,"Benachity Market, Benachity,  Durgapur- 713213",+91 9474543738
Durgapur Optic,"Gurudwara Road, Benachity, Durgapur - 713213",+91 9333907977
Dutta Optics,"State Bank Building, Benachity, Durgapur -13",0343-2584843
Dutta Optics Premium,"City Gym Building., City Centre, Durgapur - 713216, Opp ICICI Bank",0343-2544747  +91-8641922787
Dutta Optics,"Near Axis Bank, City Centre, Durgapur -16",0343-2544747
Dutta Optics,"Near Suhatta Mall, City Centre, Durgapur -16",0343-2544900
Eyecon,"UTI Building, City Centre, Durgapur - 713216, Near India Tea House",0343-3295666  +91-8001992838
Eye Care,"David Hare Road, B-Zone, Durgapur - 713205, Near David More",+91-9232448635
Eye Care Optical,"54foot Road, Benachity, Durgapur - 713213",+91-7797984206
Eye Vision,"Benachity Market, Nachan Road, Benachity, Durgapur - 713213",+91-9434477314
Eye Zone,"Iman Kalyan Sarani, Sec 2, Bidhannagar, Durgapur - 713212, Near Water Tank",+91-8116321807
GKB Opticals,"UG 19, Shop No 19, Ground Floor, The Junction Mall, City Centre, Durgapur - 713216","0343- 2547180, 18004191990  +91- 9051397100"
Growmax Optical Palace,"Priya Mansion, Nachan Road, Benachity, Durgapur - 713213, Near Electical Office",+91 -9434352955
Heaven Optic,"Stall No -17, Sarat Chandra Avenue, B-Zone, Chandidas Market, Durgapur - 713205",+91 -9832753172
Ira Optics,"DA-87 Sarat Chandra (East), Chandidas Market, B-Zone,  Durgapur -5",9614128332
Ishan Optics,"Bhagat Singh More, B-Zone,  Durgapur -713205",+91 -9933364562
Kesri Optical,"Prantika Road, Benachity, Durgapur - 713213",+91 -8617009189
Maitree Optics,"Benachity, Netaji Colony Benachity, Durgapur - 713213, Near Matri Mandir",+91 -8900310805
Mira Optics,"Steel Market, Benachity, Durgapur - 713213",+91 -9475467635
Mondal Optics,"Nachan Road, Benachity, Durgapur - 713213","+91 -9093341740, 8972375210"
Netralaya(for Eye Care),"Nachan Road, Benachity, Durgapur - 713213",+91- 9232470460
New Sri Krishna Optical,"Prantika Bazar, Durgapur -713204",+91- 8670719292/ 9851221437
Optical Museum,"Nachan Road, Benachity, Durgapur - 713213, Near J K Paul Lane",+91 9547482238
Optical Palace,"Benachity Bazar, Benachity market, Nachan Road, Benachity, Durgapur - 713213","0343-2587364, +91 8670688780"
Optilines,"Station Road, Durgapur - 713201, Opposite of Durgapur Transport","+91-9434073383 , 9547704408"
Payel Optics,"Sand B Shoping Plaza, Nachan Road, Benachity, Durgapur - 713213, Near Ruma Sweets And State Bank Of India",-0343-2586174  +91 -9832146207
Prakash Optical,"Nachan Road, Benachity, Durgapur - 713213",+91 -673384520
Rani Optics,"Bhagat Singh Road, B-Zone, Durgapur - 713205",+91 9378477790
Roy optical,"Near Chaturanga Maidan, City Centre, Durgapur - 713216, Near Ims coaching classes",+91 9153464472
Rozy Optical,"54ft Road, Bhiringi, Durgapur - 713213",+91 9641082507
Sandhya Optics,"St.Pauls Road, A-Zone, Durgapur - 713204, Rana Pratap Rotary",+91 9609536976
Sanjay Optical,"Chatterji Market, Nachan Road, Benachity, Durgapur - 713213",+91 9333626302
Sikder Eye Care,"Hattala Road, Station Road, Dist- Paschim Bardhaman,  Durgapur - 713201",0343-2557718
Smart Opticals,"Benachity, Nachan Road, Dist- Paschim Bardhaman,  Durgapur - 713213",+91 -7076640696
Sree Krishna Optical,"Akbar Road, A-Zone, Durgapur - 713204, Near Printika Bus Stand",+91 9851221437
Star Light Optical,"Bhiringi More, Bhiringi, Durgapur - 713213","+91 -9547052531, 9332965953"
Subhas Optics,"Nachan Road, Benachity, Durgapur - 713213, Near Bank Of Baroda",+91 -9474545306
Talukdar Optics,"Stall no 159, Sarat Chandra Avenue (West), B-Zone, Durgapur - 713205",+91 9732062748
The Eyes,"C-111, Nazrul Sarani, City Centre, Durgapur - 713216, Near Durgapur Cinema",+91 9800625773
Vinayak Optics,"4/2 SEPCO, B-Zone, Durgapur - 713205, Near Sepco 1st Bus Stop","+91 8972066555, 8759017563"
Vision,"Station Road, Durgapur-01.",0343- 2556106
Vision Opticians,"Durgapur Station Bazar, Station Road, Durgapur-01.",+91 9474557418
Zakir Optical,"Chandidas Market, B-Zone, Durgapur - 713205",+91 8727011109
Control Health and Weight Loss In Durgapur,,
Name,Address,Contact No
Soumen's WorkOut,Durgapur-.,.
MagnetoTherapists In Durgapur,,
Name,Address,Contact No
.,Durgapur.,.
Dieticians In Durgapur,,
Name,Address,Contact No
.,Durgapur.,.
