end,end 2,end 3
Other Important Institutes in  Durgapur,,
Name,Address,Contact No
Career Graphics,"K.N, Kaliasam, Bidhannagar, Durgapur -12",.
Durgapur Film Institute,"Durgapur Children's Academy of Culture, Sisutirtho, C-Zone, Durgapur -713205","+91 8337858035, 9832176976, 9332063808"
FCP Acting School,"House No-3, Kabiguru Sarani, Kabiguru 1st stoppage, City Centre, Durgapur - 713216",9433216925/ 9830283704/ 9831968183
"GIFT, Global Institute of Fashion Technology","RA-2A, Urvashi Phase - II, Bengal Ambuja, City Centre, Durgapur - 713216",91-9932000677
Indian Institute of Psychometry,"Bidhan Nagar, Durgapur -12",.
National Institute of Film and Fine Arts,"21, Bengal Ambuja Complex, opposite Bhabani Pathak Tilla Kalibari, City Centre, Durgapur -16",09433362542/ 09434856522
NSFD National School of Fashion and Design,"City Centre, Durgapur -16",.
P.C. Roy Institute of  Entrepreneurship Development,"Mahiskapur Road, B-Zone, Durgapur- 5",.
"Real Big Dream Event & Media Pvt. Ltd. (Acting, Anchoring, D.J) Institute","5, Royal Stag Lane, Bengal Ambuja, Near Durgapur Cinema Hall, City Centre, Durgapur-16",0343- 3196767/ 9933713446
Smart Modeling & Performing Arts Pvt. Ltd. (SMPAI),"AS-10/17, 54Ft Road, Srinagar Pally, Durgapur-13",9836333330/ 9836414141
STEPS- Diploma in Airhostess and Cabin Crews,"Abanindra Nath Bithi, City Centre, Durgapur -16",.
