end,end 2,end 3
"Paper stores, suppliers and shops of Durgapur",,
Name,Address,Contact No
Adhunika Book Centre,"Chandidas Market, B-Zone, Durgapur - 713205",0343-  2604416/ 09434253301/ 9531699406
Apsara,"Benachity Bazar, Benachity, Durgapur - 713213",09434254365
Binapani Paper House,"Stall No 92, Trunk Road, Prantika, Durgapur- 713204",09647631350
Chatterjee Paper House,"2 No Salbagan Road, Benachity, Durgapur - 713213",0343- 2574017/ 09233102731
Goswami Traders,"Benachity, Durgapur-713213",0343 2584523
Maa Tara Paper Mart,"Ramkrishna Pally, Benachity, Durgapur-713213",09333793093
Pal Stores,"Sagarbhanga, Ghosh Market, Durgapur - 713211",09832194159
Papermart,"Benachity, Durgapur-713213","0343- 2583717, +91 9434013669"
Shree Guru Paper Mart,"Vidyasagar Pally, Benachity, Durgapur- 713213",09475314304
Sree Durga Paper House,"Salbagan Gully, Benachity, Durgapur-713213",0343
