end,end 2,end 3
Play Schools in  Durgapur,,
Name,Address,Contact No
Apex School,"Benachity, Durgapur - 713213",0343  2586928
EuroKids,"16/8, Sepco Township, B-Zone, Durgapur - 713205",9903087881
EuroKids,"7 Pranabananda Road, SAIL Co-Op Housing, City Centre, Durgapur - 713216",.
Jack & Jill Kindergarten School,"Bengal Ambuja, City Centre, Durgapur - 713216",09735819753
kids Camp,"Satyajit Ray Sarani, City Centre, Durgapur - 713216",0343- 2602789
kids Dream,"Sector 2C, Bidhannagar, Durgapur - 713212",09475172979
kidsspace,"2/19 Rabindra sarani, Saratatpally, near fuljhor, Durgapur",0343- 2578840/ 9475742316
Kidzee,"4/2, Doctors Colony, City Centre Durgapur, Near Big Bazar, Durgapur - 713216",0343- 2542680/ 9800052912
Kidzee,"J M Sengupta Raod, B-Zone, Durgapur - 713205",0343- 6454276/ 9332080224
Little Flowers Montessori Play School,"Arrah Kalinagar Durgapur, West Bengal, India?",.
Little Laureates,"B 26, Nandalal Bithi, City Centre, Durgapur - 713216",9903903899
Roots To Wings,"Abanindra Bithi, Non-Company Housing Estate, City Center, Durgapur- 713216",0343 - 2547034
Skilled Minds,"RD-6, Armstrong Avenue, Bidhannagar, Durgapur - 713212",+91  9332025333
The Tree House,"C/7, Sector 2A, Iman kalyan Sarani, Bidhannagar, Durgapur - 713212",0 9163383591
Time Kids,"AN - 94,Yuri gagarin Path, Bank Colony More, Bidhan Nagar, Durgapur, West Bengal - 713 212.",0343 -
Zoom International School,"Lala lajpat Rai Road, A-Zone, Durgapur -713204",0343 - 2604750 / 2604748
