end,end 2,end 3
Printers and Publishers of Durgapur,,
Name,Address,Contact No
AB Print and Arts,Durgapur-,0343 2585510
Aloka Printing Works,"Near electric office, Electric office lane, Benachity, Durgapur - 713213",09474533371
Auto Printers,Durgapur-,0343 2558497
Banerjee Printers,Durgapur-,0343 2545805
Bengal Printing Works,Durgapur-,0343 2554308
City Press,Durgapur-,0343 2582882
Creative Impression,"Sarat Chandra West, Chandidas market, Durgapur-713205",0343 2561299
Desktop Publisher,Durgapur-713213,0343 2585854
Durgapur Press,Durgapur-713213,0343 2582326
Gitanjali Printers,"Benachity, Durgapur-713213",0343 2584573
Goswami Printers,"Benachity, Durgapur-713213",0343 2584523
Indian ART Press,"J.P. Avenue, Durgapur-713211",0343 2557821
Jharna Press,"Station Road, Durgapur - 713201",09474554486
Kamala Printers,Durgapur-713213,0343 2583115
Mark Printers,"D9/1, Durgamandir Road, Benachity, Durgapur - 713213",09614341230
M.M Printers,"Faridpur Main Road, Near City Centre, Benachity, Durgapur - 713213",0343 2547677
My Computer,"Roy Para, Benachity, Durgapur-713213",09434181752
Pioneer Press,"GC-1, City Centre, Durgapur - 713216",0343- 6451743
Prativa Printers,"M.K. Plot, Secon Lane, Benachity, Durgapur - 713213",09734786500/ 9434388959
Print Solutions,"65, Sarat Ch. East Avenue, Chandiads market, Durgapur - 713205",09641377511/  7679387944
Rotacol Offset Printers,Durgapur,0343 2584493
Swastika Press,"Mahiskapur Plot, Agrani Club, Agrani Goli, Benachity, Durgapur - 713213",09832200679
The Page Maker,"Benachity, Durgapur-713213",0343 2584127
Town Press,Durgapur,0343 2582507
