end,end 2,end 3
Saree Shops in Durgapur,,
Name,Address,Contact No
Benarasi Kuthi,"Benachity, Durgapur-713213",09332019861
Ghanty Cloth,"Hattala Road, Durgapur-713201",0343 2551442
G.C.Dalal,"Benachity, Durgapur-713213",0343
Kalyani Saree Mart,"B.C. Roy Market, Chandidas Market, B-Zone, Durgapur-713205",09749232871/ 9475163570
Kanta Cloth Store,"Station Bazar, Durgapur-713201",0343 2553465
Karunamoyee,"Sarat Chandra East, Chandidas Market, Durgapur-713205",0343 2567220
Mohini Mohan,Durgapur-13,0343 2587888
Nandini,"B-211, Kalpataru, Bengal Shristi Complex, City centre, Durgapur-713216",0343 2547350
Paridhan,Durgapur-713213,0343 2585061
Radharani,"Nachan Road, Benachity, Durgapur-713213",0343
Resham Shilpi,"Nachan Road, Benachity, Durgapur-713213",9143 - 32586022
Saree Centre,"Benachity, Durgapur-713213",0343 2584511
Sreeniketan,"Benachity, Durgapur-713213",0343 2586520
Silk Museum,"Benachity, Durgapur-713213",0343 2584567
The Tradition,"Benachity market, Durgapur-713213",0343 2584564
Utsav,Durgapur,0343 2501814
