end,end 2,end 3
Security Services in Durgapur,,
Name,Address,Contact No
Ace Protection Group,"Y/5 zonal centre, Near IBP petrol Pump, JP Avenue, Sagarbhanga, Durgapur - 713211",0343 2552152/ 7797701406
Active Security Service,"Office: Kalika Building Floor-4, Bhiringi, Benachity, Durgapur- 713213, Branch:20/1 Mahiskapur Road, B-Zone, Durgapur-713205","+91 7699680540, 7699995868, 9002945475"
Apex Services,"2/2, Jibananda Das Path, City Centre, Durgapur - 713216",09163058119/ 9088996372
Balaji Reliable Security Service,"1/20, Near Axis ATM,  Maxmuller Path, City Centre, Durgapur - 713216","09635002255, 9547053711"
Bengal Security Associates,"AR 17, Near Muchi Para, Benuban, Bamunara, Bidhannagar, Durgapur - 713212",0343- 6456777/ 9749873777
Bright Security Services,"B-15/2, Ispat Pally, Bidhannagar, Durgapur - 713212",0343- 2534817
Command Security Agency,"CBS-17, Court Complex, City centre, Durgapur-713216",0343 2545630
Dayco Securities Service,"Sen Market, Durgapur-  713201",0343- 2555215 / 9434032739
Deb Security Service,"27/3, Ambuja, Behind Urvasi complex, City Centre Durgapur - 713216",09339252950 / 9330556291
F 3 Security Service,"RA- 8, Urbashi, (Bangal Ambuja). St No- 32, City Center, Dgp -16. (Near More Shopping Mall)",09233335115
Falcon Security Service,Durgapur,0343 6522736
Future Group Security & Facility Services,"Ambuja  Street  no -3, Urbashi Molhar,  City Centre , Durgapur -16.   Near  Durgapur Cinema Hall",+91 9002223933 / 9002233318.
Industrial Security Agency,"Mohiskapur Plot, 1st Floor, Agrani Street, Benachity, Durgapur - 713213",09264665209/ 9474697878/ 9333929963
Lion Security Services,"C-30 Iman Kalyan Sarani, ADDA Colony, Sector 2B, Bidhannagar, Durgapur - 713212",09800450453/ 8900000936
NBS Security Services Pvt Ltd,"Near Recol Park, Gandhi More, Benachity, Durgapur - 713213",09830172149/ 9681652885
Palcon Security Service,"4 / 6, Sarojini Naidu Park, City Centre, Durgapur - 713216",09233352812/ 9832155835
Religare Securities Ltd,"B 309, Bengal Shristi Complex, City Centre, Durgapur - 713216",09831225256
Royal Securities Gaurding Pvt. Ltd.,"3/16, Urvashi Bengal Ambhuja, City Centre, Durgapur-713216",0343 3206939/ 2543775
Seahorse Marketing Pvt Ltd,"4/19, J.N. Das Path, City Centre, Durgapur - 713216",0343- 6511995/ 9475688484
Secret Eye Security Service,"3/22, 3 No.Street Doctor's Colony, City Centre, Durgapur - 713216",0343- 2542624
Security and Co,Durgapur,09832191481
Shresth Detective & Securities Pvt Ltd.,"Ah,Aha,Ka,Kha,Cultural Club, Durgapur Station Road, Durgapur - 713201",0343- 6451965/ 9732063428
Smc Global Securities Ltd,"Plot No 1396, Near Hotel Kasino, Nachan Road, Benachity, Durgapur - 713213",0343- 3206800/ 3206801/ 2588210
Sunshine Security Services,"R A 61, S S B Sarani, Durgapur Heavy Engineering Plant, Durgapur - 713210",09830643299/ 9932826729
Top's Security Limited,"Plot P, Zonal Centre, Sagarbhabga, Durgapur - 713211",0343- 6530227/ 3207020/ 9933017492/ 9830087875
