end,end 2,end 3
Servicing Centres in Durgapur,,
Name,Address,Contact No
BPL,Durgapur,09832212308
Canon Photocopier,"City Centre, Durgapur-16",0343 2548035
Compaq,"City Centre, Durgapur-16",0343
CromptonGraves,Durgapur,0343 2584210
DELL Tablet Service Centre in Durgapur,Kanak Bhaban Opp Indian Overseas Bank Benachity Durgapur-713213,0343 2588750
Eureka Forbes,"City Centre, Durgapur-16",0343 2544065
GIONEE Mobile Phones Sercice Centre in Durgapur,"BC/33 Ambedker Sarani, City Center, Durgapur. Near Eureka Forbes, Durgapur, West Bengal, Pin:-713216",+91 9932693941
Godrej,Durgapur,0343 2586943
Haier Service Centre Durgapur,"30 Moulana Azad Sarani, City Center, Durgapur, West Bengal, Pin: 713216",0343 -6454717
Hawkins,Durgapur,0343 2573701
Hammer Master,Durgapur,0343 2573701
Hero Motors Corp.,"Benachity, Durgapur-13",0343 2582928 /63
HTC Mobile Phones Service Centre in Durgapur,"1St Floor, J.K. Pal Lane, Mahiskapur Plot, Benachity, Durgapur-713213",+91 9564467208
Jaipan,Durgapur,0343 2573701
Kinetic,Durgapur,0343 3295221
LG,Durgapur,0343 3299655/ 3200748
Micromax Mobile Phones Service Centers in Durgapur,"M/S Silica Services, Bengal Ambuja, City Center, Durgapur- 713216","0343- 2548090, +91 8640937076"
Motorola,"Digitech service, J.K. Paul lane, Benachity, Durgapur-13",0343- 3200748
Mahindra,Durgapur,0343 2587733
NOKIA,"Bhiringi, Benachity, Durgapur-13",0343  2584140
SAMSUNG,"A6, Nandalal Bithi, City Centre, Durgapur-16",0343 2548460/ 9333088517
SONY,"Neosa Service Centre, Bhringi more, Benachity, opp. Dena bank, Durgapur-13","0343 2587217, 6531305, 3200267, +91 8016077889"
VOLTAS,Durgapur,0343 2583643
VIP,Durgapur,0343 2584854
Vivo Service Center near Durgapur,Asansol Ram Badhu Talav Malti Mangal Plaza Dist-Burdwan Pin - 713301,+91 8336969716
Vodafone Mini Store,"Stall No-Er-97, Sarat Chandra East, Chandidas Market, B-Zone, Durgapur- 713205",08145555000/ 8116211555
Whirlpool,"Anandamoyee Hotel Lane, Benachity, Durgapur- 13",0343 2585896
