end,end 2,end 3,end 4
Small Scale Industries of Durgapur,,,
Name,Address,Contact No,Product
Adhunik Corporation Ltd.,"Angadpur, Durgapur -15",2590840/ 31,Sponge Iron
Adhunik Ispat Pvt. Ltd..,"Waria Road, Durgapur -15",2591105/ 22,"TMT Bars, Coils"
AGR Finvest Ltd.,"Khatpukur, Muchipara, Durgapur -12",3090362,Safety Match Products
Alfa Wire Product.,"ADDA Industrial Estate, Plot no. B/26, Kanyapur, Asansol-713305",0341-2257942 Email:- alfawire@gmail.com,Super Enamelled Copper Wire
Bhagat Jee Steels(P) Ltd.,"Kanjilal Avenue, Durgapur -10",2551253/ 4191,Mild Steel Ingot
Bhaskar Shrachi Alloys Ltd.,"Angadpur, Durgapur -15",2590678/ 76,"Ferro Alloys, Silico, Manganese"
Corporate Ispat Alloys Ltd.,"De-Gaule Avenue, Durgapur -06",2552631,Ferro Alloys
C.P. Re-Rollers Ltd.,"Raturia Industrial, Durgapur -15",2591097/ 110,"TMT Bars, Ingot"
Crimp Flow,"G.T.Road,(E), Ushagram, Asansol-713303",0341- 2274515/ 9832256173 e-mail:cflo@rediffmail.com,Hose Assemblies
Dinman Polypackers Pvt Ltd..,"EPIP, Durgapur -12",3090989,PP Oven Sacks Bag
Durgapur Dairy.,Durgapur -11,2556146,Dairy Products
Golden Poly Products Ltd.,"De-Gaule Avenue, Durgapur -06",2550457,"Flexible Packing, PVC Pipe, Lamination Films"
Indane Bottling Plant(I.O.C.L.),"Lenin Sarani, Durgapur -10",2554253,Cooking Gas and Commercial Gas Bottling
Industrial Refractories Private Ltd.,"N.N.Bose Road, Durgapur -713211","2554691(O), 2536770(R)",Complete Fire Bricks Makers.
Jai Balaji Sponge Ltd..,"Lenin Sarani, Durgapur -10",2553884/ 85,"Sponge Iron, Pig Iron, Ferro Alloys, Reinforcement Steel Bars and Wire Rods, Ductile Iron Pipes, Alloy and Mild Steel Billets"
Jagadamba Fiscal Services(P) Ltd.,"Bidhan Commercial Complex, Bhiringi, Durgapur -13",2584678,Cement Manufacturing
Jai Ma Sati Net (p) Ltd.,"Export Promotion Industrial Park, Baskopa, Durgapur -12",3090631/ 2532336,Mosquito Net Fabrics
Jawla Steel Pvt Ltd.,"Lenin Sarani, Durgapur -10",2552860,.
Jolla Steels Pvt. Ltd.,"Lenin Sarani, Durgapur -10",2554509/ 6879,Ms Ingot
Kajaria Pig Iron Plant.,"Angadpur, Durgapur -15",2590721,Pig Iron
Karthik Alloys Ltd.,"Angadpur, Durgapur -15",2590737/ 694,"High-Low & Medium Carbon Silico Manganese, High-Low & Medium Carbon Ferro Manganese"
Neo Metalics Ltd.,"Gopalpur, Durgapur -12",3091228,Pig Iron
Partha Pharmachem,"EPIP Zone, ADDA Plot, Baskopa, Durgapur -12",2532091/ 92,Light Liquid Paraffin & Transformer Oil
Rahul Springs Pvt Ltd.,"Panagarh, Pin-713148",2524750/ 4670,Automobile Spring Leaves
Ritesh Tradefin Ltd.,"Lenin Sarani, Durgapur -10",2553518,Sponge Iron
Satabdi Monolithics Industries,"Office:- Plot No- 2168, Behind U.B.I. Barjora Branch, Barjora, Dist- Bankura , W.B. Works:- Plot No 3129, Saharjora, P.O. Muktatore- 722202, Barjora, Dist- Bankura, (W.B.)",2566949,"Catable, Ramming Mass, Gunning Mass, B.F. Mass & Nozzle Filling Compound"
Sharp Ferro Alloys Ltd.,"Kamalpur, Durgapur -05",2566949,"Ferro Mangenese, Si-Manganese."
Shivam India Pvt. Ltd.,"Raturia, Angadpur, Durgapur -15",2591153/ 54,"Ms Billets, TMT Rods"
Shree Swastick Industries.,"G.T. Road, Bansra More, Searsole, Rajbari, Raniganj-713358,",0341 2444398/6951001,"Fly Ash Bricks, Paver Blocks, Tiles & Stone chips"
Shri Ramrupal Balaji Steels Ltd.,"Banskopa, Rajbandh, Durgapur -12",2533721/ 423,"Pig Iron, Thermax TMT Bars"
Shayam Sel Ltd.,"Raturia, Angadpur, Durgapur -15",2590445,Ms Ingot (Non Alloy)
Shyam Steel Industries Ltd.,"Raturia, Angadpur, Durgapur -15",2591098/ 99,Billet & TMT Bars
Shyam Ferro Alloy Ltd..,"Raturia, Angadpur, Durgapur -15",2590895/ 1101,"Ferro Alloy, Ferro Chrome"
Shakambari Overseas Trade(p) Ltd.,"Raturia, Angadpur, Durgapur -15",2590520,Ms. Ingot
Smitabh Intercon Ltd.,"EPIP, Durgapur -12",3090989,HDPE Bags
Sova Ispat Alloys Ltd.,"Hahnemann Sarani, Angadpur, Durgapur -15",2590680/ 689/802,"Ferro Alloy, Silico & Ferro Manganese"
SPS Metal Cast & Alloy Ltd.,"Dr. Zakir Hussain Avenue, Durgapur -06",2554526/ 27,Ms.Ingot
SPS Steel & Sponge Ltd.,"Dr. Zakir Hussain Avenue, Durgapur -06",2552986/ 87,Sponge Iron & Billet
SPS Steel Rolling Mills Ltd.,"Dr. Zakir Hussain Avenue, Durgapur -06",2554526/ 27,Elegant Brand TMT Bars
Srinivasa Ferro Alloys Ltd.,"Angadpur, Durgapur -15",2590727,Ferro Alloys
SRMB Srijan (P) Ltd.,"Sagarbhanga, Durgapur -01",2550448,Section & Rod
Stollberg India Pvt. Ltd.,"EPIP, BansKopa, Durgapur -12",2533390/ 91/92/93,Continuous Casting Flux
Super Smelters Ltd.,"Kanjilal Avenue, Durgapur -10",2553284/ 2598,"Ms Rod, TMT Bars"
Surya Alloys Industries(P) Ltd.,"Waria Road, Durgapur -15",3310793/ 2591177,Railway Track Components
The Supreme Industries Ltd.,"EPIP, Banskopa, Durgapur -12",2534067/ 68,Moulded Furniture & Crates
