end,end 2,end 3
Tea Shops and dealers in Durgapur,,
Name,Address,Contact No
Ajanta Tea Centre,"Stall n0-44, Sarat Chandra Avenue (E), Chandidas market, B-Zone, Durgapur-713205",0343 9804100109
Ajanta Tea Centre,"Near Ananya Restaurant, City Centre, Durgapur-713216",0343 -2549014
Bengal Tea House,"Near Durgapur Station Bus Stand, Durgapur - 713201",0343-2558563
Economic Tea Centre,"Benachity Market, Benachity, Durgapur - 713213",09153100519
Fresh Tea Co,"Uttarpally Street, Benachity, Durgapur - 713213",09434645956
India Tea House,"City Centre, Durgapur-713216",09800451981
Mangalam Agro Products,"City Centre, Durgapur-713216",08670870616
New Darjeeling Stores,"Biswakarma Road, Mini Bus Stand, Bidhannagar, Durgapur - 713212",09434506712
New Kwality Tea House,"Uttarpally Road, Benachity, Durgapur - 713213",08293996639
New Tea Centre,"Benachity Market, Durgapur - 713213",09474640254
Shree Laxmi Tea Centre,"Ramkrishna Pally, Gurudwara Road, Benachity, Durgapur - 713213",09378397110
Singh Tea House,"Harshabardhan Road, Benachity, Durgapur - 713213",09933753075
Tea Emporium,"Quisor Lane, Benachity, Durgapur - 713213",09832609700
Top Tea Shop,"Uttarpally Road, Benachity, Durgapur - 713213",0343- 2579517
Wanda Tea Supplier,"Sagarbhanga, Durgapur - 713211",09851004317
