end,end 2,end 3
"Tiles, Mosaic and Marble Shops in Durgapur",,
Name,Address,Contact No
"Dhan Stone Granite, Marble & all kind of natural stone","House No -48, Moulana Azad Sarani, Sail Co-operative, City Centre, Durgapur-713216",91+ 9693401162/ 8436323541/ 8296903781
Kalpana Marbles,"Muchipara, Shibpur Road, Durgapur-713212",0343 6455710/ 8101913212/ 9832163588
Mewar Marbles,"Beside Faridpur Police Station, G.T.Road, Faridpur, Durgapur - 713308","09002234918, 9547050980"
New Zephyr Marble,"Shyam Complex, Benachity, Durgapur-713213",0343 2583964
New Zephyr Marble House,"G.T. Road, Bhiringi More, Durgapur-713213",09333900259
S.B. Traders (Marbles & Tiles),"Steel Park More, Bidhannagar, Durgapur-713206",09476326393/ 8509622893
Udaipur Marbles,"Bhiringi, G.T. Road, Durgapur-713213",0343 2582622/ 9434003695/ 9333744310
Universal Marble,"Near Star Hotel, Bhiringi, G.T. Road, Durgapur-713213",0343 2586699/ 9333666555
