end,end 2,end 3
Tour Travels agents and operators in Durgapur,,
Name,Address,Contact No
Arghya Bakshi,"A-Zone, Durgapur-713204",09434146991
ADSUM HOLIDAYS,"6/23, Bengal Ambuja Housing, City Centre, Durgapur-713216",8768130566 / 8768130665
Adventure Holidays,"44, Sukanta Path, City Centre , Durgapur -713216.",09775271991/ 09775271993
Akash Ganga Tours & Travels,"Abanindra Nath Bithi, City Centre, Near City Athelatic Club, City Centre, Durgapur-713216",0343-2543826/ 0947490970928/2
Airport Travels,"Khola market, Ashok Avenue, A-Zone, Durgapur-713204",09153384262/ 8629913970/ 8016750720
Ashim Tour N Travels,"28/2 Bengal Ambuja, Urbashi Complex, City Centre, Durgapur-713216",09332870902/ 9332531710
Anand Special,"Gandhi More, G T Road, Benachity, Durgapur - 713213",0343- 2546557/ 9832166197/ 9333915184
Anubhava Travels,"Near Bidhan Nagar S.D. Hospital, Bidhannagar, Durgapur - 713206",09932026496
AR Tours And Travels,"1/22, Abanindra Bithi, City Centre, Durgapur - 713216",0343- 2548589
Aurora Hospitality,"1/1 N.C. Roychoudhury Road, City Centre, Durgapur - 713216",09732258987/ 9434591378
Bagchi Enterprises,"4, Near Annapurna Traders, Matangini Hazra Bithi, City Centre, Durgapur - 713216",09609552563/ 9474639629
Bluedot Tour And Travels,"Sector 2 B, Plot No R F/8, Near Uttarpally Puja Maidan, Borman Street, Bidhannagar, Durgapur - 713212",0343- 2531121/ 9232177794
Bright Tourism,"Uttarayan Club, 34, Sukumar Roy Path, City Centre, Durgapur - 713216",09093500609/ 9093500601
Chakraborty Tour and Travels,"Ashok Avenue Open market, A-zone, Durgapur-713204",09732083361
Chalantika Travels,Durgapur-713202,09332618203
Chalo - Lets Go,"A/5/4, Akbar Road, A-Zone, Near People's Co-Operative Bank, Durgapur - 713204",09775703771/ 9903934373
Club7 Holidays Ltd,"A 106 Bengal Shristi Complex, City Centre, Durgapur - 713216",0343- 2542449/ 09475413413/ 9232047615/ 9832755612
City Tour and Travels,"A-106 Kamdhenu Building, Bengal Shristi Complex, City Centre, Near Big Bazar, Durgapur - 713216","0343-2542449, +91 9832755612/ 9475413413/ 9475413412"
Country Club tours,"Ramkrishna Pally (North), Benachity,Near Trank Road,Durgapur- 713213",09641546438/ 9332260624/ 9933494375/ 9775788302
Cox and Kings Ltd,"B 203, Block Kalpataru, Bengal Shristi Complex, Near Senco Gold Showroom, City Centre, Durgapur - 713216",09830044507/ 9674294800
Dream Holidays & Events,"Near Link Road, 7C/1 Sukantapally, Dhandabag, Durgapur - 713213",09800780928/ 8013584886/ 9749020439
Durgapur Travellers Club,"Room Number G 16, Ground Floor, Block 4, Commercial Estate, Near Big Bazar, City Centre, Durgapur - 713216",0343- 2542179
Eastern Travels PVT. Limited,"A-105, Bengal Shistri, Kamdhenu Bldg., City Centre, Durgapur - 713216",0343- 2542594
Exotic Tour & Travels,"22, Kabi Guru Sarani, Near Kabiguru 2nd Bus Stopage, City Centre, Durgapur - 713216",09232070028/ 9233370027
Goswami Travels,Durgapur,09832160953
Green Mist,"City Centre, Durgapur -713216",09434388191/ 9851105701
Guruji Travels,"2nd Floor, Kapoor Market, Benachity, Durgapur - 713213",09832233067/ 9332631807
"Hotel Booking & Package Tour (Darjeeling, gangtok, Peling )","City Centre Bus Stand, Durgapur - 713216",07384995787
Indian Tour and Travels,Durgapur,09832117733
Indira Tour and Travels,"Kamalpur Plot, Benachity, Durgapur - 713213",0343- 2588252/ 9800001700
JAI Dada Travels Pvt. Ltd.,"City Centre Bus Stand, City Centre, Durgapur- 713216",0343- 2542049/ 9093302341
Jetex Tours & Travels Pvt. Ltd.,"The Riviera Durgapur Tourist Lodge room no-97, Birbhanpur, Durgapur - 713202",0343- 2559024
Jibandeep Tourism,"A 29, Abanindra Bithi, Near Chaturanga Maidan, Big Bazar, City Centre, Durgapur - 713216",0343- 2589091/ 8348693565
Jharna Tourism,"City Centre, Durgapur- 713216",09434188867
Joy Travels,"Steel Market, Kamalpur, A-Zone, Durgapur - 713204",0343- 2575876/ 9474056672
Kalika Travels,"G.T. Road, Bhiringi, Durgapur- 713213",09775736017
M.K. Holiday Club,"UCP-004, Bengal Ambuja, City Centre, Durgapur-713216",08641956210/ 8641956211
Maa Tara Travels,"Durgapur Station Road, Durgapur - 713201",09933100161
Make my trip,ofice: Durgapur,08116604614/ 5/ 6
Map Indian Tour and Travels,"A/11 Abanindra Nath Bithi, City Centre, Durgapur-713216",09831549715/ 0343-3244440
Mercuryy Tour And Travel,"27, Abanindra Bithi, City Centre, Durgapur:  713216",09564094722/ 8902495917
Minati Travels,"Durgapur Station Road, Durgapur - 713201",09434239286
Nature Fresh Hospitality,"62, Moulana Azad Sarani, Near Maulana Azad Bus Stop, City Centre, Durgapur - 713216",0343- 6510599/ 9093200601/ 9093200602/ 9093200603/ 9932253781
New Sova Travels (NST TRAVELS),"UCP-004, Bengal Ambuja, city centre, Durgapur 713216",+91 9475752836
New Steel City Travels (Reservation & Ticketing Department ),"D/42 Nutan Pally, Benachity, Durgapur-713213",09732113119
New Eureka Travels,"Stall no CWS- 5, Near SBSTC Bus Stand, City Centre, Durgapur - 713216",09434008559
Nidhi Travels,"RR/250, Near ABL Kalibari, ABL Township, Durgapur - 713206",09832133160/ 9674614919
Plutus Travel Club,"RC - 130, APC Avenue, Gitanjali Park, City Centre, Durgapur - 713216",0343-
Preeti Travels,"SBSTC Bulding Complex, City Centre, Durgapur - 713216",0343- 2546518
Prithivi Travels,"B T S- 12, SBSTC Complex Bus Stand, City Centre, Durgapur - 713216",0343 3296199/ 9332457016/ 9749479295/ 9474600000/ 9333211777
Pushpak Travels,"Nachan Road, Benachity, Durgapur - 713213",0343 2584251/ 9474485269
Rimjhim Travels,"10, Kabiguru Sarani, City Centre, Durgapur - 713216",09333951730
S G Tour & Travels,"UCP 37, Bengal Ambuja, Near VLCC, City Centre, Durgapur - 713216",0343- 2543213/ 9474544902/ 9434162998
Skyline,"1 A/20, Suniti Chatterjee Poth, City Centre, Durgapur - 713216",09232487864/ 9233302939
Sneha Travels,"G.R. Das Road, A-Zone, Durgapur-713204",09434200947
SOTC Durgapur Branch,"A 22, Near Bidisha Bus Stand, Abanindra Bithi, City Centre, Durgapur - 713216","0343- 2543604, 2543604/ 9434155590"
