end,end 2,end 3,end 4,end 5,end 6
Trains from Durgapur,,,,,
(Durgapur to  train)  (Durgapur to  train),howrah,asansol,,,
Code,Train Name,Arrives,Departs,Stop time,M	T	W	T	F	S	S
12020,Shatabdi Express,18:58,19:00,2 min,Y	Y	Y	Y	Y	Y	N
12019,Shatabdi Express,07:48,07:50,2 min,Y	Y	Y	Y	Y	Y	N
03114,New Delhi Kolkata Special,20:17,20:19,2 min,Y	N	N	N	N	N	N
12313,Seldah Rajdhani express,18:48,18:50,2 min,Y	Y	Y	Y	Y	Y	Y
13318,Blackdiamond Express,18:19,18:21,2 min,Y	Y	Y	Y	Y	Y	Y
13317,Blackdiamond Express,08:54,08:56,2 min,Y	Y	Y	Y	Y	Y	Y
13106,Ballia Sealdah Express,23:10,23:12,2 min,Y	Y	Y	Y	Y	Y	Y
05225,Kolkata Muzaffarpur Special,13:18,13:20,2 min,N	N	N	N	N	N	N
12381,Poorva Express,10:17,10:19,2 min,N	N	Y	Y	N	N	Y
12303,Poorva Express,10:04,10:06,2 min,Y	Y	N	N	Y	Y	N
12333,Vibhuti Express,22:02,22:04,2 min,Y	Y	Y	Y	Y	Y	Y
05226,Muzaffarpur Kolkata Special,23:25,23:27,2 min,N	N	N	N	N	Y	N
12354,Lal Kuan Howrah Express,16:20,16:22,2 min,N	N	N	N	N	Y	N
22612,NEW JALPAIGURI Mas Express,07:35,08:00,25 min,N	N	N	N	Y	N	N
12342,Agnibina Express,06:12,06:14,2 min,Y	Y	Y	Y	Y	Y	Y
12340,Coalfield Express,07:50,07:52,2 min,Y	Y	Y	Y	Y	Y	Y
03136,Gorakhpur Kolkata Special,05:07,05:09,2 min,N	N	N	Y	N	N	N
19306,Shipra Express,19:51,19:53,2 min,Y	N	N	Y	N	Y	N
13152,Sealdah Express,12:43,12:45,2 min,Y	Y	Y	Y	Y	Y	Y
12175,Chambal Express,19:52,19:54,2 min,N	Y	Y	N	N	N	Y
12322,Kolkata Mail,9:09,9:13,4 min,Y	Y	Y	Y	Y	Y	Y
12329,Sealdah Delhi W B Sampark Kranti,15:29,15:31,4 min,N	Y	N	N	N	N	N
13020,Bagh Express,09:29,09:31,4 min,Y	Y	Y	Y	Y	Y	Y
15661,Ranchi Kamakhya Express,02:47,03:12,25 min,N	N	Y	N	N	N	Y
02651,Yesvantpur Kamakhya Express,18:40,19:45,65 min,N	N	N	N	N	N	Y
13010,Doon Express,03:08,03:10,2 min,Y	Y	Y	Y	Y	Y	Y
03189,Sealdah Anand Vihar Trm Special,11:25,11:27,2 min,N	N	N	N	Y	N	N
02551,Yesvantpur Kamakhya Express,18:40,19:45,65 min,N	N	N	N	N	Y	N
13166,Sitamarhi Kolkata Express,08:59,09:01,2 min,N	N	N	N	N	N	Y
13503,Intercity Express,20:03,20:05,2 min,Y	Y	Y	Y	Y	Y	N
13504,Intercity Express,07:17,07:19,2 min,Y	Y	Y	Y	Y	Y	N
