end,end 2,end 3
Transport in Durgapur,,
Name,Address,Contact No
Asian Roadways,Durgapur-713216,0343 2545256
Arghya Bakshi,"A-Zone, Durgapur-713204",09434146991
Balaji Road Carrier,Durgapur-713213,0343 2547065/2548863
Best Carriers,"Nachan Road, Bhiringi, Durgapur-713213",0343 2582075
Blue Heaven,Durgapur-,09233363211/ 933370559
Chowdhury Transport,"Nagarjun Extension, Near 3 no street, B-Zone, Durgapur-713205",09851526606/ 9851913817/ 8101185543
Commercial Carriers Private Limited,"Sanjeev Sarani, Durgapur-713201",0343 2555791
Continental Carriers of India,"Shyama Mansion, G.T. Road, Bhiringi, Durgapur-713213",0343 2585677
Devraj Transport Service,"G.T. Road, Bhiringi, Durgapur - 713213",09800933103
Durgapur Packers and Movers,Durgapur,09932511496
Durgapur Road Carriers,"G.T. Road, Bhiringi, Durgapur-713213",0343 2548196
Durgapur Transport,"Benachity, Durgapur-713213",0343 2584082
Essential Packers and Movers,"City Centre, Durgapur-16",0343 2565503/ 9832111754
Gill Packers and Movers,"68 St. Xaviers Marg, C-Zone, Durgapur-713205",09434188826/ 7029327444
Goodwill Transport Service,"Near Samrat Hotel, G T Road, City Centre, Durgapur - 713216",0343- 2544360
Hemkunt Transport Company,"Near Hindustan Kanta, Old Court More, Tamla Gate, Durgapur - 713203",0343 2587162/ 9832135171
Inland Road Transport Pvt. Ltd,"Sattu Konar Building, Near-Motor Training School, Bhiringi, Durgapur - 713213",0343- 2588746
Iswari Transport (Packers and Movers),"Chandidas avenue, B-Zone, Durgapur-713205",08101706480
Janta Transport Corpn.,"Secon Lane, Benachity, Durgapur - 713213",0343- 2004082
Kerala Transport Company,"Kwality Hotel Building, Bhiringi, Durgapur - 713213",0343- 2582292
Maa Tara Transport,"Ispatpally, B-Zone, Durgapur-5",09635924757/ 8509215295
Nandi's Car Rental & Transport,"CS-5, 1st J.M. Sengupta Road, Durgapur-713205",09434388558/ 9851824446/ 9333644557
Natraj Packers and Movers,"Kabiguru Second Bus Stop, Kabiguru Sarani, City Center -713216",009732062567
Roy Transport Co,"G.T. Road, Bhiringi, Durgapur - 713213",0343- 2586360/ 9832162001
R K Transport Corporation,"Opposite L & T Cement Factory, Industrial Area, N. H- 2, Muchipara, Durgapur - 713212",09331018277/ 9433136360
Sasmal Packers and Movers,"Chandidas Sarat Ch. Road, B-Zone Durgapur-5",09474557192
"Saha Transport (Scorpoi, JCB, Dumper, Proclain)","1/12 Marconi Avenue, B-Zone, Durgapur-5",08001111158/ 8293423203
Steel City Carrier,Durgapur,0343 2585679/ 9434009447
Transport Corporation Phillips,"Pasupati Market, Benachity, Durgapur - 713213",0343- 2583972
United Transport Company,"A-7, Abanindra Bithi, City Centre, Durgapur - 713216",0343 2542015
United Transport Company,"Benachity, Durgapur-713213",0343 2582786
Unique Co.Op.Transport Society Ltd.,"Benachity, Durgapur-713213",0343 2545358
Ureka Transport Co-Operative Society Ltd.,"Benachity, Durgapur-713213",0343 6531199/ 6455088
