end,end 2,end 3
Cabs/ Car Rental/ Taxi Service in Durgapur,,
Name,Address,Contact No
Arghya Bakshi,"A-Zone, Durgapur-713204",09434146991
Avijit Biswas,"B-Zone, Durgapur-713205",09836590083
Airport travels,"Khola Market, Ashok Avenue, A-Zone, Durgapur-713204",09153384262/ 8629913970/ 8016750720
Ananda Chakraborty,"Chandidas avenue, B-Zone, Durgapur-713205",08101706480
Debansh Travels,"19/7 Kashiram Das Road, B-Zone, Durgapur-713205",07063574161/ 7602598544
Dipankar DeSarkar,"Tilak Road, B-Zone, Durgapur-713205",+91 9832176664/ 9332995486
D.P. Travels (Ac & Non Ac Car Rental),"Rajendra Prasad Road, B-Zone, Durgapur-713205",+91 8926953618/ 9126985627/ 7384064332
Durgapur Car Wash,"Post office More, Opp. B-Zone Post office gate, Durgapur-713205 and Near Ladies Petrol Pump, Kabiguru, City Centre, Durgapur-713216",09434177640/ 9332831455/ 9331431535
Joyguru Travels (Air & Rail Ticket Car & Bus Rental),"Chandidas market, B-Zone, Durgapur-713205",09775042222/ 7865966968
Kotha Travels (Ac & Non Ac Car Rental),"Parulia Bus Stand, A-Zone, Durgapur-713204",+91 8967292870/ 7699992890/ 9434533303
Lakhan,"Rajendra Prasad Road, B-Zone, Durgapur-713205",09333372958
Mousree Travels,"Palashdiha, Durgapur-713208",09851626394/ 7407737797
Moyur & Miran,"4/17 Chandidas Avenue, B-Zone, Durgapur-713205",09434200857/ 7384851050/ 8145827011
Nandi's Car Rental & Transport,"CS-5, 1st J.M. Sengupta Road, Durgapur-5",09434388558/ 9851824446/ 9333644557
"1/12 Marconi Avenue, B-Zone, Durgapur-713205",09475830009/ 08001111158/ 8293423203,Rahul Transport (Scorpio)
Solution Enterprise,"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Sonu,"Bharati, B-Zone, Durgapur-713205",09933394003/ 09832761698
Suman,"3/12 Marconi Avenue, B-Zone, Durgapur-713205",09233664364
