end,end 2,end 3
Carpenters of Durgapur,,
Name,Address,Contact No
Carpenter (Independent),"Rajendra Prasad Road, B Zone, Durgapur - 713205",09333372958
Dear Furniture,"Stall No CS 1, Sarat Chandra Avenue, B Zone, Durgpur 713205",09434647040
Furniture Point,"Near DTDC Courier, Kamalpur, Benachity, Durgapur - 713213",09333774993
Jayguru Furniture,"Stall No- 874, C-Zone Market, Durgapur-713205",09475941997
K.P Furniture,"Stall No- 90, Sarat Chandra Avenue (East), Durgapur- 713205",09832299794/ 9732249125
Laxmi Narayan Furniture,"Durgapur R E College, Durgapur - 713209",09434226897
Modela Furniture.,"Nachan Road, Benachity, Durgapur - 713213",9775788482
Mondal Furniture,"Sukanto Bazar, Shyampur More, Durgapur - 713201",09476211123
Nadia Furniture,"Trunk Road Prantika, Kamalpur, Durgapur - 713204",0343- 2570476/ 3294562/ 9732192753
Sandip Furniture,"Stall No-8, Chandidas Sector Market, Durgapur - 713205",09832281076
