end,end 2,end 3
Caterers of Durgapur,,
Name,Address,Contact No
Ureka Event Management & wedding planner,"Chandidas Market, B-Zone, Durgapur-713205",09434200945
3 Star Caterer,"Near B-Zone State Bank, B-Zone, Durgapur- 713205",09233798852/ 9093518094/ 9749658216
Aponjan Caterer,"Shyampur Bazar, Durgapur- 713201",08016892892/ 9333522226
Appayan Caterer,Durgapur,0343 2534386
Appolo Catering,Durgapur,0343 2553181
Astha Caterer,"1 A/20, Vidyapati Rd, Durgapur - 713205",09932244586
B K Decorators Cum Caterers,"Near 12th Street, David Hare Road, Durgapur 713205",0343- 5534450/ 9434311170/ 9332083960
Caterer Atithi,"Tilok Road, B-Zone, Durgapur - 713205",09434471134
Chatterjee Caterer,"Ukhra Astol Road, Ukhra, Durgapur - 713363",09333929071
Chef Caterer,Durgapur,0343 2571755
Durgapur Decorators And Caterers,"Stall No 842, C- Zone Market,  Durgapur 713205",09333900083
Food Value Caterer,"Tilok -David More, B-Zone, Durgapur 713205",09332800236
Lovely Caterer,"17, Kabiguru Sarani, Sail CO-Op, City Centre, Durgapur- 713216",0343 6453465
Lotus  Caterer,"J.M. Sengupta Road, Near DSP Main Hospital, Durgapur-712304",0343 2566607
Maha Kali Decorators & Caterer,"Stall No-4, Sarat Chandra Avenue, Chandidas Market, B-Zone, Durgapur-713205",09732086726
Nabanna Caterer,"Manglik, City Centre, Durgapur - 713216",0343- 2544199/ 9434077070
Nandi Caterer,"Sarat Chandra West, Chandidas Market, Durgapur-713205",.
New Amantran Caterer,"6B/8, Rabindra Pally, Dhandabag, Durgapur-713203",9126496200/ 9932963729
New Caterer Universal & Trimurti Decorator,"Stall no-1040, S.N. Banerjee Road, Kururia Danga More, A-Zone, Durgapur-713204",08101542706/ 9474640398/ 8436584029/ 9475241511
New Chandi Decorator cum Caterer,"St. Pauls Road, Ashis Market, A-Zone, Durgapur-713204",09474640555/ 7797725785/ 9474639540
New Modern Decorators,"Ghosh Market, Mamra Bazar, Mamra Bazar Road, Durgapur - 713206",07679077346
New Trimurti  Caterer Cum Decorators,"Ramanujam More, Stall No-685, B-Zone, Durgapur - 713205",09434147713/ 9635397713
Niribili Caterer,"J.M. Sengupta Road, Durgapur-713205",0343 2544199
Pancha- Byanjan,"Bhagat Singh More, C-Zone, Durgapur - 713205",09679834446
PARTY 24*7,"City Centre, Durgapur Express Highway, City Centre, Durgapur - 713216, Dist: Paschim Bardhaman",8961809549
Payel Caterer,"Chandidas Market, B-Zone, Durgapur-713205, Dist: Paschim Bardhaman",.
Prince Decorator & Caterer,"Ashis Market, St. Pauls Road, A-Zone, Durgapur-713204, Dist: Paschim Bardhaman",9434539607/ 9614300250
Professional Caterer,"WS-3, Tilak Road, B-Zone, Durgapur-713205",9733251797/ 9232488037
Puspa Decorators Cum Caterer,"Trunk Road, Kamalpur, Durgapur - 713204","9333728239, 9832134216"
Quality Caterer,"Trunk Road, Near Prantika, Kamalpur Road, Durgapur - 713204, Dist: Paschim Bardhaman",09832179944
Raj Lucky Caterers,"Steel Park More, Bidhannagar, Durgapur-713206, Dist: Paschim Bardhaman",9832212493/ 9332829460
Rastaka Caterer Decorator,"Stall No.-47, Marconi Rd, Chandidas Market, B-Zone, Durgapur - 713205, Dist: Paschim Bardhaman",0343- 2568242
Refresh Caterer,"Chaitanya Ave, A-Zone, Durgapur, West Bengal 713204, Dist: Paschim Bardhaman",+91 9832194797 / 343-2002576
Sahin Caterer,"C- Zone, khola Market, Durgapur - 713205",09474953411
Solution Enterprise,"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Santi Decorator & Caterer,"B.C Roy Market, Chandidas Market- Bazar, B-Zone, Durgapur - 713205",09434832859
Suruchi Caterer,Durgapur,0343 2586210
Sradhanjali,"Newton Sector Market, B-Zone, Durgapur-713205",.
Swadist Caterer,"Sarat Ch. Road, (Near Health Centre), Also 11 no. street Marconi Avenue, B-Zone, Durgapur-713205",9933702473/ 9800850886
Swapan Decorators And Caterers,"Trunk Road, Prantika, Durgapur 713204",09832190502
The Bhoj  Caterer & Decorator,"Vidyasagar Avenue, B-Zone, Durgapur-713205",09832176664/ 9434015018
Tripti Caterer,"Newton Avenue, B-Zone, Durgapur-713205",09332237592
Universal Caterer,"Near Health Centre, B-Zone, Durgapur - 713205",0343- 2560615/ 9832110862/ 9832122589
UP To Date Caterer,"New Mkt, Station Rd, Durgapur - 713201",09232398957
