end,end 2,end 3
Community Halls/ Auditorium/ Marriage Halls,,
Name,Address,Contact No
Ananda Dhara,"Subhas Pally, Benachity, Durgapur-13",0343 6450304
Ananya Guest House,"A1-28, S.S.B. Sarani, Sector - 2A, Pump House, Bidhannagar, Durgapur -12",9734771725/ 9832192298
Anusthan,"Parashar Road, A-Zone, Durgapur-4",0343
Asha Ustabalay,"54 ft Road, Benachity, Durgapur-13",0343 2582501
Bibaha Bandhani,"Vidyasagar Pally, Benachity, Durgapur-13",0343 2584252/ 22
Bidhan Bhaban,"Edision Road, B-Zone, Durgapur-05",0343 2562102
CMA Bhaban(Previously ICWA ),"Near Nirmala Pertol Pump, Durgapur-05",9434538451
CMERI Auditorium,"CMERI Colony, Durgapur-09",0343
Deshbandhu Bhaban,"Sarat Chandra Avenue, B-Zone, Durgapur-05",0343 2562827
Dhatu Bhaban( IIM Durgpur Chapter),"Near Nirmala Pertol Pump, Durgapur-05",P.K.Misra- 9434791455 Basanta-9635346297
FCI Auditorium,"FCI Colony, Durgapur-12",0343
Krishna Marriage Hall,"MR-1, Saptarshi Park, (Shankarpur West), Durgapur-713206",07602369267/ 9593175386/ 9679726207
Lakshminarayan Bhawan,"Benachity, Durgapur-13",00343 2583864
Mahal,"Near Pump House, Bidhannagar, Durgapur-12",0343
MAMC Auditorium,"MAMC Colony, Durgapur-06",0343
Mangalik Marriage Hall,"City Centre, Durgapur-16",00343 2544199
Netaji Bhaban,"Rammohan Avenue, A-Zone, Durgapur-04",0343 2562822
Nirmala Guest House (Marriage Hall Cum Guest House),"A1/17, Sahid Sukumar Banerjee Sarani, Bidhannagar, Near New Petrol Pump at Bidhannagar, DURGAPUR-713212","91 -9932492516, FAX : 91-343-2533941"
Nirupama Bhawan,"Rabindra Pally, Shyampur Road, Durgapur-01",0343 2555788
NIT Auditorium,"NIT Campus, Durgapur-09",0343
PCBL Auditorium,"PCBL Colony, Durgapur-12",0343
Rabindra Bhaban,"Shibaji Road, A-Zone, Durgapur-713204",0343 2570636
Rangon,"Near Pump House, Bidhannagar, Durgapur-12",0
Renuka Bhawan,"Mahiskapur Plot, Benachity, Durgapur-713213",09434592138
Rum Jhum  Wedding Hall,"MNAV-19, Ambuja, City Centre, Durgapur-713216",09933105379/ 8653814101
"City Centre, Durgapur-713216",0343 2544654,Srijionee
The Godhuli Guest House (Lodge),"Iman Kalyan Sarani, Sector 2C, Bidhannagar, Durgapur-713212",094741123
