end,end 2,end 3
"Computer Sales and Service, IT Shops in Durgapur",,
Name,Address,Contact No
AASTHA INFOTECH SERVICES,"Bhiringi , Nachan Road, near DENA Bank (Ground floor of Central Bank Of India), Durgapur-713213",0343- 2587948  / 09434332992
Arrowsoft,"Chaturanga Puja Maidan, Allauddin khan bithi, City Centre, Durgapur - 713216",07872222255
Bandan Infotech,"Durga Mandir Road, Benachity, Durgapur-713213",9153041349
Binary Centre,"Nachan Road, Durgapur-713213",9434002528
Computer City,"City Centre, Durgapur-713216",.
Computer Plaza,"Benachity, Durgapur-713213",9832189519
Computer Wizard,Durgapur,0343 2552041
Computer World Durgapur,"Ajit Banerjee Building(1st Fl), Benachity, Nachan Road, Durgapur - 713213",0343 -2588196
Door @,"Sankar Lodge building, City Centre, Durgapur-713216",0343 2549726/ 8001700610/ 9434014491
Fourth Dimension,"Abanindranath Bithi, City Centre, Durgapur - 713216",0343 - 2542612/ 9732027928
Future Tech Dot Com,"47, Sanchita Park, Durgapur - 713206",08906364782/ 9046408454
Galaxy,"D1, Grission Street, Bidhan Nagar, Durgapur",0343 2532398
Goldtech Scales & Systems P.LTD.,"5/9, Bengal Ambuja, City Centre, Durgapur - 713216",0343 - 2549763
IT Bazar,"Near Maharashtra Bank, Bhiringee, Benachity, Durgapur-713213",9333915211
IT @CT,"Sarat Chandra Avenue, Chandidas Market, Durgapur-713205",8391007779/ 9734650725
Logitech,"Salbagan Gully, Near sree Durga Paper house, Benachity, Durgapur-713213",0343 2574061/ 3290244
Matrix,"Near Secon Gully, Benachity, Durgapur -713213",0343 2585221
Micro Info Support,Durgapur- 16,09832203441/ 8170014372
Millinium Suppliers,"54 Maulana Azad Sarani, City Centre, Durgapur- 713216",0343 -2605412/ 9832166915
Multipoint,"5 Land Mark bldg, Ground floor Opp Central Bank, Shohid Khudiram Sarani, City Centre, Durgapur-713216","343- 2548920, 9434009989/ 9126497207"
Nightangle Infotech,"Stall no 4, Above Senco Gold, Nachan Road, Benachity, Durgapur - 713213",09332246683
Online Computer & Service,"Bengal Sristi Complex, City Centre, Durgapur-713216",0343 2548963/ 2544489/
Orisoft,"Ist Floor, T.P. Sen Complex, Benachity, Durgapur-713213",0343 2588208
Pinnacle Infotech Private Limited,"Shahid Khudiram Sarani, City Centre, Durgapur - 713216",0343-32545615
Pioneer Infosys Home Sign Enterprise,"C-55, Moulana Azad Sarani, City Centre, Durgapur - 713216",0343- 2570084/ 9333921301
Pixel Infotech,"14 A/8/ 34 SEPCO Township, Durgapur - 713205",09434133632
Priya Informatics,"Kamalpur Plot, Benachity, Durgapur-713213",0343 2588236
Right Click,"2/15, Suhatta Mall, City Centre, Near-Durgapur Municipal Corporation, Durgapur-713216",0343-2543801 / 2543802/  9832163908
Susanta multimedia,"23, Opp of auto highland, Kobiguru Sarani, City Centre, Durgapur - 713216",9679977772
Tech International,"City Centre, Durgapur-713216",0343 2548216
TechnoZone,"Raghunathpur Bazar, Kamalpur, Durgapur - 713204",09153156244/ 9153447535
The Computer,"6/25, Allauddin Khan Bithi, City Centre, Durgapur- 713216",0343- 2548092/ 6534675/ 9832197236
The Horizons Infoworld,"R.G.Roys Building, Opp. Swapan Hotel, Bhiringi, Durgapur - 713213",(0343) 2587257/ 9832176451
The Digital Infotech,"City Centre, Durgapur-713216",0343 3294143
Unitel,"136 Nachan Rd, Benachity,  Durgapur-713216",0343- 2585221/ 9932869990
