," href"
B.C.Roy Engineering College,
Bengal College of Engineering & Technology,
Durgapur Govt College,http://www.durgapurgovtcollege.org/
"Mohanananda B.Ed College, Durgapur",http://www.mohananandacollege.org/
NIT,http://www.nitdgp.ac.in/
National Power Training Institute Durgapur,http://www.nptidurgapur.com/
Amritya Vidyalayam Durgapur,http://www.amritavidyalayam.org/
Kendriya Vidyalaya CRPF,http://www.kvcrpfdurgapur.com/
Kendriya Vidyalaya CMERI,http://www.kvcmeridgp.org/
Pranavananda Vidyamandir,http://www.pvmdgp.org/
Durgapur Astha Academy,
DIATM Durgapur,http://diatm.rahul.ac.in/
DSMS,http://www.dsmsindia.org/
DSPS Durgapur,http://www.dspsindia.net/
NSHM,http://www.nshm.com/
"ParaMedical College, Durgapur",http://www.paramedicalcollege.org/
Rahul Foundation Durgapur,http://www.mid.rahul.ac.in/
