end,end 2,end 3
Electricians of Durgapur,,
Name,Address,Contact No
A.K. Electro Works,Durgapur,0343 2584311
Anand Enterprise,"Durgapur Market, Karanga Para Road, Durgapur - 713201",09475743869
B K Electrical,"Near David Hare Kalimandir, David Hare Road, B-Zone, Durgapur - 713205",09434238029/ 9434356004
Dinabandhu Electronics,"Durgapur Market, Hattala Road, Durgapur - 713201",09434591768
Goutam Electronics,"Durgapur Market, Durgapur - 713201",08293548441
Kishori,Durgapur -,08116061525
M/S City Centre,"Durgapur Market, Durgapur - 713201",09732090380
New Life Telecom,"Durgapur Market, Hattala Road, Durgapur - 713201",08436257447
Radha Gobindo Electronics,"Durgapur Market, Hattala Road, Durgapur - 713201",09832124647
Ranjit Electronics,"Durgapur Market, Karanga Para Road, Durgapur - 713201",09832249819
Sanjoy,"B-Zone, Durgapur - 713205",08967092222
Shibu Da,"B-Zone, Durgapur - 713205",09734753080
Swapan Electronics,"Durgapur Bus Stand, Durgapur - 713201",09932149156
The National Electrical Works,"1st Floor, Nachan Road, Benachity, Durgapur - 713213",09609501178
Web Tech,"Beside Gurudawra Mandir, Gurudwara Road, Benachity, Durgapur - 713213",09434157064/ 9547852111
