end,end 2,end 3
Jewellers and Jewellery Showrooms in Durgapur,,
Name,Address,Contact No
Alankar,"Benachity, Durgapur-713213",0343 2584524
Angasree Jewellers,"Benachity Bazar, Benachity, Durgapur - 713213",0343 2582400/ 9333900450
Bhagya Lakshmi Jewellers,"Benachity, Durgapur-713213",0343 2584607
Bhuban Mohan Dey Jewellers,"Hattala Road, Durgapur-713201",0343 2556279
Chandan Jewellers,"Benachity, Durgapur-713213",0343 2582531/ 9474180729
Chandrani Pearls,"Balai Commercial Complex, Benachity, Durgapur-713213",0343 2582531/ 2588538
Chandrani Pearls,"Shop No 210, 1st Floor, Dreamplex Complex, Beside Big Bazar, City Centre, Durgapur - 713216",0343- 2542172
Durgapur Jewellers,Durgapur- 713213,0343 2583053
Gitanjali Jewels,"Shop No 2/18, 2nd Floor, Suhatta Shopping Mall, City Centre, Durgapur - 713216",0343- 6513333
Gold Fich Jewellers,"Nachan Road, Benachity, Durgapur-713213",0343-2587438
Gold Museum,"Benachity Market, Durgapur-713213",0343- 2583226/ 9434114765
Govind Jewellers,"B.C. Roy Co-operative Market, Chandidas bazar, B-Zone, Durgapur-713205",0343-2602139
Guinea Bhaban Jewellers,"Benachity, Durgapur-713213",0343-2584577
Guinea Emporium,"Benachity, Durgapur- 713213",0343-2585008
Guinea Gold Jewellers,"Benachity, Durgapur-713213",0343-2584506/ 9800571152
Indian Gem & Jewellery Creation Pvt Ltd,"Shop No 205, 1st Floor, Dreamplex, Beside Big Bazar, City Centre, Durgapur - 713216",0343-3296501
New Janki Jewellers,"Chandidas Market, Durgapur - 713205",09434538312
Jewellery Garden,"Hattala Road, Station Bazar, Durgapur-713201",0343 2583053/ 2557761/ 2557767/ 3208000/ 3293771/ 9332056011/ 9332268574
M P Jewellers,"1st Floor, Shop No 206 & 207, Dreamplex, Beside Big Bazar, Abanindra Bithi, City Centre, Durgapur - 713216",0343 2543268
Mina Jewellers,"Stall No-65, Dr. B.C Roy Co-Operative Service Ltd., Chandidas Market, B-Zone, Durgapur-713205",0343- 2605781/ 9933762907
Moukhori Gold And Fashion Incorporator Durgapur,"Bengal Shristi Complex, 1st Floor, Kalpataru building, City Centre, Durgapur - 713216",0343 2544223
Nakshatra Exclusive,"Near Agrani Lane, Nachan Road, Benachity, Durgapur - 713213",0343- 2588458/ 2588459/ 9434332143/ 9800880377/ 9434011816
Pappu Jewellers,"Stall No.10, Chandidas Market, B Zone, Durgapur - 713205",09933919051
P C Chandra Jewellers,"2nd Floor, Fortune Plaza Mall, Near Bhiringi, Nachan Road, Benachity, Durgapur - 713213",0343- 2588121/ 2588122
Pradip Jewellers,"Salbagan Road, Benachity, Durgapur - 713213",0343- 2574039
Prasad Jewellers,"Maya Bazar, Durgapur-713207",09434332574
Radharani Jewellers,"Station Road, Durgapur-713201",0343 2557908/ 2557408
Rajlakshmi Jewellers,"Balai Commercial Complex, Benachity, Durgapur-713213",0343 2584822/ 9434002277
Raj Ratan Jewellers,"Near Anuradha Cinema Hall, Nachan Road, Benachity, Durgapur - 713213",0343 2583476/ 9434804153
R.C. Chandra Jewellers,"Shop No-6, G-Sector Market, Ashish Market, A-Zone, Durgapur-713204",0434- 2606600/ 9434002523/ 9734616906/ 9851777777
R.C. Chandra Jewellers,"B 107, Bengal Shristi Building, Ground Floor, City Centre, Durgapur - 713216",0343- 2544879/ 9434002523/ 9434444444
Royco Jewellers,"Gurdwara Road, Benachity, Durgapur - 713213",0343- 2583090
Rupasree Jewellers,"Gurudwara Road, Benachity, Durgapur - 713213",9433750577
Senco Gold,"101B, Kalputra, Hare Krishna Konar Sarani, City Centre, Durgapur - 713216",0343 3209224/ 2542526
Senco Gold Jewellery,"Nachan Road, Trinayani Mansion, Benachity, Durgapur-713213",0343 2584506/ 2584505/ 2543549
Senco Gold Jewellery,"S.B. more, Station Bazar, Durgapur-713201",0343 2550143/ 44
Sinjini Gems & Jewellers,"Kanak Bhawan, Opposite Indian Overseas Bank, Nachan Road, Benachity, Durgapur- 713213",0343 2588782/ 2588783
Supriya Jewelers,"Stall no-15, Khola market, Ashok Avenue, A-Zone, Durgapur - 713204",09475189303
Surendra Nath Dey & Sons,"Benachity, Durgapur - 713213",0343 2571189
Swarna Kuthi,"Stall No-25, DMC Market, Muchipara, Durgapur-713212",09434147727
Tanishq Showroom,"Near Peerless Inn Hotel, Saheed Khudiram Sarani, City Centre, Durgapur - 713216","0343- 6451990, 2543560, 6451991"
