end,end 2,end 3
Masons in Durgapur,,
Name,Address,Contact No
Babu,"J.C. Bose Road, B-Zone, Durgapur-5",09547344824
Israil,"Marconi Basti,  B-Zone, Durgapur-5",09732091609
Maiz,"Marconi Basti, Durgapur-5",08001521069
Maqbul Seikh,"Chitralaya Basti, Ghandhi Colony, Durgapur-5",09378135825
Sakil,"Kururia Danga, A-Zone, Durgapur-4",07797907164
Sekh Sattar,"Marconi Basti,  B-Zone, Durgapur-5",08145302525
Sekh Harun,"SEPCO, Durgapur-713205",09735331378
Sekh Hazrat,"SEPCO, Durgapur-713205",09434535554
