end,end 2,end 3
Medicine Stores and shops in Durgapur,,
Name,Address,Contact No
Albert Medico Centre,"Nachan Road, Benachity, Durgapur - 713213",09851711188
Anjali Medical Hall,Durgapur,0343 2566355
Annapurna Pharmacy,"Ruidas Market, Muchipara, Durgapur - 713212",0343 2566355
Astha Medicine Clinic,"9a/3/42, B-Zone, Durgapur - 713205",0343 2602680
Barnali Medicine House,Durgapur,0343 2537164
Basanti Medicals,"Sector Market, Bidhannagar, Durgapur - 713212",0343- 2535467
Bidhan Niramoy Medical,Durgapur,0343 2537083
Bimala Medical Hall,Durgapur,0343 2553861
Bina Medical Hall,"Stall No CR 11, Tansen Road, B-Zone, Durgapur - 713205",09333929610/ 9832117577
Chatterjee Medical Hall,"David Hare More, B-Zone, Durgapur-5",.
"City Medical, Hall","Stall No.21, J.M. Sengupta Road, Near DSP Main Hospital, Durgapur-4",0343- 2569297/ 8348696882/ 9851824446
City Medico,"C/S 6, 16, City Centre Durgapur, Durgapur - 713216",0343 2549485/ 9800216910/ 9333859190
City Medical Store,Durgapur,0343 2545614
City Pharmacy,"UCU-009, Urvashi Commercial Centre, Bengal Ambuja, City Centre, Durgapur-713216",08159086306
City Pharmacy,"Stall No. ER-98, Sarat Chandra East Avenue, Chandiadas Market, B-Zone, Durgapur-713205",0343- 2604040
Durgapur Medical Hall,"Station Bazar, Durgapur - 713201",0343 2557747
Durgapur Medical Stores,"Steel Market, Kamalpur, Durgapur - 713204",0343- 2572217
Durgapur Medicine House,Durgapur-713201,0343 2558624
Durgapur Pharmacy,Durgapur,0343 2553604
General Medical Store,Durgapur,0343 2582242
Gupta Medicine,"Near Agrani Lane, Nachan Road, Benachity, Durgapur - 713213",0343- 2582463
Indian Drug House,"Benachity, Durgapur - 713213",0343- 2587387
Indian Medical Hall,"Satll no- ER-157, Sarat Chandra west Avenue, Chandidas Market, B-Zone, Durgapur-713205",0343- 2562244
Janata Medical Stores,Durgapur,0343 2501885
Jeevandeep Medical,"Iman kalyan Sarani, Bidhannagar, Durgapur-713212",+91- 9434669376/ 9679726474
Joy Medical Stores,Durgapur,0343 2501763
Jyoti Medical,"Stall No-ER-31, Marconi Avenue, Chandidas market, B-Zone, Durgapur-713205",09851393827
J.D. Medical,"Stall No- ER-27, Marconi Avenue, Chandidas market, B-Zone, Durgapur-713205",09641061910
Kar Medicine Centre,"Stall No-ER-20, Marconi Avenue, Chandidas market, B-Zone, Durgapur-713205",0343 2560232/ 9332340840
K. C. Medical Hall,"Stall No-1, J.M. Sengupta Road, Near DSP Hospital, Durgapur-713204",0343 2562721/ 9832221667
Laxmi Medicine Centre,"Stall No-ER-65, St. Paul's Road, Ashis Market, A-Zone, Durgapur-713204",0343
Life Guard Medicine Centre,"Stall No-ER-61, St. Paul's Road, Ashis Market, A-Zone, Durgapur-713204",0343- 2569934
Mangal Deep Pharmacy,"EA-17, St. Paul's Road, Ashis Market, A-Zone, Durgapur-713204",09434345728
Masic Care  (Chemist & Druggist ),"UCP/005, Bengal Ambuja, City Centre, Durgapur-713216",09851000504
Medicare,"Visitors Lodge, Dr. B.C.Roy Avenue, Near Durgapur Railway Station , Durgapur-713201",0343-  2553776
Medicine Centre,"Opposite Canara Bank, Nachan Road, Benachity, Durgapur - 713213",0343- 2584568
Medicine Centre,"Chatterjee Market, Sagarbhanga, Durgapur - 713201",0343- 2555325
Medicine Centre,"Shop No-8, G-Sector Market, Ashis market, A-Zone, Durgapur - 713204",0343-2568209/ 9434253125
Medicine Corner,"Padhapukur, Faridpur, Durgapur - 713213",09434536725
Mihijam Dispensary (Homeo Clinic),"Stall No- ER-63, St. Pauls Road, Ashis Market, A-Zone, Durgapur- 713204",0343
National Medical Hall,"Benachity Bazar, Benachitty, Durgapur - 713213",0343 2583189
Omkar Pharmacy,"David Hare More, B-Zone, Durgapur-713205",.
Priya Medical Hall,"Sarat Chandra east Avenue, Chandidas Market, B-Zone, Durgapur-713205",0343-2005505/ 9474490535
Raja Medical Hall,"J.M. Sengupta Road, Near DSP Main Hospital, Durgapur-4",0343 2573690/ 2569782
Rama Medical,"J.M. Sengupta Road, Near DSP Main Hospital, Durgapur-713204",0343- 2567252
Ray Medical,"Near Nachan Road, Salbagan Road Benachity Durgapur - 713213",0343- 2573678
Reliance Medical Centre,"Nachan Road, Bhiringi, Durgapur - 713213",0343- 2583509
Sailok Medicine Centre,"C-71,   Durgapur - 713204",+91- 9332434298/ 7679380666
Sandhya Medical Hall,"Stall No-4, J M Sengupta Road, Opposite D S P Main Hospital,  Durgapur - 713204",0343 2600427/ 9333726708/ 9475937580
Sector Clinic (Chemist & Druggist),"Stall No-11, Ashis Market, Ranapratap Road, A-Zone, Durgapur - 713204",0343 6454936
Sun Pharmacy (Human And Veterinary Medicine),"Harshabardhan Road, Near Veterinary Hospital, Durgapur-713204",0343 2573690
The Medicine Shop,"B-102 Super Market, Block-B, Harekrishna Konar Sarani, City Centre, Durgapur - 713216",0343 2544125
