end,end 2,end 3
Paint colour shops and stores of Durgapur,,
Name,Address,Contact No
Amit Hardware,"Nuttan Pally, Benachity, Durgapur - 713213",+91-851645419
Annapurna Traders,"2 No. street Matangini Hazra, City Centre, Durgapur - 713216",+91-9434475926
A R Traders Durgapur,"Nachan Road, Benachity, Durgapur - 713213","0343 2585880, +91-9474881428"
Allied Paints,"RIP Plot, Durgapur-713212",0343 2557480
Beena Paints,"Agrani Street, Benachity, Durgapur - 713213, Near Agrani Club",+91 9735354310
Binita Paints,"ABL Township, Near Mamra Bazar, Durgapur - 713206","+91 9126439777, 9434199539, 8116812224"
Chowdhury Hardware,"Bhiringi More, Bhiringi, Durgapur - 713213",+91 9474112672
City Hardware Durgapur,"Nachan Road, Benachity, Durgapur - 713213",0343 - 2583774
City Paints Durgapur,"Near Michael Madhusudan College, Dinabandhu Path, City Centre, Durgapur - 713216",09832780729/ 9434147542
Colour Corner,"Rabindra Pally, Durgapur - 713201","0343- 2553839, +91 9832171851"
Colour House,"Nachan Road, Benachity, Bhiringi, Durgapur - 713213, Near TVs Showroom",+91 9614663518
Debnath Sanitary & Hardware,"J.L. Avenue (Rabindra Avenue), Fuljhore, Durgapur - 713206, Near Steel Park More",+91 9832194842
D M Hardware & Sanitation,"G. T. Road, Main Gate Area, Near DSP Main Gate Bus Stand, Durgapur - 713203",+91 9233124287
Dulax Paints,"City Centre, Durgapur- 713216",09832239809
Durgapur Hardware,"Benachity, Durgapur - 713213",09732099696
Durgapur Paint Stores,"92, Nabapally, Benachity, Durgapur - 713213",+91 8144973198
Durgapur Paint Work,"Kamal Bhawan, Nachan Road, Benachity, Durgapur - 713213","0343- 2583155/  2583709, +91 9475241044"
Gouri Paints,"G.T. Road Bhiringi, Durgapur - 713213","0343- 2582986, +91 8016980272"
Hind Hardware,"Nachan Road, Benachity, Durgapur - 713213","0343- 2582967, +91 9333898983, 9614114440"
Hind Hardware Stores,"Near Station Bazar, Staion Road, Durgapur - 713201",0343- 2555484/ 9832117882
Joy Guru Enterprise,"City Centre, Durgapur - 713216","+91-9732231845, 9851467242, 9332335920"
Maa Kamala Hardware,"Near Gurudwara Road, Benachity, Durgapur - 713213",09832947274
Maa Paints,"Stall No-12, Ashis Market, A-Zone, Durgapur - 713204",09002691739/ 9800166885
MAA Sarada Enterprise,"54 Feet Road, Benachity, Durgapur - 713213, Bala Medicine Stopage","+91 9749955134, 9474697724"
Maa Tara Hardware Stores,"Nachan Road, Benachity, Durgapur - 713213",0343- 2584216
M/S Neo Radiant Paints (P) Ltd.,"RIC Plot, Durgapur-713212",0343 2556795
New Bharat Paints,"T P Sen Complex, Chamber Of Commerce Lane, Nachan Road, Benachity,  Durgapur - 713213, Near Mohan Cafe","0343-2585042, +91 9547777985, 9333904044, 9832150199"
New Hindustan Hardware,"Near Durgapur Cinema, Ambedkar sarani, City Centre, Durgapur - 713216","+91 9563944255, 9851113404"
New Maa Kamala Hardware,"Gurudwara Road, Benachity, Durgapur - 713213",0343-2583006  +91-9832179889
New S. B. Chanda Paints,"J K Paul Lane, Benachity, Durgapur - 713213",0343- 2582577  +91-9333915171
Paint House,"Ambuja Road, City Centre, Durgapur - 713216, Near Banerjee Inn",+91 9153490051
Paint Plaza,"Near Hanuman Mandir, Gurudwara Road, Benachity, Durgapur - 713213","+91 9932134365, 9434215830, 7001785920"
Prava Construction,"David hare More, B-Zone, Durgapur-713205","+91 9332083966, 9735305991, 9475745599"
Raj Traders,"Sarat Ch. Avenue, Chandidas Market, B-Zone, Durgapur - 713205",+91-9233314884
Ravi Colour House,"Nachan Road, Benachity, Durgapur - 713213",+91-8906502852
Renuka Enterprise,"H.No. A-5, Ispatpally, Bidhannagar, Durgapur - 713212",0343-2535403  +91-9832295449
Sabita Hardware Stores,Durgapur,0343 3291233
Shree Balaji Hardware,"Zonal Center, Near HP Petrol Pump, Sagarbhanga, Durgapur - 713211",09332800223
Shriya Enterprise,"Near Roy Medical Hall, Salbagan Road, Benachity, Durgapur - 713213",+91 9333907987
Simmi Paints Stores,"G.T. Road, Faridpur, Durgapur - 713213, Near Faridpur Police Station",+91 9434536047
Spectrum Paints,"Nachan Road, Benachity, Durgapur - 713213",+91 9933082294
Swastika Suppliers,"Stall 23, Sarat Chandra Avenue, Chandidas Market,  B-Zone, Durgapur - 713205",+91 9832196155
Ultimate Paint House,"G.T. Road, Durgapur - 713213",+91 9851956901
United Paints & Hardware,"Nachan Road, Benachity, Near-Kalibari, Durgapur - 713213",+91 9333919670
