end,end 2,end 3
"Painter of houses, Industrial, advertisement in Durgapur",,
Name,Address,Contact No
Basu Roy,"City Centre, Durgapur",0983780345
Biru,Durgapur,07501624532
Debnath's colours Gallery,Durgapur,09832121935
Madan Mohon Mondal,Durgapur,09732564241
Monu Painter,"Durgapur Power House, Benachity, Durgapur-713213",07407048256
Rajesh Painter,"Durgapur Power House, Benachity, Durgapur-713213",09800679511
Solution Enterprise,"C/13 Ram Kinkar Bez Saroni Road, Dpctor's Colony ext., City Centre, Durgapur-713216","+91 8145977753, 9732094785"
Soumen Dutta,"B-12, Steel Park, Bidhannagar, Durgapur-12",07602303108
Suresh painter,"Benachity, Durgapur - 713213, Near Indira Sporting Club",+91 8927527821
Toofan Mahato,"9/16 Bharati Road, B-Zone, Durgapur-5",09933752661
