end,end 2,end 3
Shoe Stores,,
Name,Address,Contact No
Adidas Exclusive Store,"Dreamplex Building, 1st Floor, City Centre, Durgapur - 713216",0343- 3205015
Ajanta Footcare,"CS 618, Nachan Road, Benachity, Durgapur - 713213",0343- 2588033
Bata,"Nachan Road, Benachity, Durgapur-713213",0343- 645 6374
Bharat Shoe,"Durgapur Market, Near Durgapur Station, Durgapur - 713201",09843818301
Charmaja,"Benachity, Durgapur-713213",0343 2586843
City Foot Wear,"Shop No C/So-16, City Centre, Durgapur- 713216",09434535538
Durgapur Shoe Store,"Durgapur Station Bazar, Durgapur - 713201",0343 2556349/ 9474534774
Glory footwear,"Near Durgapur station, Station Bazar, Durgapur - 713201",09475505934
Gupta Shoe Stores,"Durgapur Station Road, Durgapur - 713201",09332274779
Khadim's,"Dreamplex Building, City Centre, Durgapur-713216",0343
Khadim's,"Benachity, Durgapur- 713213",0343
Khadim's,"Benachity, Durgapur- 713216",0343
Laxmi Shoes store,"Beside BATA Store, Nachan road, Benachity, Durgapur - 713213",09332665255
Mahiuddin Shoe Shop,"Durgapur Market, Durgapur - 713201",09332627772
Mina shoes Store,"B.C. Roy Market, Chandidas Bazar, B-Zone, Durgapur - 713205",08759124522
Modern shoes House,"Station Road, Durgapur - 713201",09333920864
Pantaloons,"Junction Mall, City Centre, Durgapur - 713216",0343- 2542069
Padukalaya,"B.C. Roy Market, Chandidas Bazar, B-Zone, Durgapur-713205",0343
Reliance Footprint,"Junction Mall, Shop No.-8, Lower Ground Floor, Durgapur-713216",0343- 2542454/ 9233515496
R.K. Footwear,"Nachan Road, Benachity, Durgapur - 713213",09800741476
Shoe Leather,"Station Road, Hattala Road, Durgapur - 713201",09434473322
Shoe Palace,"Durgapur Market, Hattala Road, Durgapur - 713201",08768770041
The Leathers,Durgapur-13,0343 2584658
Touristor Store,"Shop No- 123, Junction mall, City Centre, Durgapur - 713216",0343- 2542042/ 9932032919
Woodland Showroom,"UG-10, Junction Mall, City Centre, Durgapur-713216",09233504690
