end,end 2,end 3
Sports Goods shops of Durgapur,,
Name,Address,Contact No
P.K. Sports,"Benachity, Durgapur-13",0343
Premier Sports,"Steel market, Benachity, Durgapur-713213",0343-  2572911
Reebok,"Unit No. 3/ 20, 3rd Floor, Suhatta Mall, City Centre, Durgapur - 713216",0343- 2543862
Sky Sports International,"Plot No 3601, Nazrul Sarani, City Centre, Durgapur - 713216",0343-  2542708/ 9339529127/ 9339164794
Sky Sports International,"B C Roy Market, Chandidas Bazar, Durgapur - 713205",09339164794/ 9339529127
Sports India,"Stall No- 54, Marconi Road, B- Zone, Durgapur- 713205",09434538461/ 9434538462
United Sports,"191, Sarat Chandra West, Chandidas Market, Durgapur-5",09832737952/ 9434009689
VIBGYOR,"Sarat Chandra East, Chandidas Market, Durgapur-5",0343
