end,end 2,end 3
Sweet Shops in Durgapur,,
Name,Address,Contact No
Annapurna Sweets,"B.C. Roy Co-operative Market, Chandidas Bazar, B-Zone, Durgapur - 713205",+91 9851438966
Arun Sweets,"Shop No CS 07, City Centre, Central Market, City Centre, Durgapur - 713216","0343 2547829, +91 9233322263, 9233303738, 9832125852, 9232499032"
Arun Sweets,"Stall No: UCU002, Urvishi Commercial Complex, Bengal Ambuja, City Centre, Durgapur - 713216",+91 9233322261
Bhai Bhai Sweets,"B-2 Bazar, B2 Market Road, Heavy Engineering Plant, Durgapur - 713210",+91 7602767309
Bhai Bhai Sweets,"David Hare Road, B-Zone, Durgapur-713205",+91 8670192358
Bharat Laxmi Mistanna Bhandar,"Sagarbhanga, Chatterjee Market, Durgapur-11",0343 6530270
Burdwan Mistanna Bhandar,"Nachan Road, Benachity, Durgapur - 713213",+91 9614306661
Buroraj Sweets,"Dr. Zakir Hossain Avenue, Bidhannagar Bazar, Bidhannagar, Durgapur - 713212",+91 9614125791
Chandan Sweets,"Nuttan pally, Benachity, Durgapur - 713213",+91 9733388833
Chandana Sweets,"Chandidas Market, B-Zone, Durgapur - 713205",+91 9851532618
City Sweets,"Central Mkt, City Centre, Durgapur - 713216","+91 9832764718, 9434332506"
Dey Sweets,"Ramkrishna Pally, Faridpur, Chandi Mandir Road,  Durgapur - 713213",+91 9153711772
Economy Caterer & Decorator,"Tansen Road, B-Zone, Durgapur - 713205",+91 9332881435
Ganesh Sweets,"Sarat Chandra Avenue, Chandidas Knola Market, B-Zone, Durgapur - 713205, Near Health Centre Rotary, Or Near Masjid",+91 7699995286
Ganesh Sweets,"Gurudwara Road, Benachity, Durgapur - 713213",+91 9563625274
Ganguram's,"Shop NO-D-09, Ashis market, A-Zone, Durgapur-4","08001141111, 8001151111, 9851860681"
Ganguram's,"Gurudwara Road, Benachity,  Durgapur-16",0
Ganguram's,"Commercial Estate, City Centre, Durgapur-16","07602243508, 8335038707"
Ghosh Mistanna Bhandar,"Nachan Road, Benachity, Durgapur - 713213",+91 9732051440
Jamuna Sweets,"Nachan Road, Benachity, Durgapur - 713213",09232467572
Jay Bangla Mistanna Bhandar,"Bus Stand, C Zone, Durgapur - 713202",09474115563
Kris Sweets n Snacks,"Bengal Shristi Building, City Centre, Durgapur - 713216, Near HDFC Bank","0343-2545423, +91 9474115563, 8373089082"
Krishna Sweet,"Durga Mandir Road, Benachity, Durgapur - 713213",+91 9635611795
Maa Addya Sweet,"City Centre, Durgapur - 713216",+91 9832860709
Maa Durga Sweets,"Benachity, Durgapur - 713213",+91 9563647100
Mahamaya Sweets,"Bhagat Singh Road, B-Zone, Durgapur - 713205",+91 8759219715
Maity Sweet Corner,"City Centre, Durgapur - 713216",+91 8016147245
Misti Mukh,"B2 Market Road, Durgapur - 713212",+91 9474778877
Mohon Sweets,"Bhagat Singh More, B-Zone, Durgapur - 713205",+91 7384705055
Murari Sweets,"Secondary More Market, A-Zone, Durgapur - 713204",09434534837
Nandi Sweets,"Stall No- 19, J.M Sengupta Road, Near D.S.P. Main Hospital Road, Durgapur - 713205",09832167586
Netaji Mistanna Bhandar,Durgapur- 713211,0343 2500926/ 2555770
New Banarashi Bhujia Bhander,"Stall No - 73, Chandi Das Market, B-Zone, Durgapur - 713205,","+91 832291110, 9002944218"
New Ghosh Misthanna Bhander,"ShalBagan, Benachity, Durgapur- 713213",09474697474
New Jolojog Sweets,"DVC Market, Durgapur - 713202",08759206252
New Purnima Sweets,"Stall No-Er-197, Sarat Chandra Avenue(West), Chandidas market, B-Zone, Durgapur- 713205",09474541573
Rabin Sweets,"Benachity, Durgapur- 713213",0343 2583161/  2583136
Rabin's,"Hattala Road, Near Durgapur Station, Durgapur - 713201",0343 2556827
Rama Sweets,"J.M. Sengupta Road, Durgapur-713204",0343
Ruma Sweets,"Nachan Road, Benachity, Durgapur-713213",0343 2584199
Saha Sweets,"Gurudwara Road, Benachity, Durgapur-713213","0343 2586210, 2582245"
Saha Sweets,"2 Pritilota Wadedar Sarani, kabiguru, City Centre, Durgapur - 713216",+91 9002900512
Sarada Sweets,"Dhunara Plot, Benachity, Durgapur - 713213",09434983030
Satish Sweets,"Dhunara Plot, Benachity, Durgapur - 713213",+91 8759310949
Shaktigarh Mistanna Bhandar,"Benachity, Durgapur - 713213",+91 9832733977
Sidhivinayak Sweets,"Prantika More, Benachity, Durgapur - 713213",+91 7808225835
Subhas Sweets,"Steel Market, A-zone, Durgapur- 713204","+91 9434591861, 9434591961, 9434254154"
Swad,"74, Moulana Azad Sarani, City Centre, Durgapur - 713216",+91 9733299181
Swapna Sweets,"Bidhannagar, Durgapur - 713212, Beside Durgapur Sub Divisional Hospital","0343-2533578, +91 9563611240"
Sweet Bhandar,"Bengal Ambuja, City Centre, Durgapur - 713216",+91 8507567378
Sweet Centre,"Nachan Road, Benachity, Durgapur-713213","0343 2586242, +91 8768674906, 7602034658, 96355872272"
Sweet Corner,"Benachity, Durgapur-713213",09333926648
Sweet Palace,"Gurudwara Road, Benachity, Durgapur-713213",0
The Saha Sweets,"Goutam Buddha Marg, C-Zone, Durgapur - 713205","+91 09434237426, 9232369949"
